MATCHED_ON	TITLE	CGP#	OCLC_035	OCLC_019	RECTYPE	BIBLVL	RECFORM	AGENCY_CLASS	SUDOC	ITEM#	PURL
main_entry;subject_650;subject_651	Copper River-Wrangells area guide :	000016660	2833817		a	m	Print	A	A 13.36/5:C 79	86-C	
main_entry;norm_title;subject_650	Alaska Multiple Use Advisory Board minutes, December 9 & 10, 1976, Anchorage, Alaska.	000034191	3601526		a	m	Print	I	I 53.2:AL 1/4		
main_entry;subject_650;norm_title;subject_610	Annual report - Alaska Native Medical Center.	000040373	2315990		a	s	Print	HE	HE 20.5311:976		
main_entry;subject_650;norm_title;subject_610	Annual report - Alaska Power Administration.	000040648	1727658		a	s	Print	I	I 68.1:974-76	604-C-1	
main_entry;norm_title;subject_650;subject_651	Inclusion of Alaska lands in national park, forest, wildlife refuge, and wild and scenic rivers systems :	000043089	3565824		a	m	Print	Y	Y 4.IN 8/14:95-16/	1023	
main_entry;varying_title;norm_title;subject_650	Environmental statement :	000043500	4010870		a	m	Print	A	A 13.92:R 10-75-03/ADD.		
main_entry;subject_651	Final E.I.S. :	000043501	4014357		a	m	Print	A	A 13.92:R 10-77-06		
main_entry;norm_title;subject_650	RARE II :	000043512	4016159		a	m	Print	A	A 13.92/2:R 53/SUPP.AL	80-F	
main_entry;norm_title;subject_650	Effects of industrial wastewater effluents on water quality in Gibson Cove and Kodiak Harbor, Kodiak, Alaska, August 26-29, 1974.	000044021	4044949		a	m	Print	EP	EP 1.51/6:910-8-76-095		
main_entry;norm_title;subject_650	Water quality data during September 16-19, 1974 at Silver Bay, Sawmill Cove, and Eastern Channel, Sitka, Alaska.	000044022	4023457		a	m	Print	EP	EP 1.51/6:910-8-76-096		
main_entry;norm_title;subject_650	Water quality data during September 10-13, 1974 at Ward Cove and Tongass Narrows, Alaska.	000044023	4044915		a	m	Print	EP	EP 1.51/6:910-8-76-097		
varying_title;notes;main_entry;subject_650;norm_title	Flood plain information :	000047144	4094961		a	m	Print	D	D 103.47:M 17		
varying_title;notes;main_entry;subject_650;norm_title	Flood plain information :	000049970	4142964		a	m	Print	D	D 103.47:V 23		
main_entry;norm_title;subject_650	Final environmental impact statement :	000057786	4430813		a	m	Print	D	D 103.62:M 56		
main_entry	The LPK timber sale plan for 1979-84 :	000061164	4575778		a	m	Print	A	A 13.92/2:T 61/2	80-F	
main_entry;norm_title;subject_650	Proposed Port Lions project, Port Lions, Alaska 	000061428	4652059		a	m	Print	D	D 103.62:P 83 L/DRAFT		
main_entry;norm_title	Chugach National Forest, Alaska :	000068598	5159254		e	m	Print	A	A 13.13:C 47/979	85	
main_entry;norm_title;subject_650	Alaska regional studies plan.	000069422	5154727		a	m	Print	I	I 53.2:AL 1/5	631	
main_entry;subject_650	Minimizing consumption of exhaustible energy resources through community planning and design :	000070413	4915167		a	m	Print	E	E 1.28:RLO/2332-1	429-T-4 (microfiche)	
main_entry	The LPK timber sale plan for 1979-84 :	000071701	4985290		a	m	Print	A	A 13.92:T 61/2	80-F	
main_entry;subject_650;norm_title;subject_610	Alaska Area Native Health Service :	000074374	5271963		a	m	Print	HE	HE 20.5302:AL 1/S	486-I-2	
main_entry;subject_650;notes	Federal/State Beaufort Sea :	000076826	5435938		e	m	Print	I	I 1.98:B 38/3/GRAPHIC NO.1	603-G	
main_entry	Federal/State Beaufort Sea :	000076827	5435858		e	m	Print	I	I 1.98:B 38/3/GRAPHIC NO.2	603-G	
main_entry;subject_650	Federal/State Beaufort Sea :	000076828	5435000		e	m	Print	I	I 1.98:B 38/3/GRAPHIC NO.3	603-G	
main_entry;subject_650	Federal/State Beaufort Sea :	000076829	5435284		e	m	Print	I	I 1.98:B 38/3/GRAPHIC NO.4	603-G	
main_entry	Federal/State Beaufort Sea :	000076830	5435213		e	m	Print	I	I 1.98:B 38/3/GRAPHIC NO.5	603-G	
main_entry	Federal/State Beaufort Sea :	000076831	5435533		e	m	Print	I	I 1.98:B 38/3/GRAPHIC NO.5 A	603-G	
main_entry;subject_650	Federal/State Beaufort Sea :	000076832	5435588		e	m	Print	I	I 1.98:B 38/3/GRAPHIC NO.6	603-G	
main_entry;subject_650;notes	Food web matrix :	000076833	5433378		a	m	Print	I	I 1.98:B 38/3/GRAPHIC NO.7	603-G	
main_entry;subject_650	Federal/State Beaufort Sea :	000076834	5435771		e	m	Print	I	I 1.98:B 38/3/GRAPHIC NO.8	603-G	
main_entry;subject_650	Federal/State Beaufort Sea :	000076835	5436012		e	m	Print	I	I 1.98:B 38/3/GRAPHIC NO.9	603-G	
main_entry;subject_650;notes	Federal/State Beaufort Sea :	000076836	5435642		e	m	Print	I	I 1.98:B 38/3/GRAPHIC NO.10	603-G	
main_entry;norm_title;subject_650	A cooperative education experience with the Forest Service in Alaska.	000079290	5624189		a	m	Print	A	A 13.2:AL 1 S/11	84	
main_entry	Federal women's program.	000079316	5589619		a	m	Print	A	A 13.2:W 84/2		
main_entry	Forest Service law enforcement :	000079328	5628458		a	m	Print	A	A 13.36/2:L 41/2	86-C	
main_entry;additional_creator_710;subject_650	Values and resources analysis 	000080392	5143127		a	m	Print	I	I 1.106:2/V.	631	
main_entry;additional_creator_710;subject_650	Planning area analysis 	000080393	5143139		a	m	Print	I	I 1.106:6	631	
varying_title;notes;main_entry;additional_creator_710;subject_610	Regional profile 	000082378	5143120		a	m	Print	I	I 1.106:5	631	
main_entry	Orientation to the forest organizations of Region 10.	000086908	6052891		a	m	Print	A	A 13.2:OR 4	84 (microfiche)	
main_entry;subject_650	Chugach National Forest land and resource management plan :	000088755	6208073		a	m	Print	A	A 13.2:C 47	84	
main_entry;subject_650	Eagle River YCC, 1978.	000088758	4793003		a	m	Print	A	A 13.2:EA 3/2		
main_entry;subject_650	Kenai Lake YCC :	000088770	6158513		a	m	Print	A	A 13.2:K 33	0084	
notes;main_entry;additional_creator_710;subject_650;norm_title	Sitka black-tailed deer :	000088812	5095907		a	m	Print	A	A 13.36/2:SI 8	84	
varying_title;notes;main_entry;subject_650;norm_title	Proposed Outer Continental Shelf oil and gas lease sale, eastern Gulf of Alaska :	000089994	6139005		a	m	Print	I	I 1.98:AL 1 S/6/V.1	603-G	
