MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Subject added entry--topical term; Subject added entry--geographic name	110; 650; 651	Igualdad en la educación : un derecho : un folleto para padres que desean saber más sobre la educación bilingüe bicultural =: Equal education : a right : a handbook for parents who want to know more about bilingual-bicultural education	000001880	2177671		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.6/2:ED 8/2			0288-A			1976		FALSE		FALSE								
Main entry; Name of publisher, distributor, etc.; Title statement	110; 260/264$b; 245	Decade of waiting in Cairo: a report of the Illinois Advisory Committee to the United States Commission on Civil Rights	000007716	2401468		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:C 12/2	CR 1.2:C 12/2					1975		FALSE		FALSE								
Main entry; General note	110; 500	Research to improve tunnel support systems	000015233	1016283		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 3.15:74-51	TD 3.15:74-51					1974		FALSE		FALSE								
Main entry; General note	110; 500	Concrete for tunnel liners: behavior of steel fiber reinforced concrete under combined loads	000015234	1072720		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 3.15:75-7	TD 3.15:75-7					1974		FALSE		FALSE								
Main entry	110	Redlining and disinvestment as a discriminatory practice in residential mortgage loans	000028951	3247137		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 1.2:R 24/6	HH 1.2:R 24/6		582			1977		FALSE		FALSE								
Main entry; Added entry--corporate name	110; 710	Case studies in science education	000060282	4327189		Language material	a	No attempt to code	|	Monograph/item	m	NS			National Science Foundation			NS 1.2:ED 8/16/V.1	NS 1.2:ED 8/16/V.1		834-C			1978-		FALSE		FALSE								
Main entry	110	Biological conversion of biomass to methane	000065127	4748971		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO/2917-6	E 1.28:COO/2917-6		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry	110	Residents' satisfaction in HUD-assisted housing: design and management factors	000069280	4896089		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 1.2:R 31/6	HH 1.2:R 31/6		582			1979		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Transportation of radioactive materials in Illinois: June 6, 1977 to June 6, 1978	000072823	5041094		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 88:25/0756	Y 3.N 88:25/0756		1051-H-11			1978		FALSE		FALSE								
Main entry	110	Dimensions of services integration: service delivery, program linkage, policy management, organizational structure.	000074237	5346057		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 1.54:13	HE 1.54:13		444-K-3			1979		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Geologic and geochemical studies of the New Albany Group (Devonian black shale) in Illinois to evaluate its characteristics as a source of hydrocarbons	000083459	4162388		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:ORO-5203-	E 1.28:ORO-5203-6		429-T-4			1977-		FALSE		FALSE								
Main entry	110	Pipeline gas demonstration plant, phase I	000085033	4476878		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2012-	E 1.28:FE-2012-030		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry	110	Modeling of a fluidized bed combustor with immersed tubes	000091501	4152516		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-1787-	E 1.28:FE-1787-11		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Transportation of radioactive material in Illinois: June 1979 - June 1980	000123447	8038461		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 88:25/2035	Y 3.N 88:25/2035		1051-H-11			1981		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Report for ...	000129950	6360651		Language material	a	No attempt to code	|	Serial	s	J			Department of Justice			J 31.9:IL 6/	J 31.9:IL 6/980		717-C-9			19uu		FALSE		FALSE								
Main entry	110	Shutdown--economic dislocation and equal opportunity	000141544	7909013		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:EC 7	CR 1.2:EC 7		288-A (microfiche)			1981		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Transportation of radioactive material in Illinois: June 1978 - June 1979	000147815	8862939		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 88:25/1193	Y 3.N 88:25/1193		1051-H-11			1980		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Transportation of radioactive material in Illinois: June 1980 - June 1981	000158473	9221763		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 88:25/2851	Y 3.N 88:25/2851		1051-H-11 (microfiche)			1982		FALSE		FALSE								
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Compendium of project profiles	000332551	18548832		Language material	a	No attempt to code	|	Serial	s	ED			Department of Education			ED 1.310/2:			0466-A-03 (MF)			1986		FALSE		FALSE								
Main entry; Subject added entry--corporate name	110; 610	Annual report	000333813	19619339		Language material	a	No attempt to code	|	Serial	s	ED			Department of Education			ED 1.310/2:						Transition Institute at Illinois,		FALSE		FALSE								
Main entry; Subject added entry--corporate name; Name of publisher, distributor, etc.	110; 610; 260/264$b	Secondary/transition intervention effectiveness: ... annual report.	000351238	23735541		Language material	a	No attempt to code	|	Serial	s	ED			Department of Education			ED 1.310/2:			0466-A-03 (MF)			198u		FALSE		FALSE								
Main entry; Subject added entry--corporate name	110; 610	Annual report	000406325	29333922		Language material	a	Microfiche	b	Serial	s	ED			Department of Education			ED 1.310/2:			0466-A-03 (MF)			Transition Institute at Illinois,		FALSE		FALSE								
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Compendium of project profiles	000406349	29335622		Language material	a	Microfiche	b	Serial	s	ED			Department of Education			ED 1.310/2:			0466-A-03 (MF)			1986		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Police protection of the African American community in Chicago	000424158	31097635		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:P 75/24			0288-A (MF)			1993	94-0453-M.	FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Source book on natural landscaping for local officials: part of the Site Planning series	000476129	37646818		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.2:L 23/10			0431-I-01			1997	97-0353-P.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Bigotry and violence in Illinois	000503752	41245342		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:B 48/3			0288-A (MF)			1988	99-0361-M.	FALSE		FALSE								
Main entry; Title statement	110; 245	Proceedings of the nineteenth annual meeting, North American Chapter of the International Group for the Psychology of Mathematics Education: October 18-21, 1997, Illinois State University, Bloomington/Normal, Illinois	000505363	41415674		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:420494	ED 1.310/2:420495		0466-A-03 (MF)			1997	99-0289-M.	FALSE		FALSE								
