MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Tri-level study of the causes of traffic accidents: interim report I.	000001090	1208137		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:AC 2/8/V. 1	TD 8.2:AC 2/8/V. 1					1975		FALSE		FALSE								
Main entry	110	Study to determine the causes of accidents: an in-depth case report case no. TAC-SP-75-6, school bus/garbage truck-oblique	000022211	3038756		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:AC 2/14	TD 8.2:AC 2/14					1976		FALSE		FALSE								
Main entry	110	Study to determine the relationship between vehicle defects and failures, and vehicle crashes	000022233	925752		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:V 53/8	TD 8.2:V 53/8		982-D-1			1973		FALSE		FALSE								
Main entry	110	Tri-level study of the causes of traffic accidents: Interim report II	000024029	2351125		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:AC 2/8/INT.2/V.1	TD 8.2:AC 2/8/INT.2/V.1					1976		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Equal opportunity in the Fort Wayne Community Schools: a continuing struggle : a report	000024577	3228984		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:SCH 6/24	CR 1.2:SCH 6/24		288-A			1977		FALSE		FALSE								
Main entry	110	Multidisciplinary accident investigation: Case no. TAC-SP-74-4 : day camp van/car - right angle.	000025590	3231770		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.11:801 301	TD 8.11:801 301					1974		FALSE		FALSE								
Main entry	110	Analysis of laws and procedures governing contested elections and recounts	000058907	4398757		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.EL 2/3:2 C 76/V.1-3	Y 3.EL 2/3:2 C 76/V.1-3		1091-A			1978		FALSE		FALSE								
Main entry	110	Analysis of laws and procedures governing absentee registration and absentee voting in the United States	000064296	2012205		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.EL 2/3:2 L 44/V.1	Y 3.EL 2/3:2 L 44/V.1					1975		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Equal opportunity in the Fort Wayne community Schools: a reassessment : a report	000073575	5290117		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:SCH 6/25	CR 1.2:SCH 6/25		288-A			1979		FALSE		FALSE								
Main entry	110	Handbook for management performance audits	000090268	6212646		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 7.8:M 34/3/V.1-2	TD 7.8:M 34/3/V.1-2		982-H-3			1979		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Equal employment opportunity in Indianapolis area government: a report	000136920	8299133		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:EM 7/15	CR 1.2:EM 7/15		288-A			1982		FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--corporate name; Title statement	110; 650; 610; 245	Rules of the United States District Court Southern District of Indiana: effective January 1, l983.	000164081	9137194		Language material	a	No attempt to code	|	Monograph/item	m	JU			Judiciary			JU 10.7:IN 2	JU 10.7:IN 2		729-A			1983		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Fair housing enforcement in Northwest Indiana: a report	000179487	10168776		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 81/19	CR 1.2:H 81/19		288-A			1983		FALSE		FALSE								
