MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Title statement; Name of publisher, distributor, etc.; Main entry; Subject added entry--topical term; Varying form of title	245; 260/264$b; 110; 650; 246	Que lejos hemos venido? =: a report of the Iowa Advisory Committee to the United States Commission on Civil Rights	000007719	2432355		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 83	CR 1.2:H 83					1976		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Ceta program in Des Moines: a report	000046832	4068512		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:D 46	CR 1.2:D 46		288-A			1978		FALSE		FALSE								
Main entry; Subject added entry--geographic name	110; 651	Race relations in Tama County: a report	000119428	7936668		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:R 11	CR 1.2:R 11					1981		FALSE		FALSE								
Main entry; General note	110; 500	Proceedings of the 30th National Convention of the Veterans of World War I of the United States, Inc	000158291	9211027		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 1.1/7:97-249	Y 1.1/7:97-249		996-A	996-B (microfiche)		1982		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Implementation of federal civil rights laws in Iowa: nondiscrimination in the block grants and minority business participation : a report	000177892	10033090		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:L 44	CR 1.2:L 44		288-A			1983		FALSE		FALSE								
Main entry; General note	110; 500	Proceedings of the 30th National Convention of the Veterans of World War I of the United States, Inc	000204625			Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 1.1/7:97-249	Y 1.1/7:97-249		996-A	996-B (microfiche)		1982		FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--corporate name	110; 650; 610	Instructional activities manual: Rehabilitation Associate Training for Employed Staff	000304353	20447450		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:283974	ED 1.310/2:283974		466-A-3 (microfiche)			1982		FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--corporate name	110; 650; 610	Instructional activities manual (supplement): Rehabilitation Associate Training for Employed Staff	000304354	20447458		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:283975	ED 1.310/2:283975		466-A-3 (microfiche)			1984		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	1990 substance abuse directory	000359786	24764920		Language material	a	No attempt to code	|	Monograph/item	m													1990		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Iowa communications network study	000404337	28995865		Language material	a	Microfiche	b	Monograph/item	m	T			Department of the Treasury			T 1.2:C 73/9	T 1.2:C 73/9		0925 (MF)			1993	93-1001-M.	FALSE		FALSE								
Main entry; Subject added entry--geographic name; Name of publisher, distributor, etc.; Title statement	110; 651; 260/264$b; 245	Time to heal: race relations in Dubuque, Iowa	000477428	37821741		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:R 11/4	CR 1.2:R 11/4		0288-A (MF)			1993	97-0887-M.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--geographic name; Title statement	110; 650; 651; 245	Selected civil rights issues in Iowa's public education	000503264	41174768		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:ED 8/16			0288-A (MF)			1990	99-0361-M.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--geographic name	110; 650; 651	Race relations and Des Moines' new immigrants	000536182	47835888		Language material	a	Electronic	s	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:2001041753			0288-A (online)			2001		NA		FALSE			https://purl.fdlp.gov/GPO/LPS14205					
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Reaching new levels to advance rural Iowa ... annual report	000608949	184905963		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 114.1/15:			0034-15 (online)			19uu		NA		FALSE			https://purl.fdlp.gov/GPO/LPS86596					
Main entry; Subject added entry--topical term; Subject added entry--geographic name; Title statement	110; 650; 651; 245	Walk together children: report of Iowa State Committee on Housing and Education in Waterloo, Iowa : closed meeting, May 22, 1971.	000679808			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 81/15						1971		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Where are we going now?: a report on the Spanish surnamed and migrant population in Iowa, a report	000680997			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:SP 2/3						between 1900 and 1999?		FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--corporate name; Name of publisher, distributor, etc.	110; 650; 610; 260/264$b	Improving lives, communities and the environment through natural resources conservation	000977105	945932284		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.2:IM 7						2006?		FALSE		FALSE								
Main entry; Subject added entry--topical term; Varying form of title; Title statement	110; 650; 246; 245	Iowa Advisory Committee report on examining employment discrimination and administrative closures: a report of the Iowa Advisory Committee to the U.S. Commission on Civil Rights.	001251708	1413728324		Language material	a	Online	o	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2-2:IO 9/EM 7			0288-A-17 (online)			2022		NA		FALSE			https://purl.fdlp.gov/GPO/gpo220785			https://www.usccr.gov/files/2023-02/iowa-report-on-examining-employment-discrimination-and-administrative-closures.pdf		
Subject added entry--topical term; Varying form of title; Title statement	650; 246; 245	Public Law 94-243: 94th Congress, H.R. 2575, March 24, 1976 : an act to authorize the Secretary of Transportation to release restrictions on the use of certain property conveyed to the city of Algona, Iowa, for airport purposes.	000001383	2140114		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:PUB.LAW 243	94-2:PUB.LAW 243					1976		FALSE		FALSE								
