MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Program for regional energy analysis	000000502	2101587		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:ERDA-107/V. 1-2	ER 1.11:ERDA-107/V. 1-2					1975		FALSE							
Main entry	110	Technical guidelines for the control of direct access to arterial highways	000012263	2510326		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.30:76-87	TD 2.30:76-87					1975-		FALSE							
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.; Title statement	650; 110; 260/264$b; 245	Minutes of the meeting - Arkansas-White-Red Basins Inter-agency Committee	000024075	1182810		Language material	a	No attempt to code	|	Serial	s	Y			Congress			Y 3.F 31/13-2:M 66/975	Y 3.F 31/13-2:M 66/975-2	Y 3.F 31/13-2:M 66/975				    		FALSE							
Subject added entry--topical term; Main entry; Title statement; Name of publisher, distributor, etc.; Varying form of title	650; 110; 245; 260/264$b; 246	Statement of findings: operation and maintenance program, Pomona Lake, Kansas.	000031330	3547523		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.62:P 77/STATEMENT	D 103.62:P 77/STATEMENT					1976		FALSE							
Subject added entry--topical term; General note; Main entry; Title statement; Name of publisher, distributor, etc.; Varying form of title	650; 500; 110; 245; 260/264$b; 246	Operation and maintenance, Pomona Lake, Kansas	000041949	3936690		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.62:P 77	D 103.62:P 77					1976		FALSE							
Main entry	110	Psychological aspects of breast cancer: an annotated bibliography relevant to intervention design.	000044368	3978339		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.3165:B 74	HE 20.3165:B 74		507-G-3			1978		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Final environmental statement concerning application for Department of the Army permits: Central Electric Power Cooperative, Jefferson City, Missouri : 161 Kv transmission line crossings Lake of the Ozarks, Camden County, Missouri.	000049988	4156392		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.62:C 14/2	D 103.62:C 14/2					1977		FALSE							
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.; Title statement	650; 110; 260/264$b; 245	Final environmental statement regarding application for a Department of the Army permit by the Board of Public Utilities of Kansas City, Kansas: Nearman Creek steam-electric generating station, Wynadotte County, Kansas.	000049997	4155361		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.62:N 27	D 103.62:N 27					1976		FALSE							
Subject added entry--topical term; Main entry	650; 110	Working with your school	000057648	4233030		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.6/3:AR 4 K	CR 1.6/3:AR 4 K		288-A			1978		FALSE							
Subject added entry--topical term; Main entry	650; 110	Response time analysis: executive summary	000058563	4405762		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 26.15:R 31/SUMM.	J 26.15:R 31/SUMM.		717-N-1			1978		FALSE							
Subject added entry--topical term; Main entry	650; 110	Response time analysis	000058564	4405796		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 26.15:R 31/V.1-2	J 26.15:R 31/V.1-2					1978		FALSE							
Main entry	110	Preauthorization of planning activities of the Bureau of Reclamation, the Corps of Engineers, and the Soil Conservation Service	000065785	2620716		Language material	a	No attempt to code	|	Serial	s	I			Department of the Interior			I 27.2:P 91	I 27.2:P 91					19uu		FALSE							
Main entry	110	Multilayered plating thickness: final report	000067003	4910504		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:BDX-613-1795/REV.	E 1.28:BDX-613-1795/REV.		429-T-4 (microfiche)			1978		FALSE							
Main entry	110	Solar heating and cooling of buildings (SHACOB) commercialization report: part A, options and strategies	000067194	4224043		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:HCP/M 70065-01/2-3	E 1.28:HCP/M 70065-01/2-3		429-T-4 (microfiche)			1978-		FALSE							
General note; Main entry; Name of publisher, distributor, etc.	500; 110; 260/264$b	Cultural resources survey of Smithville Lake, Missouri	000068787	4339459		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.2:C 89/2/V.1	D 103.2:C 89/2/V.2	D 103.2:C 89/2/V.3				1977		FALSE							
Main entry	110	Application of solar energy to industrial drying or dehydration processes	000081900	4061880		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:ORO/5121-	E 1.28:ORO-5121-1		429-T-4 (microfiche)			1977-		FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Community development block grant program in Arkansas: a report	000084705	5885468		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:AR 4 K/2	CR 1.2:AR 4 K/2		288-A			1979		FALSE							
Main entry; Title statement	110; 245	Prevention of discrimination in selected federal block grant programs, Kansas: a report	000175815	10032921		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:D 63	CR 1.2:D 63		288-A			1983		FALSE							
Main entry; Title statement	110; 245	Milford Lake, Kansas	000262502	15875943		Cartographic material	e	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.2:M 59/2	D 103.2:M 59/2		337			1986	86-782-P.	FALSE							
Main entry	110	Harry S. Truman Dam and Reservoir	000276727	18127295		Cartographic material	e	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.49/3:T 77	D 103.49/3:T 77		334-C-1			1986	88-75-P.	FALSE							
Subject added entry--topical term; General note; Main entry; Name of publisher, distributor, etc.; Varying form of title	650; 500; 110; 260/264$b; 246	Hillsdale Lake	000286679	18765396		Cartographic material	e	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.2:H 55	D 103.2:H 55		337			1988	88-570-P.	FALSE							
