MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Film resources on Japan	000006690	1476206		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 5.2:J 27	HE 5.2:J 27					1975		FALSE							
Main entry	110	Measure of poverty: technical paper XVII, the sensitivity of the incidence of poverty to different measures of income : school-aged children and families	000010504	2583185		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 1.2:P 86/PAPER 17	HE 1.2:P 86/PAPER 17					1976		FALSE							
General note; Main entry	500; 110	Communication and the local CP coordinator: student manual.	000011606	2653381		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 14.8/2:2.2	D 14.8/2:2.2					1976		FALSE							
General note; Main entry	500; 110	Economic and political impact of general revenue sharing	000018572	2356638		Language material	a	No attempt to code	|	Monograph/item	m	NS			National Science Foundation			NS 1.2:R 32/2	NS 1.2:R 32/2		834-C			1976		FALSE							
Main entry	110	Educational media resources on Egypt	000028874	3387638		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.102:EG 9	HE 19.102:EG 9		461(Rev.1965)			1977		FALSE							
Main entry	110	Catalog of Federal programs related to community education	000028876	3353710		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.132/2:3	HE 19.132/2:3		455-A-7			1977		FALSE							
Main entry	110	Experiments in interviewing techniques: field experiments in health reporting, 1971-1977	000033951	3561303		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.6512:IN 8/971-77	HE 20.6512:IN 8/971-77		491-B-13			1977		FALSE							
Main entry	110	Guidelines for the measurement of interstate motor carrier noise emissions	000034658	3635926		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.30/4:77-222	TD 2.30/4:77-222		982-G-19			1977?		FALSE							
Main entry	110	Multidisciplinary accident investigation data file: editing manual and reference information.	000036626	3663820		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:M 91/5/V.1	TD 8.2:M 91/5/V.1					1977-		FALSE							
Main entry	110	Multidisciplinary accident investigation data file: editing manual and reference information	000042895	3191896		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:M 91/5/V.2	TD 8.2:M 91/5/V.2					1977-		FALSE							
