MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Nursing problem classification for children and youth	000010608	2580385		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.5102:P 94/6	HE 20.5102:P 94/6					1976		FALSE		FALSE								
Main entry	110	Nutrition problem classification for children and youth	000011988	2591061		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.5102:P 94/5	HE 20.5102:P 94/5					1976?		FALSE		FALSE								
Main entry	110	Psychology problem classification for children and youth	000013460	2590568		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.5102:P 94/4	HE 20.5102:P 94/4					1976?		FALSE		FALSE								
Main entry	110	Social work problem classification for children and youth	000013461	2590598	13603867	Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.5102:P 94/3			0532-E-01			1976		FALSE		FALSE								
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Administrative action draft: environmental impact statement [ for] Minnesota route 43 in Winona County, Minnesota	000013807	2684370		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.35:M 66/DRAFT	TD 2.35:M 66/DRAFT					1976		FALSE		FALSE								
Main entry	110	Commercial security: burglary, robbery, shoplifting, employee theft	000018317	2898413		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 1.2:SE 2/2	J 1.2:SE 2/2		717			1977		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Bridging the gap: a reassessment : a report	000033156	3624635		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:B 76	CR 1.2:B 76		288-A			1978		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Draft environmental statement for Minnesota Route 43 in Winona County, Minnesota: Minnesota project RF-U 042-1, from Interstate 90 at Wilson to U.S. 61 in Winona	000045455	4055018		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.35:W 73/DRAFT	TD 2.35:W 73/DRAFT					1977?		FALSE		FALSE								
Main entry	110	Grid connected integrated community energy system: phase II, final stage 2 report	000057857	4395654		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO-4210-3/4	E 1.28:COO-4210-3/6	E 1.28:COO-4210-3/8	429-T-4			1978-		FALSE		FALSE								
Main entry; General note	110; 500	Grid connected integrated community energy system: phase 2, final stage 2 report	000057858	4395532		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO/4210-3/5	E 1.28:COO/4210-3/5		429-T-4			1978-		FALSE		FALSE								
