MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.; Title statement	650; 110; 260/264$b; 245	General revenue sharing in St. Louis city and county: a report of the Missouri Advisory Committee to the United States Commission on Civil Rights	000007721	2057195		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:R 32	CR 1.2:R 32					1976		FALSE							
General note; Main entry	500; 110	Study of the detectability of controlled substances on breath: final report	000022213	2939195		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:B 74	TD 8.2:B 74					1975		FALSE							
Main entry; Title statement	110; 245	Missouri Pacific's computerized freight car scheduling system: state of the art survey : a cooperative effort of private industry and government.	000036505	3321862		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 3.15/5:76-5	TD 3.15/5:76-5					1976		FALSE							
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.; Title statement	650; 110; 260/264$b; 245	Specific problems analysis: 1975 national assessment of water and related land resources : Missouri Region.	000042962	3926027		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.M 69/2:W 29/5	Y 3.M 69/2:W 29/5					1977		FALSE							
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.; Title statement	650; 110; 260/264$b; 245	Missouri River basin: State and Federal water and related land resource programs, fiscal years, 1976-1980.	000045711	4026331		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.M 69/2:2 W 29/2/976-80	Y 3.M 69/2:2 W 29/2/976-80					1975		FALSE							
General note; Main entry; Title statement; Name of publisher, distributor, etc.; Varying form of title	500; 110; 245; 260/264$b; 246	ANG Coal Gasification Company (ANGCGC), North Dakota project, Pick-Sloan Missouri basin program: draft environmental statement.	000048367	3194274		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 27.70/2:N 81 D	I 27.70/2:N 81 D					1977		FALSE							
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.; Title statement	650; 110; 260/264$b; 245	Water and related land resources in the Missouri River Basin: present and future uses and associated problems and issues.	000053511	2849868		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.M 69/2:2 W 29/3/NO.2	Y 3.M 69/2:2 W 29/3/NO.2					1976		FALSE							
Subject added entry--corporate name; General note; Main entry; Title statement; Varying form of title	610; 500; 110; 245; 246	Draft supplement to the final environmental statement on O'Neill Unit, Lower Niobrara Division, Pick-Sloan Missouri Basin Program, Nebraska	000058422	3611664		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:ON/DRAFT/SUPP.	I 1.98:ON/DRAFT/SUPP.					1977		FALSE							
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.; Title statement	650; 110; 260/264$b; 245	Missouri River Basin, State and Federal water and related land resource programs	000060515	3915817		Language material	a	No attempt to code	|	Serial	s	Y			Congress			Y 3.M 69/2:2 W 29/2/977-81	Y 3.M 69/2:2 W 29/2/977-81					19uu		FALSE							
Subject added entry--topical term; Main entry	650; 110	Race relations in the "Kingdom" of Callaway: a report	000068715	5078747		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:C 13	CR 1.2:C 13		288-A			1979		FALSE							
