MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Subject added entry--topical term; Main entry	650; 110	Private sector affirmative action, Omaha: a report	000064823	4767416		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:OM 1	CR 1.2:OM 1		288-A			1979		FALSE		FALSE								
Subject added entry--topical term; Main entry	650; 110	Police-community relations in Omaha: a report	000146103	8635176		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:P 75/19	CR 1.2:P 75/19		288-A			1982		FALSE		FALSE								
Main entry; Subject added entry--geographic name; Name of publisher, distributor, etc.; Subject added entry--topical term; Title statement	110; 651; 260/264$b; 650; 245	Geothermal resources of Nebraska 1982	000150508	11170388	8673678; 13635166; 21747734; 65669084; 213830165; 223032120; 606372357; 899142814; 976902018; 1045567177	Cartographic material	e	No attempt to code	|	Monograph/item	m	U	C		No class found	Department of Commerce		C 55.22/2:N 27	U2375 X041 -1982	C 55.22/2:N 27/MAP	0250-F; JSR/JSR/JSR			1982		FALSE		FALSE								
Subject added entry--geographic name; Subject added entry--corporate name; Subject added entry--topical term; Main entry	651; 610; 650; 110	Resource conservation and development ... highlights	000561567	55219984	1098404834	Language material	a	Online	o	Serial	s	A			Department of Agriculture			A 57.81/27-3:			0120-A-13 (online)			19uu		NA		FALSE			https://purl.fdlp.gov/GPO/LPS48930					
Subject added entry--corporate name; Subject added entry--topical term; Main entry	610; 650; 110	RC&D report: Resources Conservation and Development (RC&D) Program.	000563407	56475199		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 57.81/27-2:	A 57.81/27-2:		0120-A-11 (online)			19uu		NA		FALSE			https://purl.fdlp.gov/GPO/LPS48929					
Subject added entry--corporate name; General note; Subject added entry--topical term; Main entry	610; 500; 650; 110	Neb news	000574692	57187872		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 57.81/27-4:			0120-A-20(online)			19uu		NA		FALSE			https://purl.fdlp.gov/GPO/LPS56004					
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Nebraska's official civil rights agencies: report of Nebraska Advisory Committee.	000680254			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:N 28			0288-A			1975		FALSE		FALSE								
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Inmate rights and institutional response: the Nebraska state system	000680576			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:P 93						between 1900 and 1999?		FALSE		FALSE								
Main entry; Subject added entry--corporate name; Name of publisher, distributor, etc.; Subject added entry--topical term; Title statement	110; 610; 260/264$b; 650; 245	Nebraska highlights: Resource Conservation & Development, RC&D success stories ...	001126251	1179237305		Language material	a	Online	o	Serial	s	A			Department of Agriculture			A 57.81/27-3:			0120-A-13 (online)			200u		NA		FALSE			https://purl.fdlp.gov/GPO/gpo142312					
Varying form of title; Main entry; Subject added entry--corporate name; Subject added entry--topical term; Name of publisher, distributor, etc.	246; 110; 610; 650; 260/264$b	RC&D highlights for fiscal year	001126252	1179237322		Language material	a	Online	o	Serial	s	A			Department of Agriculture			A 57.81/27-3:			0120-A-13 (online)			200u		NA		FALSE			https://purl.fdlp.gov/GPO/gpo142311					
Main entry; Title statement	110; 245	Civil rights and the impact of Native American names, symbols, and imagery in school mascots: a briefing report of the Nebraska Advisory Committee to the U.S. Commission on Civil Rights.	001166153	1434030336		Language material	a	Online	o	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2-2:N 27/N 21			0288-A-17 (online)			2021		NA		FALSE			https://purl.fdlp.gov/GPO/gpo171105			https://www.usccr.gov/files/2021/03-15-NE-Native-Mascot-Briefing.pdf		
Subject added entry--topical term; Title statement	650; 245	Social statistics for the elderly: State level system Nebraska social report	000006388	2398048		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 3.2:EL 2/4	C 3.2:EL 2/4					1975		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Implementation plan review for Nebraska as required by the Energy supply and environmental coordination act	000007948	2487866		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.58:450/3-74-068	EP 1.58:450/3-74-068					1974		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Volunteer probation counselor program, Lincoln, Nebraska	000008310	1984700		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 1.10:V 88	J 1.10:V 88					1975		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Volunteer probation counselor program, Lincoln, Nebraska: [brochure]	000008311	2468401		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 1.10:V 88/DESC.	J 1.10:V 88/DESC.					1975		FALSE		FALSE								
Subject added entry--topical term; General note; Added entry--corporate name; Title statement	650; 500; 710; 245	Soil survey of Pierce County, Nebraska	000009052	2504617		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.38:P 61/3	A 57.38:P 61/3					1976		FALSE		FALSE								
Subject added entry--geographic name; Varying form of title; Title statement	651; 246; 245	Estimates of the population of Nebraska counties and metropolitan areas: July 1, 1974 and 1975.	000010119	43064677		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 3.186:P-26/75-27			0142-C-04			1976		FALSE		FALSE								
Subject added entry--topical term; General note; Added entry--corporate name; Title statement	650; 500; 710; 245	Socio-economic impacts of coal development in Nebraska	000010922	1880453		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 81/4:2 SO 1/2	Y 3.N 81/4:2 SO 1/2					1974		FALSE		FALSE								
Subject added entry--topical term; General note; Title statement	650; 500; 245	Flood plain information: Platte River, Warm Slough, Trouble Creek, Central City, Nebraska.	000014646	2725191		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.47:C 33/3	D 103.47:C 33/3					1975		FALSE		FALSE								
Title statement	245	Environmental directory for Region VII: Iowa, Missouri, Kansas, Nebraska.	000014706	2756894		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.2:EN 8/20	EP 1.2:EN 8/20					1976?		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Rural legal research: Creighton Legal Information Center Ohmaha, Nebraska : [brochure]	000015078	2760104		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 1.10:R 88/DESC.	J 1.10:R 88/DESC.		717-0			1976		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Douglas-fir in eastern Nebraska: a provenance study	000017586	2847290		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.78:RM-178	A 13.78:RM-178					1976		FALSE		FALSE								
Subject added entry--topical term; General note; Title statement	650; 500; 245	Flood plain information: Republican River and unnamed stream, McCook, Nebraska.	000017821	2905647		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.47:M 13/3	D 103.47:M 13/3					1974		FALSE		FALSE								
Title statement	245	History of irrigation and characteristics of streamflow in Nebraska part of the North and South Platte River basins	000018213	2899582		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.76:76-167	I 19.2:P 69					1976		FALSE		FALSE								
Subject added entry--corporate name; Title statement	610; 245	Pipeline accident report: Nebraska Natural Gas Company, Pathfinder Hotel explosion and fire, Fremont, Nebraska, January 10, 1976.	000018731	2898329		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 1.118:76-6	TD 1.118:76-6					1976		FALSE		FALSE								
Title statement	245	Tributes to the Honorable Roman L. Hruska of Nebraska: in the United States Senate, upon the occasion of his retirement from the Senate.	000019239	2899709		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:S.DOC.274	94-2:S.DOC.274					1976		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Rural legal research: Creighton Legal Information Center, Omaha, Nebraska	000021570	2949172		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 1.10:R 88	J 1.10:R 88		717-O			1977		FALSE		FALSE								
Subject added entry--topical term; General note; Added entry--corporate name; Title statement	650; 500; 710; 245	Soil survey of Dawes County, Nebraska	000023077	3124666		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.38:D 32/4	A 57.38:D 32/4		102 (Rev.1957)			1977		FALSE		FALSE								
Subject added entry--topical term; Varying form of title; Title statement	650; 246; 245	Flood insurance study: city of Beatrice, Nebraska, Gage County.	000023624	3163199		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:B 38/3	HH 10.9:B 38/3		594-C-30			1977		FALSE		FALSE								
Subject added entry--topical term; General note; Title statement	650; 500; 245	Soil survey of York County, Nebraska	000025933	3263651		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.38:Y 8	A 57.38:Y 8		102 (Rev. 1957)			1977		FALSE		FALSE								
Subject added entry--topical term; Varying form of title; Title statement	650; 246; 245	Flood insurance study: city of Wahoo, Nebraska, Saunders County.	000026361	3283141		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:W 12/2	HH 10.9:W 12/2		594-C-30			1977		FALSE		FALSE								
Subject added entry--topical term; Varying form of title; Title statement	650; 246; 245	Flood insurance study: city of Weeping Water, Nebraska, Cass County.	000026362	3290576		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:W 41	HH 10.9:W 41		594-C-30			1977		FALSE		FALSE								
Subject added entry--geographic name; Subject added entry--topical term; General note; Title statement	651; 650; 500; 245	Beef cattle feedlot runoff and control in eastern Nebraska	000027223	3411201	1225746195	Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.23/2:600/2-77-159			0431-I-12			1977		TRUE	1347417133	FALSE	None	None						
Subject added entry--topical term; Varying form of title; Title statement	650; 246; 245	Flood insurance study: village of Murray, Nebraska, Cass County.	000027535	3407339		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:M 96	HH 10.9:M 96		594-C-30			1977		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Eppley Airfield, Nebraska: problems caused in Council Bluffs, Iowa : Department of Transportation, Federal Aviation Administration : report of the Comptroller General of the United States.	000028642	3429835		Language material	a	No attempt to code	|	Monograph/item	m	GA			Government Accountability Office			GA 1.13:CED-77-73	GA 1.13:CED-77-73		546-D (microfiche)			1977		FALSE		FALSE								
Subject added entry--geographic name; Title statement	651; 245	Monthly normals of temperature, precipitation, and heating and cooling degree days 1941-1970: Nebraska.	000031028	2106011		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 55.286:N 27/941-70	C 55.286:N 27/941-70					1973		FALSE		FALSE								
Subject added entry--geographic name; Title statement	651; 245	Monthly averages of temperature and precipitation for state climatic divisions 1941-1970: Nebraska.	000031072	3522971		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 55.286/2:N 27/941-70	C 55.286/2:N 27/941-70					1973		FALSE		FALSE								
Title statement	245	Fish and fish food organisms in various habitats of the Missouri River in South Dakota, Nebraska, and Iowa	000031910	3505837		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 49.2:H 11/2	I 49.2:H 11/2		612			1977		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Burlington Northern, Incorporated, Hastings, Nebraska: June 30, 1973.	000032146	3521616		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 3.110/3:93	TD 3.110/3:93					l975		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Union Pacific Railroad, North Platte, Nebraska: November 8, 1974.	000032167	3522745		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 3.110/3:210	TD 3.110/3:210					l975		FALSE		FALSE								
Title statement	245	Early field survival of bare-root, container-grown, and potted ponderosa pine seedlings in south-central Nebraska	000032999	3562668		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.79:RM-335	A 13.79:RM-335					1977		FALSE		FALSE								
Subject added entry--topical term; General note; Added entry--corporate name; Title statement	650; 500; 710; 245	Soil survey of Arthur and Grant Counties, Nebraska	000033035	3643390		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.38:AR 7	A 57.38:AR 7		102 (Rev. 1957)			1977		FALSE		FALSE								
Subject added entry--topical term; Varying form of title; Title statement	650; 246; 245	Papillion Creek and tributaries lakes, Nebraska	000033343	3623799		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.62:P 19	D 103.62:P 19					1975		FALSE		FALSE								
Varying form of title; Title statement	246; 245	Flood insurance study: village of Pender, Nebraska, Thurston County.	000034077	3613981		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:P 37	HH 10.9:P 37		594-C-30			1977		FALSE		FALSE								
Subject added entry--geographic name; Title statement	651; 245	Regulatory permits for the OPPD: Nebraska City Power Station Unit No. 1.	000035558	3678959		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.62:OM 1	D 103.62:OM 1					1976		FALSE		FALSE								
Subject added entry--topical term; Varying form of title; Title statement	650; 246; 245	Flood insurance study: village of Avoca, Nebraska, Cass County.	000035881	3679240		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:AV 7/4	HH 10.9:AV 7/4		594-C-30			1977		FALSE		FALSE								
Subject added entry--topical term; Varying form of title; Title statement	650; 246; 245	Flood insurance study: village of Nehawka, Nebraska, Cass County.	000035962	3671964		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:N 31	HH 10.9:N 31		594-C-30			1977		FALSE		FALSE								
Subject added entry--topical term; Varying form of title; Title statement	650; 246; 245	Flood insurance study: city of Springfield, Nebraska, Sarpy County.	000035991	3671954		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:SP 8/5	HH 10.9:SP 8/5		594-C-30			1977		FALSE		FALSE								
Subject added entry--topical term; General note; Added entry--corporate name; Title statement	650; 500; 710; 245	Soil survey of Frontier County, Nebraska	000037263	3779774		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.38:F 92	A 57.38:F 92		102 (Rev. 1957)			1978		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Railroad/highway accident report: collision of a Burlington Northern freight train with a bus, Stratton, Nebraska, August 8, 1976.	000038691	3776959		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 1.112/4:77-1	TD 1.112/4:77-1					1977		FALSE		FALSE								
Subject added entry--topical term; General note; Added entry--corporate name; Title statement	650; 500; 710; 245	Soil survey of Franklin County, Nebraska	000039232	3809144		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.38:F 85/4	A 57.38:F 85/4		102 (Rev. 1957)			1978		FALSE		FALSE								
Subject added entry--topical term; General note; Varying form of title; Title statement	650; 500; 246; 245	Flood plain information: Ashland, Nebraska, Salt Creek, Wahoo Creek.	000039578	2451921		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.47:AS 3/2	D 103.47:AS 3/2					1976		FALSE		FALSE								
