MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	Native American justice issues in North Dakota	000057647	4248645		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:N 21/2	CR 1.2:N 21/2		288-A			1978		FALSE							
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	Annotated bibliography of natural resource information: southwestern North Dakota	000058524	4351669		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 49.18:N 21 SN	I 49.18:N 21 SN		616-A-1			1977		FALSE							
Main entry	110	Project lignite	000067081	4085522		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-1224-78	E 1.28:FE-1224-78		429-T-4 (microfiche)			1977-		FALSE							
Main entry	110	Chemistry of lignite liquefaction	000067107	4382219		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2211-8	E 1.28:FE-2211-8		429-T-4 (microfiche)			1978-		FALSE							
Subject added entry--geographic name; Name of publisher, distributor, etc.; Main entry; Subject added entry--topical term; Title statement	651; 260/264$b; 110; 650; 245	Geothermal resources of North Dakota 1981	000128451	10876559	8150197; 57150370; 78626207; 223034671; 899142799; 1045562917; 1087074792	Cartographic material	e	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 55.22/2:N 81 D	C 55.22/2:N 81D/MAP		0250-F			1981		FALSE							
Main entry; Subject added entry--topical term	110; 650	Rules: as amended and revised to June 1, 1981 by and under authority of Rule 83 of the Rules of Civil Procedure, and rule 57 of the Rules of Criminal Procedure.	000138336	8479810		Language material	a	No attempt to code	|	Monograph/item	m	JU			Judiciary			JU 6.11:N 81 D	JU 6.11:N 81 D		740 (microfiche)			1981		FALSE							
Main entry	110	Assessment and evaluation of Native American aging research for the Aberdeen service area: final report	000337863	22296067		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 23.3002:N 21/3			0447-A-01 (MF)			1990		FALSE							
Main entry; Subject added entry--topical term	110; 650	State plan under part B of the Individuals with Disabilities Education Act	000400518	28636631		Language material	a	No attempt to code	|	Serial	s	ED			Department of Education			ED 1.310/2:						19uu		FALSE							
Varying form of title; Main entry; Title statement; Subject added entry--topical term	246; 110; 245; 650	Water-resources activities, North Dakota District, fiscal year	000417010	30448627		Language material	a	Microfiche	b	Serial	s	I			Department of the Interior			I 19.76:			0624-H (MF)			19uu		FALSE							
Main entry; Subject added entry--topical term	110; 650	State plan ... under part B of the Individuals with Disabilities Education Act	000440213	32502351		Language material	a	Microfiche	b	Serial	s	ED			Department of Education			ED 1.310/2:			0466-A-03 (MF)			19uu		FALSE							
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	Native American students in North Dakota special education programs	000478167	37913276		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:N 21/3	CR 1.2:N 21/3		0288-A (MF)			1993	97-0955-M.	FALSE							
General note; Main entry; Title statement; Subject added entry--topical term	500; 110; 245; 650	Civil rights enforcement efforts in North Dakota	000517555	43413196		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:2001037879	CR 1.2:C 49X		0288-A (online)			1999		FALSE		https://purl.fdlp.gov/GPO/LPS12889					
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	Briefing on civil rights issues facing Muslims and Arab Americans in North Dakota post-September 11: before the North Dakota Advisory Committee to the U.S. Commission on Civil Rights, May 23, 2002.	000576299	57725320		Language material	a	Electronic	s	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2:M 91/4			0288-A-11(online)			2002		FALSE		https://purl.fdlp.gov/GPO/LPS58295					
Name of publisher, distributor, etc.; Main entry; Subject added entry--corporate name; Subject added entry--topical term; Title statement	260/264$b; 110; 610; 650; 245	North Dakota annual report	000577913	60660754		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 114.1/34:			0034-B-34 (online)			19uu		FALSE		https://purl.fdlp.gov/GPO/LPS60974					
Name of publisher, distributor, etc.; Main entry; Subject added entry--corporate name; Subject added entry--topical term; Title statement	260/264$b; 110; 610; 650; 245	North Dakota rural development ... progress report	000605507	173303486		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 114.1/34:			0034-B-34 (online)			2006		FALSE		https://purl.fdlp.gov/GPO/LPS86513					
General note; Main entry; Title statement; Subject added entry--topical term	500; 110; 245; 650	North Dakota greater sage-grouse: draft resource management plan amendment and environmental impact statement.	000925705	959556663		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.59/2:SA 1/DRAFT						2013		TRUE	861522388						
General note; Main entry; Title statement; Subject added entry--topical term	500; 110; 245; 650	North Dakota greater sage-grouse: draft resource management plan amendment and environmental impact statement.	000925706	861522388		Language material	a	Online	o	Monograph/item	m	I			Department of the Interior			I 53.59/2:SA 1/DRAFT			0629-E-10 (online)			2013		FALSE		https://purl.fdlp.gov/GPO/gpo72668			http://files.library.northwestern.edu/transportation/online/unrestricted/EIS/2013/20130279/NDFO_Public_DRMPA_201309.pdf		
Varying form of title; Main entry; Title statement; Subject added entry--topical term	246; 110; 245; 650	Civil rights and fair housing in North Dakota: a briefing report of the North Dakota Advisory Committee to the U.S. Commission on Civil Rights.	001165810	1302341171		Language material	a	Online	o	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2-2:N 81 D/H 81			0288-A-17 (online)			2021		FALSE		https://purl.fdlp.gov/GPO/gpo161348			https://www.usccr.gov/files/2021/09-02-ND-Fair-Housing-Report.pdf		
General note; Title statement; Added entry--corporate name; Subject added entry--topical term	500; 245; 710; 650	Position classification plan for the cities of Bismarck, Fargo, Grand Forks and Minot, North Dakota	000001892	2190280		Language material	a	No attempt to code	|	Monograph/item	m	CS			Civil Service Commission			CS 1.39/3:B 54						1974		FALSE							
Subject added entry--geographic name; Varying form of title; Title statement	651; 246; 245	Estimates of the population of North Dakota counties and metropolitan areas: July 1, 1974 and 1975.	000004671	2344704		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 3.186:P-26/75-34			0142-C			1976		FALSE							
Title statement; Subject added entry--topical term	245; 650	Review of the environmental, economic and international aspects of the Garrison Diversion Unit, North Dakota: twenty-eighth report	000006087	2364774		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:H.RP.1335	94-2:H.RP.1335					1976		FALSE							
Title statement; Subject added entry--topical term	245; 650	Providing that Bottineau, McHenry, Pierce, Sheridan, and Wells Counties, N. Dak., shall be included in the Northwestern Division of the Judicial District of North Dakota: report to accompany S. 2887.	000006157	2330163		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:S.RP.801	94-2:S.RP.801					1976		FALSE							
Title statement; Subject added entry--topical term	245; 650	Soil survey of Bowman County, North Dakota	000006353	1749474		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.38:B 68/ERRATA	A 57.38:B 68/ERRATA					1975		FALSE							
Title statement	245	Omega table: area 13, Southern Africa, pair D-E (North Dakota, U.S.A.-Reunion).	000007792	2489306		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(113)D-E	D 5.317:224(113)D-E					1976		FALSE							
Title statement	245	Omega table: area 13, Southern Africa, pair D-F (North Dakota, U.S.A.-Argentina).	000007793	2489404		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(113)D-F	D 5.317:224(113)D-F					1976		FALSE							
Title statement	245	Omega propagation correction tables for 10.2 kHz: area 05, Canada, station D (North Dakota).	000007797	2490226		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(105-C)D	D 5.317:224(105-C)D					1976		FALSE							
Title statement	245	Omega propagation correction tables for 10.2 kHz: area 09, Northwest Pacific, station D (North Dakota).	000007803	2489583		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(109-C)D	D 5.317:224(109-C)D					1976		FALSE							
Title statement	245	Omega propagation correction tables for 10.2 kHz: area 13, Southern Africa, station D (North Dakota).	000007804	2490429		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(113-C)D	D 5.317:224(113-C)D					1976		FALSE							
Title statement	245	Omega propagation correction tables for 10.2 kHz: area 16, South Pacific, station D (North Dakota).	000007809	2486100		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(116-C)D	D 5.317:224(116-C)D					1976		FALSE							
Title statement; Subject added entry--topical term	245; 650	Implementation plan review for North Dakota [as] required by the Energy supply and environmental coordination act	000007957	2487888		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.58:450/3-75-008	EP 1.58:450/3-75-008					1975		FALSE							
Title statement	245	Omega table: area 11, North America, pair D-H (North Dakota, U.S.A.-Japan).	000009150	2530921		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224 (111)D-H	D 5.317:224 (111)D-H					1976		FALSE							
Title statement	245	Omega table: area 16, South Pacific, pair D-H (North Dakota, U.S.A.-Japan).	000009157	2531030		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224 (116)D-H	D 5.317:224 (116)D-H					1976		FALSE							
Title statement	245	Omega tables: area 17, East Pacific, pair C-D (Hawaii, U.S.A.--North Dakota, U.S.A.).	000010215	2577012		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224 (117)C-D	D 5.317:224 (117)C-D					1976		FALSE							
Title statement; Subject added entry--topical term	245; 650	Columbus/Noonan study: the impact of coal development and decline on two North Dakota communities	000010905	1880109		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 81/4:2 C 63/3	Y 3.N 81/4:2 C 63/3					1974		FALSE							
General note; Title statement; Added entry--corporate name; Subject added entry--topical term	500; 245; 710; 650	Economic impact of alternative energy development patterns in North Dakota	000010912	1978874		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 81/4:2 EN 2/3	Y 3.N 81/4:2 EN 2/3					1974		FALSE							
Title statement; Subject added entry--topical term	245; 650	Western North Dakota high school senior profiles	000010921	1960813		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 81/4:2 P 94	Y 3.N 81/4:2 P 94					1974		FALSE							
Title statement	245	Omega propagation correction tables for 10.2 kHz: area 19, Queen Maud Land, Station D (North Dakota).	000011571	2620132		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(119-C)D	D 5.317:224(119-C)D					1976		FALSE							
Title statement; Subject added entry--topical term	245; 650	Park River Subbasin, North Dakota: Communication from the Assistant Secretary of the Army (Civil Works) transmitting a letter from the Chief of Engineers, Department of the Army, submitting a report on the Park River Subbasin, North Dakota, in partial response to two resolutions of the House Committee on Public Works adopted June 27	000013223	2673160		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.22:P 21/2	D 103.22:P 21/2					1976		FALSE							
Title statement; Subject added entry--topical term	245; 650	Park River Subbasin, North Dakota: Communication from the Assitant Secretary of the Army (Civil Works) transmitting a letter from the Chief of Engineers, Department of the Army, submitting a report on the Park River Subbasin, North Dakota, in partial response to two resolutions of the House Committee on Public Works adopted June 27 a	000014289	2673163		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:H.DOC.645	94-2:H.DOC.645					1976		FALSE							
Varying form of title; Title statement	246; 245	Omega table: area 07, Mediterranean, pair A-E (Norway--North Dakota, U.S.A.).	000016829	2775453		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(107)A-D	D 5.317:224(107)A-D		378-G			1977		FALSE							
Varying form of title; Title statement	246; 245	Omega table: area 00, North Polar, pair A-D (Norway--North Dakota, U.S.A.).	000016830	2769234		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(100)A-D	D 5.317:224(100)A-D		378-G			1976		FALSE							
Varying form of title; Title statement	246; 245	Omega table: area 18, South Atlantic, pair A-D (Norway--North Dakota, U.S.A.).	000016831	2765696		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(118)A-D	D 5.317:224(118)A-D		378-G			1976		FALSE							
Varying form of title; Title statement	246; 245	Omega table: area 02, Central U.S.S.R., pair D-H (North Dakota, U.S.A.--Japan).	000016844	2768442		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(102)D-H	D 5.317:224(102)D-H		378-G			1976		FALSE							
Varying form of title; Title statement	246; 245	Omega table: area 09, Northwest Pacific, pair D-H (North Dakota, U.S.A.--Japan).	000016845	2765306		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(109)D-H	D 5.317:224(109)D-H		378-G			1977		FALSE							
Varying form of title; Title statement	246; 245	Omega propagation correction tables for 10.2 kHz: area 01, Northern Europe, station D (North Dakota).	000016854	2793361		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(101-C)D	D 5.317:224(101-C)D		378-G			1977		FALSE							
Varying form of title; Title statement	246; 245	Omega propagation correction tables for 10.2 kHz: area 07, Mediterranean, station D (North Dakota).	000016858	2793446		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(107-C)D	D 5.317:224(107-C)D		378-G			1977		FALSE							
Varying form of title; Title statement	246; 245	Omega propagation correction tables for 10.2 kHz: area 12, North Atlantic, station D (North Dakota).	000016862	2793793		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(112-C)D	D 5.317:224(112-C)D		378-G			1977		FALSE							
Varying form of title; Title statement	246; 245	Omega table: area 19, Queen Maud Land, pair D-E (North Dakota, U.S.A.--Reunion).	000016866	2769286		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(119-D)E	D 5.317:224(119-D)E		378-G			1976		FALSE							
Varying form of title; Title statement	246; 245	Omega propagation correction tables for 3.4 kHz: area 01, Northern Europe, station D (North Dakota).	000016867	2769093		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(201-C)D	D 5.317:224(201-C)D		378-G			1976		FALSE							
Varying form of title; Title statement	246; 245	Omega table: area 12, North Atlantic, pair A-D (Norway--North Dakota, U.S.A.).	000017754	2858777		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(112)A-D	D 5.317:224(112)A-D		378-G			1977		FALSE							
Varying form of title; Title statement	246; 245	Omega propagation correction tables for 10.2 kHz: area 06, Greenland, station D (North Dakota).	000017764	2857878		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(106-C)D/2	D 5.317:224(106-C)D/2					1977		FALSE							
Varying form of title; Title statement	246; 245	Omega propagation correction tables for 3.4 kHz: area 12, North Atlantic station D (North Dakota).	000017769	2858888		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 5.317:224(212-C)D	D 5.317:224(212-C)D		378-G			1977		FALSE							
Title statement; Added entry--corporate name	245; 710	Technology and use of lignite: proceedings of a symposium sponsored by the U.S. Energy Research and Development Administration and the University of North Dakota, Grand Forks, North Dakota, May 14-15, 1975	000018026	2908214		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:GFERC/IC-75/2	ER 1.11:GFERC/IC-75/2					1975?		FALSE							
General note; Title statement; Added entry--corporate name; Subject added entry--topical term	500; 245; 710; 650	Soil survey of Eddy County and parts of Benson and Nelson Counties, North Dakota	000019716	3039602		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.38:ED 2/2	A 57.38:ED 2/2		102(Rev.1957)			1977		FALSE							
General note; Title statement; Added entry--corporate name; Subject added entry--topical term	500; 245; 710; 650	Soil survey of Renville County, North Dakota	000019725	3042345		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.38:R 29/2	A 57.38:R 29/2		102 (Rev. 1957)			1977		FALSE							
