MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
General note; Main entry; Title statement; Subject added entry--topical term	500; 110; 245; 650	Some impacts on South Dakota of coal-related development in the northern Great Plains	000010907	1862220		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 81/4:2 C 63/5	Y 3.N 81/4:2 C 63/5					1974		FALSE							
Main entry	110	Alcohol safety action projects: interim assessments of total project impact, 1974	000017386	2782707		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:AL 1/20/974/NO. 1	TD 8.2:AL 1/20/974/NO. 1					1974?		FALSE							
Main entry	110	Alcohol safety action projects: interim assessments of law enforcement countermeasures effectiveness, 1974	000017387	2782738		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:AL 1/20/974/NO. 3	TD 8.2:AL 1/20/974/NO. 3					1974?		FALSE							
Main entry; Subject added entry--topical term	110; 650	Liberty and Justice for all: a report	000037457	3738398		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:L 61	CR 1.2:L 61		288-A			1977		FALSE							
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	Inventory highlights of recreation enterprises: South Dakota	000041606	3946952		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.2:SO 8 D/3	A 57.2:SO 8 D/3					1976		FALSE							
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	Employment discrimination and women in South Dakota: a legislative handbook	000478165	37913185		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.6/2:EM 7/2	CR 1.6/2:EM 7/2		0288-A-02 (MF)			1993	97-0955-M.	FALSE							
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	Resource management plan amendment and environmental assessment for the Fort Meade Recreation Area ACEC	000501722	40967521		Language material	a	Microfiche	b	Monograph/item	m	I			Department of the Interior			I 53.59/2:F 77	I 53.59/2:F 77		0629-E-10 (MF)			1997	99-0094-M.	FALSE							
Subject added entry--geographic name; Main entry; General note; Subject added entry--topical term; Title statement	651; 110; 500; 650; 245	Native Americans in South Dakota: an erosion of confidence in the justice system	000522650	44278382		Language material	a	Electronic	s	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:2001038765			0288-A (online)			2000		FALSE		https://purl.fdlp.gov/GPO/LPS13234					
Subject added entry--geographic name; Main entry; Subject added entry--corporate name; Subject added entry--topical term; Title statement	651; 110; 610; 650; 245	South Dakota NRCS update	000575380	57401134		Language material	a	Online	o	Serial	s	A			Department of Agriculture			A 57.81/41:			0120-C-41 (online)			2003		FALSE		https://purl.fdlp.gov/GPO/LPS57016					
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	Discrimination in off-base housing, Ellsworth Air Force Base: report of South Dakota State Advisory Committee.	000679702			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 81/7						1968		FALSE							
