MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Rural income maintenance experiment: summary report	000014934	2703130		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 1.2:R 88	HE 1.2:R 88					1976		FALSE							
Main entry	110	Treatment of assets and income from assets in income-conditioned government benefit programs: technical papers.	000045688	3475761		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.F 31/15:2 B 43/2	Y 3.F 31/15:2 B 43/2		1061-A-1			1977		FALSE							
Subject added entry--topical term; Main entry; Subject added entry--geographic name	650; 110; 651	Management of small waste flows	000056321	4367882	155380115; 1225660958	Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.23/2:600/2-78-173			0431-I-12			1978		FALSE							
Main entry	110	Report to the United States Department of Energy, Conservation and Solar Applications, Solar Heating and Cooling Systems Development Branch, on simulation and design of solar thermal processes	000067300	4979407		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:TID-29008	E 1.28:TID-29008		429-T-4			1978-		FALSE							
Main entry	110	Clean lakes and us	000074006	5106047		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.2:L 14/5	EP 1.2:L 14/5		431-1-1			1979		FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Falling through the cracks: an assessment of bilingual education in Wisconsin : a monograph	000144016	8599141		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:F 19	CR 1.2:F 19		288-A			1982		FALSE							
Added entry--corporate name; Main entry; Name of publisher, distributor, etc.; Subject added entry--corporate name	710; 110; 260/264$b; 610	Bibliography of publications: 1981 supplement	000165141	7512867		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:203882	ED 1.310/2:203882		466-A-3 (microfiche)			1981		FALSE							
Added entry--corporate name; Main entry; Name of publisher, distributor, etc.	710; 110; 260/264$b	Bibliography of publications	000181268	8805113		Language material	a	No attempt to code	|	Serial	s	ED			Department of Education			ED 1.310/2:	ED 1.310/2:221224		466-A-03 (microfiche)			1982-		FALSE							
General note; Main entry; Name of publisher, distributor, etc.; Subject added entry--corporate name	500; 110; 260/264$b; 610	Gerontology Institute Project	000270487	17389396		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 23.3002:G 31/13	HE 23.3002:G 31/13		447-A-1 (microfiche)			1987		FALSE							
Subject added entry--topical term; Main entry	650; 110	Impact of school desegregation in Milwaukee Public Schools on quality education for minorities-- 15 years later	000396375	28282580		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:M 64			0288-A (MF)			1992	93-0549-M.	FALSE							
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.	650; 110; 260/264$b	Designing a process for quality improvement applying private industry principles of quality to in-home services for older persons, March 1990 to July 1991: final report.	000415667	30323304		Language material	a	Microfiche	b	Monograph/item	m	HE			Department of Health and Human Services			HE 1.1002:Q 2/3	HE 1.1002:Q 2/3		0447-A-01 (MF)			1992	94-0057-M.	FALSE							
Subject added entry--topical term; Subject added entry--corporate name; Main entry; Title statement; Varying form of title	650; 610; 110; 245; 246	Water-resources investigations in Wisconsin: programs and activities of the U.S. Geological Survey.	000419883	30691766		Language material	a	Microfiche	b	Serial	s	I			Department of the Interior			I 19.76:			0624-H (MF)			19uu		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Victim-witness handbook	000478455	37963050		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 1.8/2:V 66/997			0717-A-01			1997	98-0032-P.	FALSE							
Main entry; Title statement	110; 245	Community forum on race relations in Racine County, Wisconsin	000537429	48111610		Language material	a	Electronic	s	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:2002000663	CR 1.2:2002000663		0288-A (online)			2001		FALSE		https://purl.fdlp.gov/GPO/LPS15071					
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Briefing on civil rights issues facing Muslims and Arab Americans in Wisconsin post-September 11 before the Wisconsin Advisory Committee to the U.S. Commission on Civil Rights, Milwaukee, April 11, 2002	000572122	51524638		Language material	a	Electronic	s	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2:M 91/2			0288-A-11(online)			2002?		FALSE		https://purl.fdlp.gov/GPO/LPS26257					
Subject added entry--topical term; Main entry; Title statement; Subject added entry--corporate name	650; 110; 245; 610	Wisconsin annual report	000577939	60663297		Language material	a	Online	o	Serial	s	A			Department of Agriculture			A 114.1/49:			0034-B-49 (online)			19uu		FALSE		https://purl.fdlp.gov/GPO/LPS53551					
Subject added entry--topical term; Main entry	650; 110	Business incentives and minority employment: a report	000598484	9086984		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:B 96			0288-A			©1982		FALSE							
Subject added entry--topical term; Subject added entry--corporate name; Main entry; Subject added entry--geographic name; Title statement; Name of publisher, distributor, etc.; Varying form of title	650; 610; 110; 651; 245; 260/264$b; 246	Wisconsin report	000616313	233572995		Language material	a	Online	o	Serial	s	A			Department of Agriculture			A 57.81/49:			0120-C-56 (online)			200u		FALSE		https://purl.fdlp.gov/GPO/gpo105537	https://purl.fdlp.gov/GPO/LPS95588		https://www.nrcs.usda.gov/wps/portal/nrcs/main/wi/newsroom/factsheets/		
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Police isolation and community needs: report of Wisconsin State Committee to United States Commission on Civil Rights	000680556			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:P 75/9			0288-A			1972		FALSE							
