MATCHED_ON	TITLE	CGP#	OCLC_035	OCLC_019	RECTYPE	BIBLVL	RECFORM	AGENCY_CLASS	SUDOC	ITEM#	PURL
main_entry;subject_650	Siting energy facilities at Glasgow Air Force Base :	000002410	2161699		a	m	Print	FE	FE 1.2:G 46/V.1-3		
norm_title;varying_title;main_entry;subject_650	The media in Montana :	000004812	2298863		a	m	Print	CR	CR 1.2:M 76		
norm_title;main_entry;subject_650	Corrections in Montana :	000061280	4651456		a	m	Print	CR	CR 1.2:C 81/3	288-A	
main_entry	CDIF operational modeling status report.	000067297	4975080		a	m	Print	E	E 1.28:TID-28967	429-T-4	
main_entry;subject_650	CDIF socioeconomic analysis, Butte-Silver Bow baseline data 	000067298	4959992		a	m	Print	E	E 1.28:TID-28969	429-T-4 (microfiche)	
norm_title;main_entry;subject_650	Draft environmental statement on grazing management in the Missouri Brakes of Montana 	000072463	4913001		a	m	Print	I	I 1.98:M 69 O	603-G	
main_entry	MHD power generation :	000087433	5986585		a	m	Print	E	E 1.28:FE-3087-	429-T-4 (microfiche)	
main_entry	MHD power generation :	000089429	6104385		a	m	Print	E	E 1.28:FE-2524-	429-T-4 (microfiche)	
norm_title;main_entry;subject_650	Rules of procedure of the United States District Court for the District of Montana.	000169054	9754043		a	m	Print	JU	JU 10.7:M 76	729-A	
norm_title;subject_651;main_entry;subject_650	Land status, State of Montana 	000229582	12566817		e	m	Print	I	I 53.11:M 76/10	629-B	
main_entry;subject_650	Western Energy Company's Rosebud Mine, area D :	000241499	13942258		a	m	Print	I	I 1.98:R 72/2/DRAFT	603-G	
norm_title;subject_651;main_entry;subject_650	Land status, state of Montana 	000243002	13217482	12566891	e	m	Print	I	I 53.11:M 76/12/WEST	629-B	
norm_title;main_entry;subject_650	Consolidation Coal Company's CX Ranch mine, Big Horn County, Montana :	000250783	13460229		a	m	Print	I	I 1.98:C 76	603-G	
norm_title;main_entry;subject_650	Montana bald eagle management plan 	000251091	13877420		a	m	Print	I	I 53.2:M 76/5	631	
norm_title;main_entry;subject_650	Consolidation Coal Company's CX Ranch mine, Big Horn County, Montana :	000279818	12528459		a	m	Print	I	I 1.98:C 76/DRAFT		
notes;norm_title;varying_title;main_entry;subject_650	Peabody Coal Company's Big Sky Area B Mine, Rosebud County, Montana :	000286879	18820831		a	m	Print	I	I 1.98:P 31	603-G	
norm_title;varying_title;main_entry;subject_650	Access :	000296917	19910964		a	m	Print	I	I 53.7/2:D 62/FINAL/SUPP.	633	
main_entry;subject_650	Recreation 2000 tri-state strategy 	000316794	21767984		a	m	Print	I	I 53.2:R 24/6/V.1-3	631	
notes;norm_title;varying_title;main_entry;subject_650	Montana and the Dakotas fish and wildlife 2000 :	000322918	22366964		a	m	Print	I	I 53.2:F 52/4	631	
main_entry;subject_650	Bull Mountains coal lands.	000351753	23811790		e	m	Print	I	I 53.11:B 87/2	629-B	
subject_651;main_entry;notes;subject_650	Bull Mountains Exchange :	000354535	24132028		e	m	Print	I	I 53.11:B 87	629-B	
norm_title;main_entry;subject_650;subject_610	Annual report of the Montana Interagency Wolf Working Group.	000356446	24359107		a	s	Print	I	I 49.2:M 76/4/		
main_entry	Land status, state of North Dakota 	000401366	28703939		e	m	Print	I	I 53.11:N 81 D/LARGE	0629-B	
main_entry	Land status, state of North Dakota 	000401368	28704021		e	m	Print	I	I 53.11:N 81 D/SMALL	0629-B	
main_entry;subject_650	Judith Valley Phillips resource management plan, environmental impact statement	000405236	29198740		a	m	Microfiche	I	I 1.98:J 89	0603-G (MF)	
norm_title;main_entry;subject_650	Montana statewide wilderness study report	000405697	29253149		a	m	Microfiche	I	I 53.2:M 76/6/V.1-2	0631 (MF)	
subject_610;notes;norm_title;main_entry;subject_650	Montana Eldercare Volunteer Corps	000415320	30207975		a	m	Microfiche	HE	HE 1.1002:M 76	0447-A-01 (MF)	
subject_651;main_entry;subject_650	Annual report 	000415494	30307242	28442485;28476318	a	s	Print	I	I 53.2:M 76/9/		
notes;norm_title;varying_title;main_entry;subject_650	Meridian Minerals Company's proposed development of the Bull Mountains Mine No. 1 and associated support facilities, Musselshell and Yellowstone counties, Montana	000419371	30651426		a	m	Microfiche	I	I 1.98:M 76/3/FINAL	0603-G (MF)	
subject_651;main_entry;subject_650	Annual report	000420670	30771999		a	s	Microfiche	I	I 53.2:M 76/9/	0631 (MF)	
norm_title;main_entry;subject_650;subject_610	Annual report of the Montana Interagency Wolf Working Group	000421155	30826170		a	s	Microfiche	I	I 49.2:M 76/4/	0612 (MF)	
norm_title;varying_title;main_entry;subject_650	Volunteer opportunities	000421938	30888721		a	m	Microfiche	I	I 53.2:V 88/4	0631 (MF)	
main_entry	Awards criteria guide	000423385	31034288		a	m	Microfiche	I	I 53.7/2:AW 1	0633 (MF)	
subject_651;main_entry;subject_650	Judith Valley Phillips :	000428324	31482370		a	m	Microfiche	I	I 1.98:J 89/	0603-G (MF)	
main_entry;subject_650	Bull Mountains exchange	000429367	31618947		a	m	Microfiche	I	I 1.98:B 87	0603-G (MF)	
norm_title;main_entry;subject_650	Montana bald eagle management plan	000435138	32072989		a	m	Microfiche	I	I 53.2:M 76/5/994	0631 (MF)	
norm_title;main_entry;subject_650	Briefing statements, Montana/Dakotas 	000459253	34964236	32396394	a	s	Print	I	I 53.2:M 76/8/		
norm_title;subject_651;main_entry;subject_650	White supremacist activity in Montana	000471306	37012894		a	m	Microfiche	CR	CR 1.2:W 58	0288-A (MF)	
norm_title;main_entry;subject_650	Standards for rangeland health and guidelines for livestock grazing management on BLM-administered lands in Montana and the Dakotas	000473838	37424679		a	m	Microfiche	I	I 1.98:L 75/3/DRAFT/SUPP.	0603-G (MF)	
norm_title;varying_title;main_entry;subject_650	Volunteer opportunities in Montana/Dakotas Bureau of Land Management	000476962	37778414		a	m	Microfiche	I	I 53.2:V 88/4/995	0631 (MF)	
main_entry;subject_650	Draft environmental impact statement for the proposed Cooke City area mineral withdrawal	000488392	39308059		a	m	Microfiche	I	I 53.59:C 77/DRAFT	0603-G (MF)	
main_entry;subject_650	Final environmental impact statement for the proposed Cooke City area mineral withdrawal	000488395	39308161		a	m	Microfiche	I	I 53.59:C 77	0603-G (MF)	
norm_title;main_entry;subject_650	Standards for rangeland health and guidelines for livestock grazing management on BLM-administered lands in Montana and the Dakotas	000488411	39308556		a	m	Microfiche	I	I 1.98:L 75/3/FINAL	0603-G (MF)	
norm_title;main_entry;subject_650	Montana/Dakotas standards for rangeland health and guidelines for livestock grazing management	000492594	39848633		a	m	Microfiche	I	I 53.7/2:R 16/2	0633 (MF)	
main_entry;subject_650	Summary of the environmental impact statement for the proposed Cooke City area mineral withdrawal	000499921	40747010		a	m	Microfiche	I	I 53.59:C 77/SUM.FINAL	0629-E-09 (MF)	
main_entry;subject_650	Yellowstone River floater's guide, Park City/Pompeys Pillar 	000511338	42360938		e	m	Print	I	I 53.7/2:Y 3	0633	
