MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	School desegregation in Stamford, Connecticut: a report	000023271	3156974		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:D 45/15	CR 1.2:D 45/15		288-A			1977		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Battered women in Hartford, Connecticut: a report	000068718	4943130		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:W 84/5	CR 1.2:W 84/5		288-A			1979		FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--corporate name; Title statement	110; 650; 610; 245	Report of the United States Attorney for the District of Connecticut for ... to the Attorney General	000153581	7092955		Language material	a	No attempt to code	|	Serial	s	J			Department of Justice			J 31.9:C 76/	J 31.9:C 76/979		717-C-9			19uu		FALSE		FALSE								
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Hate groups and acts of bigotry: Connecticut's response.	000185165	10574489		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 28/3	CR 1.2:H 28/3		288-A			1982		FALSE		FALSE								
Title statement; Main entry; Subject added entry--topical term; General note; Subject added entry--geographic name	245; 110; 650; 500; 651	Campus tensions in Connecticut: searching for solutions in the nineties	000478169	37913370		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:C 15			0288-A (MF)			1994	97-0955-M.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Report on Connecticut: family relocation under urban renewal	000679133			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:C 76						1963		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Connecticut State Advisory Committee report towards equal opportunity in the contract industry	000679143			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:C 76/5						between 1900 and 1999?		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	EL-BORICUA: the Puerto Rican community in Bridgeport and New Haven.	000679319			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:EL 1						between 1900 and 1999?		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Housing codes and their enforcement in 6 Connecticut cities	000679693			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 81/6			0288-A			1967		FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--geographic name; Title statement	110; 650; 651; 245	Connecticut River Basin; comprehensive water and related land resources investigation	001053465	216210		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.2:C 76/						1970-		FALSE		FALSE								
