MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Subject added entry--topical term	110; 650	Working and living conditions of mushroom workers: a report	000024576	3218184		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:M 97	CR 1.2:M 97		288-A			1977		FALSE							
Main entry; Added entry--corporate name	110; 710	Kinetics and mechanism of desulfurization and denitrogenation of coal-derived liquids	000057890	3494561		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2028-9	E 1.28:FE-2028-9		429-T-4 (microfiche)			1976-		FALSE							
Main entry	110	Development of a thin film polycrystalline solar cell for large scale terrestrial use	000063653	3739016		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:DSE/2538-2	E 1.28:DSE/2538-2		429-T-4 (microfiche)			1977-		FALSE							
Main entry	110	Development of a thin film polycrystalline solar cell for large scale terrestrial use	000079855	4748900		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:DSE/2538-	E 1.28:DSE/2538-4		429-T-4 (microfiche)			1977-		FALSE							
Main entry	110	Improved semiconductors for photovoltaic cells	000083541	5785833		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:TID-	E 1.28:TID-28711		429-T-4 (microfiche)			1979-		FALSE							
Main entry; Added entry--corporate name	110; 710	Kinetics and mechanism of desulfurization and denitrogenation of coal-derived liquids	000089397	5947110		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2028-	E 1.28:FE-2028-13		429-T-4 (microfiche)			1978-		FALSE							
Main entry; Added entry--corporate name	110; 710	Hand in hand: parents and educators planning special education for the child	000092141	6231611		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.102:H 19/3	HE 19.102:H 19/3		461 (Rev. 1965)			1980		FALSE							
Subject added entry--corporate name; Main entry; Title statement	610; 110; 245	Local rules of civil practice for the United States District Court of the District of Delaware (amended effective March 1, 1983)	000164080	9484941		Language material	a	No attempt to code	|	Monograph/item	m	JU			Judiciary			JU 10.7:D 37	JU 10.7:D 37		383			1983		FALSE							
Subject added entry--geographic name; Name of publisher, distributor, etc.; Main entry; Subject added entry--topical term; Title statement	651; 260/264$b; 110; 650; 245	Report of the River Master of the Delaware River for the period	000327445	9749433	1741656; 23123761	Language material	a	No attempt to code	|	Serial	s	I			Department of the Interior			I 19.76:	I 19.76/6:					1954		TRUE	700932133						
Subject added entry--geographic name; Name of publisher, distributor, etc.; Main entry; Subject added entry--topical term; Title statement	651; 260/264$b; 110; 650; 245	Report of the River Master of the Delaware River for the period	000331299	17195714		Language material	a	Microfiche	b	Serial	s	I			Department of the Interior			I 19.76:			0624-H (MF)			1954		TRUE	700932133						
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	Delaware & Maryland rural development	000580318	61698215		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 114.1/8:			0034-B-08 (online)			19uu		FALSE		https://purl.fdlp.gov/GPO/LPS60624					
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	Our year's work ... across Delaware and Maryland	000605859	173666542		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 114.1/8:			0034-B-08 (online)			19uu		FALSE		https://purl.fdlp.gov/GPO/LPS86561					
Subject added entry--geographic name; Main entry; Title statement; Subject added entry--topical term	651; 110; 245; 650	Report of the River Master of the Delaware River for the period	000790093	700932133		Language material	a	Online	o	Serial	s	I			Department of the Interior			I 19.76/6:			0624-H-06 (online)			1954		FALSE		https://purl.fdlp.gov/GPO/gpo3556			http://permanent.access.gpo.gov/gpo3556/		
General note; Main entry	500; 110	Final report, deepwater pilot plant treatability study	000797474	1160667		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.23/2:660/2-73-038			0431-I-12			1974		TRUE	761037646						
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	Constitutions of Delaware, 1776 [1792, and 1831]	000854807			Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 1.1:D 37						1896		FALSE							
