MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Title statement	110; 245	Legislating for the Nation's Capital: report on the activities of the Committee on the District of Columbia, United States Senate, in the first session of the Ninety-fourth Congress, 1975, pursuant to Senate Resolutions 30 and 316.	000001178	2126465		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.D 63/2:L 52/975	Y 4.D 63/2:L 52/975					1976		FALSE		FALSE								
Main entry	110	Prohibiting the unlawful use of a rented motor vehicle: report to accompany H.R. 10826.	000001369	2101761		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:H.RP.898	94-2:H.RP.898					1976		FALSE		FALSE								
Main entry; Title statement	110; 245	Prohibit unlawful conversion of motor vehicles: Judiciary Subcommittee hearing and markup of the Committee on the District of Columbia, House of Representatives, Ninety-fourth Congress, first session, on H.R. 4756 and H.R. 10826 ...	000003622	2206212		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.D 63/1:94-11	Y 4.D 63/1:94-11					1976		FALSE		FALSE								
Subject added entry--corporate name; Main entry; Title statement	610; 110; 245	Extension of the District of Columbia medical and dental manpower act of 1970: hearing and markups of the Subcommittee on Education, Labor, and Social Services and of the Committee on the District of Columbia, House of Representatives, Ninety-fourth Congress, second session ...	000003623	2156265		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.D 63/1:94-14	Y 4.D 63/1:94-14					1976		FALSE		FALSE								
Varying form of title; Main entry; Title statement	246; 110; 245	Contract to perform a survey of the accounting and financial management practices of the District of Columbia government for the Committee on the District of Columbia, United States Senate [pursuant to Senate Resolution 316]	000003624	2206909		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.D 63/2:C 76/2	Y 4.D 63/2:C 76/2					1976		FALSE		FALSE								
Subject added entry--corporate name; Main entry; Title statement	610; 110; 245	Extension of the District of Columbia medical and dental manpower act of 1970: hearing before the Committee on the District of Columbia, United States Senate, Ninety-fourth Congress, second session, on H.R. 12132 ... April 29, 1976.	000003625	2281540		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.D 63/2:M 46/4	Y 4.D 63/2:M 46/4					1976		FALSE		FALSE								
Subject added entry--corporate name; Main entry; Title statement	610; 110; 245	Nomination of an associate judge: hearing before the Committee on the District of Columbia, United States Senate, Ninety-fourth Congress, first session, on nomination of Charles W. Halleck to be an Associate Judge of the Superior Court of the District of Columbia (reappointment), December 3, 1975.	000003626	2276366		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.D 63/2:N 72/2	Y 4.D 63/2:N 72/2					1976		FALSE		FALSE								
Main entry; Title statement	110; 245	Metro security police: hearing before the Committee on the District of Columbia, United States Senate, Ninety-fourth Congress, second session, on H.R. 8719 ... April 1, 1976.	000003627	2221646		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.D 63/2:SE 2/3	Y 4.D 63/2:SE 2/3					1976		FALSE		FALSE								
Main entry; Title statement	110; 245	Extension of District of Columbia medical and dental manpower act of 1970: report together with dissenting views to accompany H.R. 12132.	000004054	2166752		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:H.RP.899	94-2:H.RP.899					1976		FALSE		FALSE								
Main entry	110	Metro Transit Police: report to accompany H.R. 8719.	000004381	2282397		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:S.RP.832	94-2:S.RP.832					1976		FALSE		FALSE								
