MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Ternary compound thin film solar cells	000085109	5986149		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:NSF-AER-75-19576-	E 1.28:NSF-AER-75-19576-1	E 1.28:NSF-AER-75-19576-2	429-T-4 (microfiche)			1977 i. e. 1978-		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Civil rights in Maine	000091216	6234429		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:M 28	CR 1.2:M 28		288-A			1979 i.e. 1980		FALSE		FALSE								
Main entry; Subject added entry--geographic name; Title statement	110; 651; 245	Georges Bank, Gulf of Maine, Cape Cod, Nova Scotia: perspectives in economics and history	000094570	4659593		Language material	a	No attempt to code	|	Monograph/item	m	S			Department of State			S 1.2:G 29	S 1.2:G 29		876			1978		FALSE		FALSE								
Added entry--corporate name; Main entry; Subject added entry--topical term	710; 110; 650	Final environmental impact statement: relicensing the Gulf Island-Deer Rips hydroelectric Project and licensing the Marcal Hydroelectric Project in the lower Androscoggin River Basin, FERC project nos. 2283-005, 11482-000	000472112	37184563		Language material	a	Microfiche	b	Monograph/item	m	E			Department of Energy			E 2.11:0100	E 2.11:0100		0429-V-03 (MF)			1996	97-0408-M.	FALSE		FALSE								
Main entry; Subject added entry--geographic name; Varying form of title	110; 651; 246	Heads of families at the first census of the United States taken in the year 1790, Maine	000561491	55152754		Language material	a	Electronic	s	Monograph/item	m	C			Department of Commerce			C 3.223/29:H 34/ME	C 3.223/29:H 34/ME		0154-A-11 (online)			1908		NA		FALSE			https://purl.fdlp.gov/GPO/LPS48007					
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Federal and state services and Maine Indian	000679861			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:IN 2/3			0288-A			1974		FALSE		FALSE								
Main entry; Subject added entry--corporate name; Title statement	110; 610; 245	Message from the President of the United States transmitting the report of the Naval Court of Inquiry upon the destruction of the Battle Ship Maine in Havana harbor, February 15, 1898: together with the testimony taken before the court.	000902282	2082699		Language material	a	No attempt to code	|	Monograph/item	m													1898		FALSE		FALSE								
Main entry; Subject added entry--topical term; Name of publisher, distributor, etc.; Title statement	110; 650; 260/264$b; 245	Digital equity as a civil right in Maine: report of the Maine Advisory Committee to the U.S. Commission on Civil Rights.	001171913	1405819291		Language material	a	Online	o	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2-2:M 28/EQ 5			0288-A-17 (online)			2022		NA		FALSE			https://purl.fdlp.gov/GPO/gpo174510			https://www.usccr.gov/files/2022-01/ME-SAC-Digital-Equity-Report.pdf		
Main entry; Subject added entry--topical term; Varying form of title; Title statement	110; 650; 246; 245	Right to criminal legal defense in Maine: a report of the Maine Advisory Committee to the U.S. Commission on Civil Rights.	001251451	1411854090		Language material	a	Online	o	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2-2:M 28/D 36			0288-A-17 (online)			2023		NA		FALSE			https://purl.fdlp.gov/GPO/gpo220609			https://www.usccr.gov/files/2023-11/maine-advisory-committee-report_indigent-legal-services.pdf		
Subject added entry--topical term; Title statement	650; 245	Directory of environmental organizations for Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island and Vermont	000002288	1904401		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.2:N 42 E/976	EP 1.2:N 42 E/976					1976?		FALSE		FALSE								
