MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Bikeway criteria digest: the ABCD's of bikeways.	000034656	3562176		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.30/4:77-201	TD 2.30/4:77-201					1977		FALSE		FALSE								
Main entry	110	Summary of Kok-saghyz investigations: spring and summer 1942.	000093453	6429991		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 77.502:K 82	A 77.502:K 82					1943		FALSE		FALSE								
Subject added entry--corporate name; Title statement; Name of publisher, distributor, etc.; Main entry; Subject added entry--topical term; Varying form of title	610; 245; 260/264$b; 110; 650; 246	Summary of operations - Maryland, United States Department of Agriculture, Agricultural Stabilization and Conservation Service	000100543	6703500		Language material	a	No attempt to code	|	Serial	s	A			Department of Agriculture			A 82.1/2:M 34/	A 82.1/2:M 34/979		110-B-23			19uu		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Baltimore police complaint evaluation procedure: a statement	000103037	6646881		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:P 75/15	CR 1.2:P 75/15		288-A			1980		FALSE		FALSE								
Main entry; Subject added entry--corporate name; Name of publisher, distributor, etc.; Title statement	110; 610; 260/264$b; 245	Introducing the Southern Maryland Division	000249891	14942274		Language material	a	No attempt to code	|	Monograph/item	m	P			United States Postal Service			P 1.2:SO 8	P 1.2:SO 8		837			1986?	86-815-P.	FALSE		FALSE								
Subject added entry--corporate name; Title statement; Name of publisher, distributor, etc.; Main entry; Subject added entry--topical term	610; 245; 260/264$b; 110; 650	Maryland and Washington, DC zip code directory	000312149	21222718		Language material	a	No attempt to code	|	Monograph/item	m	P			United States Postal Service			P 1.52:M 36	P 1.52:M 36					©1989		FALSE		FALSE								
Main entry; Added entry--corporate name	110; 710	Annual report for ...	000364969	25328864		Language material	a	No attempt to code	|	Serial	s	Y			Congress			Y 3.N 88:25-7/			1051-H-44 (MF)			1987-		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	City services and the justice system: do Korean American storeowners in Baltimore, Maryland get equal treatment?	000572515	55968823		Language material	a	Electronic	s	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:2004024429			0288-A (online)			2004		NA		FALSE			https://purl.fdlp.gov/GPO/LPS51735					
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Delaware & Maryland rural development	000580318	61698215		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 114.1/8:			0034-B-08 (online)			19uu		NA		FALSE			https://purl.fdlp.gov/GPO/LPS60624					
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Our year's work ... across Delaware and Maryland	000605859	173666542		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 114.1/8:			0034-B-08 (online)			19uu		NA		FALSE			https://purl.fdlp.gov/GPO/LPS86561					
