MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Subject added entry--topical term	110; 650	Six-district plan: integration of the Springfield, Mass., elementary schools	000001879	2106822		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:SI 9	CR 1.2:SI 9					1976		FALSE		FALSE								
Main entry	110	Open cycle coal fired MHD power generation: final report for the period 21 May 1971-31 May 1975.	000005003	2310855		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:FE-1209-1	ER 1.11:FE-1209-1					1975		FALSE		FALSE								
Main entry	110	Critical contributions in MHD power generation	000044065	3878846		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:FE-2215-6	ER 1.11:FE-2215-6					1976-		FALSE		FALSE								
Main entry	110	Critical contributions in MHD power generation	000047721	4058423		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:FE-2215-2	ER 1.11:FE-2215-2					1975-		FALSE		FALSE								
Main entry	110	Critical contributions in MHD power generation	000047723	4058733		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:FE-2215-6	ER 1.11:FE-2215-6					1976-		FALSE		FALSE								
Main entry	110	Continued evaluation of compact heat exchangers for OTEC application	000050132	4159601		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO/4238-3	E 1.28:COO/4238-3		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry	110	Confined boiling rates of liquefied petroleum gas on water	000052330	3989840		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:HCP/P 4548-01	E 1.28:HCP/P 4548-01		429-T-4			1978		FALSE		FALSE								
Main entry	110	Critical contributions in MHD power generation	000057895	4097286		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2215-8	E 1.28:FE-2215-8		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry	110	Two-dimensional fluid finite element: final report	000062666	4625367		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 88:25/0377			1051-H-11			1978		FALSE		FALSE								
Main entry	110	Degradation of cellulosic biomass and its subsequent utilization for the production of chemical feedstocks: progress report for period March 1-May 31, 1977	000063607	4371249		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO-4198-2	E 1.28:COO-4198-2		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry	110	Degradation of cellulosic biomass and its subsequent utilization for the production of chemical feedstocks	000063608	4371249		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO-4198-4	E 1.28:COO-4198-4		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry	110	Modeling of fluidized-bed combustion of coal	000065223	4849643		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:HCP/T 2295-06	E 1.28:HCP/T 2295-06		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry; Added entry--corporate name; General note	110; 710; 500	Coal pyrolysis by hot solids from a fluidized bed combustor	000067077	4968016		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-MIT-2295 T 27-5	E 1.28:FE-MIT-2295 T 27-5		429-T-4			1978-		FALSE		FALSE								
Main entry	110	Modeling of fluidized bed combustion of coal	000067220	4909324		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:MIT-2295-1-7	E 1.28:MIT-2295-1-7					1979-		FALSE		FALSE								
Main entry	110	Combined cycle research program	000068907	5128943		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:MIT-2295-T 18-2	E 1.28:MIT-2295-T 18-2	E 1.28:MIT-2295-T 18-3	429-T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry	110	Combined cycle research program	000068909	5130468		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:MIT-2295-T 18-4	E 1.28:MIT-2295-T 18-4		429 -T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry; Added entry--corporate name; General note	110; 710; 500	Basic studies of coal pyrolysis and hydrogasification	000071889	5025327		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-MIT-2295 T 26-6	E 1.28:FE-MIT-2295 T 26-6		429-T-4			1978-		FALSE		FALSE								
Main entry; Added entry--corporate name	110; 710	Computer-aided industrial process design: the Aspen project	000071987	4161726		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:MIT-2295 T 9-	E 1.28:MIT-2295 T 9-9		429-T-4			1978-		FALSE		FALSE								
Main entry	110	Degradation of cellulosic biomass and its subsequent utilization for the production of chemical feedstocks	000072042	4526938		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:TID-	E 1.28:TID-27977		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry	110	Design methodologies for energy conservation and passive heating of buildings utilizing improved building components	000073815	4681866		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO/4513-	E 1.28:COO/4513-3		429-T-4 (microfiche)			1978-		FALSE		FALSE								
Main entry	110	Critical contributions in MHD power generation	000073834	4753695		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2215-	E 1.28:FE-2215-9		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry	110	Integrated regional approach to regulating energy facility siting	000075269	5369548	152394395; 985139707	Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 88:25/0241/V.1-2	Y 3.N 88:25/0241/V.1/ERRATA		1051-H-11			1978		TRUE	644009572	FALSE	None	None						
Main entry; Added entry--corporate name	110; 710	Computer-aided industrial process design: the Aspen project	000083427	4097356		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:MIT-2295 T 9-	E 1.28:MIT-2295 T 9-3					1977-		FALSE		FALSE								
Main entry	110	Degradation of cellulosic biomass and its subsequent utilization for the production of chemical feedstocks	000084993	4371249		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO-4198-	E 1.28:COO-4198-5		429-T-4 (microfiche)			1978-		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Assistance in local government energy conservation in Massachusetts	000089982	5591581		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 1.6/3:EN 2/8/	HH 1.6/3:EN 2/8	HH 1.6/3:EN 2/8/STREET	582-E			1979-		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Draft environmental impact statement and draft areawide waste treatment management plan for the Metropolitan Area Planning Council	000212345	11901331		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.57/4:B 65/3/PT.1/V.1-	EP 1.57/4:B 65/3/PT.1/V.1	EP 1.57/4:B 65/3/PT.1/V.3	431-I-55 (pt.1/v.1)			1978-		FALSE		FALSE								
Main entry; Subject added entry--topical term; Name of publisher, distributor, etc.; Title statement	110; 650; 260/264$b; 245	What can schools do?: report to the Massachusetts Board of Education on the role of schools in preparing youth for employment.	000218575	12149349		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:246168	ED 1.310/2:246168		466-A-3 (microfiche)			1983		FALSE		FALSE								
Main entry	110	Government involvement in the innovation process: a contractor's report to the Office of Technology Assessment.	000325501	5286951	4249184	Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 22/2:2 IN 6	Y 3.T 22/2:2 IN 6		1070-M	1070-M (online)		1978		NA		FALSE			https://purl.fdlp.gov/GPO/LPS29097					
Main entry; Subject added entry--corporate name; Name of publisher, distributor, etc.	110; 610; 260/264$b	RLE progress report	000410878	29689026		Language material	a	Microfiche	b	Serial	s	NAS			National Aeronautics and Space Administration			NAS 1.26:			0830-H-14 (MF)			1975		FALSE		FALSE								
Added entry--corporate name; Main entry; Subject added entry--topical term; General note	710; 110; 650; 500	Route 128: Boston's road to segregation.	000678978			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:B 65			0288-A			1975		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Contract compliance and equal employment opportunity in construction industry: transcript of open meeting before Massachusetts State Advisory Committee, opening meeting held in Boston, Mass., June 25-26, 1969.	000679137			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:C 76/2			0288-A			1969		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Massachusetts State Advisory Committee report on Massachusetts	000679140			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:C 76/4						between 1900 and 1999?		FALSE		FALSE								
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Discrimination in housing in Boston metropolitan area: report of Massachusetts Advisory Committee to Commission on Civil Rights.	000679624			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 81/2						1963		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Report on Massachusetts housing discrimination in Springfield-Holyoke-Chicopee metropolitan area [with bibliography]	000679665			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 81/4			0288-A			1966		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Police and minority community in New Bedford, Mass.	000680521			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:P 75/7						between 1900 and 1999?		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Report on racial imbalance in Boston public schools	000680820			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:SCH 6/10			0288-A			1965		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Report on 2 Boston neighborhood meetings: voice of the ghetto	000681310			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:V 87						1967		FALSE		FALSE								
Main entry	110	Research applied to transonic compressors in numerical fluid mechanics of inviscid flow and viscous flow: final technical report for Grant no. NAG 3-9 submitted to the NASA Lewis Research Center, Cleveland, OH 44135	000759272	13171537		Language material	a	Microfiche	b	Monograph/item	m	NAS			National Aeronautics and Space Administration			NAS 1.26:174353			0830-H-14 (MF)			1985		FALSE		FALSE								
Main entry	110	Objectives of United States economic assistance programs	000821442	9498034		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.F 76/6:ST 9/NO.1						1957		FALSE		FALSE								
Main entry	110	United States foreign policy: economic, social, and political change in the underdeveloped countries and its implications for United States policy : a study prepared at the request of the Committee on Foreign Relation, United States Senate	000979147	11194283		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.F 76/2:F 76/12/NO. 12						1960		FALSE		FALSE								
Main entry	110	Design and operation of an hydraulic analog computer for studies of freezing and thawing of soils	001053452	5947887		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.2:C 73/2						1956		FALSE		FALSE								
