MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	Shortchanging the language-minority student: an evaluation of the Manchester, New Hampshire School Department's Title VI civil rights compliance plan : a report of the New Hampshire Advisory Committee to the U.S. Commission on Civil Rights.	000163027	9381445		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:L 26	CR 1.2:L 26		288-A			1982		FALSE							
Subject added entry--corporate name; Main entry; Title statement; Subject added entry--topical term	610; 110; 245; 650	Rules of the United States District Court for the District of New Hampshire: adopted May 1, 1969, amended through January 1, 1985.	000225977	12544186		Language material	a	No attempt to code	|	Monograph/item	m	JU			Judiciary			JU 10.6:N 42 H	JU 10.6:N 42 H		729-A			1985		FALSE							
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	Language and access to health care: easing barriers in New Hampshire	000588907	69116717		Language material	a	Electronic	s	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:L 26/2			0288-A (online)			2005		FALSE		https://purl.fdlp.gov/GPO/LPS69631					
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	New Hampshire fiscal year ... annual report	000609004	184984192		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 114.2:N 42 H			0034-A-01 (online)			19uu		FALSE		https://purl.fdlp.gov/GPO/LPS88973					
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	Annual report, Vermont/New Hampshire	000609005	184984045		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 114.1/45:			0034-B-45 (online)			2003		FALSE		https://purl.fdlp.gov/GPO/LPS88975					
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	Granite State refueler	001116750	1143847213		Language material	a	Online	o	Serial	s	D			Department of Defense			D 12.23/16:			0356-A-18 (online)			19uu		FALSE		https://purl.fdlp.gov/GPO/lps116429					
Varying form of title; Main entry; Title statement; Subject added entry--topical term	246; 110; 245; 650	Solitary confinement in New Hampshire: a report of the New Hampshire Advisory Committee to the U.S. Commission of Civil Rights.	001165977	1302342619		Language material	a	Online	o	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2-2:N 42 H/SO 4			0288-A-17 (online)			2021		FALSE		https://purl.fdlp.gov/GPO/gpo170937			https://www.usccr.gov/files/2021/04-26-New-Hampshire-Advisory-Committee-Report-Solitary-Confinement.pdf		
Title statement; Subject added entry--topical term	245; 650	Directory of environmental organizations for Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island and Vermont	000002288	1904401		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.2:N 42 E/976	EP 1.2:N 42 E/976					1976?		FALSE							
Title statement	245	Senator from New Hampshire: open sessions of the Committee on Rules and Administration, United States Senate, Ninety-fourth Congress, first session, on the petition of John A. Durkin contesting the election of Louis C. Wyman as United States Senator from the State of New Hampshire ...	000003863	1531441		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.R 86/2:N 42 H/975/PT.3	Y 4.R 86/2:N 42 H/975/PT.3					1975-		FALSE							
Title statement; Subject added entry--topical term	245; 650	Forest resources of New Hampshire	000004581	2310887		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.80:NE-43	A 13.80:NE-43					1976		FALSE							
Subject added entry--geographic name; Varying form of title; Title statement	651; 246; 245	Estimates of the population of New Hampshire counties and metropolitan areas: July 1, 1974 and 1975.	000004670	2344708		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 3.186:P-26/75-29			0142-C			1976		FALSE							
Title statement; Subject added entry--topical term	245; 650	New Hampshire-Vermont interstate sewage waste disposal facilities compact: report to accompany H.R. 9153.	000005986	2344622		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:H.RP.1117	94-2:H.RP.1117					1976		FALSE							
Title statement; Subject added entry--topical term	245; 650	Preview of New Hampshire's forest resource	000006336	1325761		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.79:NE-197	A 13.79:NE-197					1974		FALSE							
Varying form of title; Title statement; Subject added entry--topical term	246; 245; 650	Rail 'n River Nature Trail: White Mountain National Forest, New Hampshire.	000007539	2435735		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.2:R 13/2	A 13.2:R 13/2					1976		FALSE							
Title statement	245	Relation of tolerant species to habitat in the White Mountains of New Hampshire	000007557	2487192		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.78:NE-351	A 13.78:NE-351					1976		FALSE							
Title statement; Subject added entry--topical term	245; 650	Floods on Spicket River, Salem, New Hampshire	000009251	2512973		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.47/2:SA 3/7	D 103.47/2:SA 3/7					1976		FALSE							
Varying form of title; Title statement	246; 245	Public Law 94-382: 94th Congress, S. 3589, August 12, 1976 : an act to designate the Federal office building located in Manchester, New Hampshire, as the "Norris Cotton Building".	000009901	2510017		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:PUB.LAW 382	94-2:PUB.LAW 382					1976		FALSE							
Title statement; Subject added entry--topical term	245; 650	Flood plain information: Spicket River, Salem, New Hampshire.	000010318	2571129		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.47:SA 3/9	D 103.47:SA 3/9					1975		FALSE							
Varying form of title; Title statement; Subject added entry--topical term	246; 245; 650	Public Law 94-403: 94th Congress, H.R. 9153, September 9, 1976 : an act granting the consent of Congress to the New Hampshire-Vermont interstate sewage waste disposal facilities compact.	000011230	2570639		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:PUB.LAW 403	94-2:PUB.LAW 403					1976		FALSE							
Title statement; Subject added entry--topical term	245; 650	Forest-land owners of New Hampshire and Vermont	000019671	3086909		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.80:NE-51	A 13.80:NE-51		83-B			1977		FALSE							
Title statement; Subject added entry--topical term	245; 650	Ports of Portland and Searsport, Maine, and Portsmouth, New Hampshire	000020423	3036729		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.8:1/3	D 103.8:1/3		340			1977		FALSE							
General note; Title statement; Subject added entry--topical term	500; 245; 650	Legal status of homemakers in New Hampshire	000024123	3131426		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.W 84:9/30	Y 3.W 84:9/30		1089			1977		FALSE							
Title statement	245	MAST is saving lives: an EMS success story in northeastern New York, Vermont, and northwestern New Hampshire	000027841	3407920		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:M 59	TD 8.2:M 59		982-D-1			1977?		FALSE							
Title statement; Subject added entry--topical term	245; 650	Construction problems with Country Club Estates, Merrimack, New Hampshire - a section 235 housing project: Department of Housing and Urban Development : report of the Comptroller General of the United States.	000028594	2943174		Language material	a	No attempt to code	|	Monograph/item	m	GA			Government Accountability Office			GA 1.13:CED-76-148	GA 1.13:CED-76-148		546-D (microfiche)			1976		FALSE							
Varying form of title; Title statement; Subject added entry--topical term	246; 245; 650	Flood insurance study: city of Claremont, New Hampshire, Sullivan County.	000034038	3597257		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:C 54	HH 10.9:C 54		594-C-32			1977		FALSE							
General note; Title statement; Added entry--corporate name; Subject added entry--topical term	500; 245; 710; 650	Soil survey of Carroll County, New Hampshire	000035391	3689141		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.38:C 23/8	A 57.38:C 23/8		102 (Rev. 1957)			1977		FALSE							
Varying form of title; Title statement; Subject added entry--topical term	246; 245; 650	Flood insurance study: town of Henniker, New Hampshire, Merrimack County.	000035928	3688498		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:H 39	HH 10.9:H 39		594-C-32			1977		FALSE							
General note; Title statement; Subject added entry--topical term	500; 245; 650	Floods on Merrimack and Piscataquog Rivers, Manchester, New Hampshire	000037634	3782139		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.47/2:M 31/7	D 103.47/2:M 31/7					1976?		FALSE							
General note; Title statement; Subject added entry--topical term	500; 245; 650	Flood hazard analyses: Conway, New Hampshire	000039243	3885310		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.64/2:C 76	A 57.64/2:C 76					1974		FALSE							
Varying form of title; Title statement; Subject added entry--topical term	246; 245; 650	Flood insurance study: town of Epsom, New Hampshire, Merrimack County.	000040469	3860897		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:EP 8	HH 10.9:EP 8		594-C-32			1978		FALSE							
Varying form of title; Title statement; Subject added entry--topical term	246; 245; 650	Flood insurance study: town of Hanover, New Hampshire, Grafton County.	000040487	3855002		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:H 19/5	HH 10.9:H 19/5		594-C-32			1978		FALSE							
Title statement	245	Energy conservation in the pulp and paper industry: from Workshop on Energy Conservation in the Pulp and Paper Industry, February 23-25, 1977, Durham, New Hampshire.	000042128	3946814		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:CONF-770234	ER 1.11:CONF-770234					l977		FALSE							
Title statement	245	Resource recovery implementation: engineering and economics : proceedings of an engineering foundation research conference, Rindge, New Hampshire, July 26-30, 1976	000043076	3653824		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.IN 8/4:R 31/8	Y 4.IN 8/4:R 31/8		1019			1977		FALSE							
Title statement; Subject added entry--topical term	245; 650	Relationship of species and site index to habitat in the White Mountains of New Hampshire	000043419	3990269		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.78:NE-397	A 13.78:NE-397		83-B			1978		FALSE							
Title statement; Subject added entry--topical term	245; 650	Motor carrier accident investigation: Tillamook Growers Co-op, accident, June 24, 1976, Lincoln, New Hampshire.	000045467	3986870		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.309:76-6	TD 2.309:76-6					1977		FALSE							
Title statement; Subject added entry--topical term	245; 650	Freight transportation in New Hampshire: hearing before the Committee on Commerce, Science, and Transportation, United States Senate, Ninety-fifth Congress, second session ... January 23, 1978.	000049264	4068972		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.C 73/7:95-66	Y 4.C 73/7:95-66		1041			1978		FALSE							
Title statement; Subject added entry--topical term	245; 650	Relationships of forest vegetation to habitat on two types of glacial drift in New Hampshire	000049544	4149179		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.79:NE-257	A 13.79:NE-257		83-B			1978		FALSE							
Varying form of title; Title statement; Subject added entry--topical term	246; 245; 650	Final environmental impact statement: proposed wastewater collection and treatment facilities, Winnepesaukee River Basin, New Hampshire.	000050357	4161969		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.57/3:W 28	EP 1.57/3:W 28					1976		FALSE							
