MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
General note; Main entry	500; 110	Bridge inspector's manual for movable bridges	000022116	3063765		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.8:B 76/4	TD 2.8:B 76/4		982-G-2			1977		FALSE		FALSE								
Main entry	110	Economic impact of the U.S. port industry: an input-output analysis of waterborne transportation : prepared for the U.S. Department of Commerce, Maritime Administration.	000051882	4234546		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 39.202:P 83/5/V.1-2	C 39.202:P 83/5		0235			1978		TRUE	557960732	FALSE	None	None						
Main entry	110	Tools and rules: Federal environmental protection programs	000068996	6423308	5096158	Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.8:T 61			0431-K			1978		TRUE	624420447	FALSE	None	None						
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Prospective reimbursement system based on patient case-mix for New Jersey hospitals, 1976-1978	000072288	5055173		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 22.16:3	HE 22.16:3		512-A-9			1978-		FALSE		FALSE								
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Prospective reimbursement system based on patient case-mix for New Jersey hospitals, 1976-1981	000080225	5589745		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 22.19:N 42 J/976-81	HE 22.19:N 42 J/976-81		512-A-1			1979		FALSE		FALSE								
Varying form of title; Main entry; Subject added entry--corporate name; Name of publisher, distributor, etc.; Subject added entry--topical term; Title statement	246; 110; 610; 260/264$b; 650; 245	Report of the United States Attorney for the District of New Jersey to the Attorney General	000102138	4919864		Language material	a	No attempt to code	|	Serial	s	J			Department of Justice			J 31.9:N 42 J/	J 31.9:N 42 J		717-C-9			1978		FALSE		FALSE								
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Use and abuse of police powers: law enforcement practices and the minority community in New Jersey	000431744	31805747		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:P 75/25	CR 1.2:P 75/25		0288-A (MF)			1994		FALSE		FALSE								
Subject added entry--corporate name; Subject added entry--topical term; Main entry; Title statement	610; 650; 110; 245	New York/New Jersey HIDTA ... annual report	000626134	263029270		Language material	a	Electronic	s	Serial	s	PREX			Executive Office of the President			PREX 26.1/3:N 42 YJ			0857-R-03 (online)			2005		NA		FALSE			https://purl.fdlp.gov/GPO/LPS104318					
Name of publisher, distributor, etc.; Subject added entry--topical term; Main entry; Subject added entry--corporate name	260/264$b; 650; 110; 610	Annual report	000631350	298542104		Language material	a	Electronic	s	Serial	s	Y			Congress			Y 3.F 31/20:1/13			1061-E-13 (online)			19uu		NA		FALSE			https://purl.fdlp.gov/GPO/LPS104762					
Varying form of title; Main entry; Subject added entry--corporate name; Subject added entry--topical term; Title statement	246; 110; 610; 650; 245	New York/New Jersey High Intensity Drug Trafficking Area drug market analysis	000661909	506499978		Language material	a	Electronic	s	Serial	s	PREX			Executive Office of the President			PREX 26.1/3:N 42 YJ			0857-R-03 (online)			2007		NA		FALSE			https://purl.fdlp.gov/GPO/LPS119338					
Subject added entry--topical term; Main entry	650; 110	Public housing in Newark's Central Ward: report	000679732			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 81/9						1968		FALSE		FALSE								
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Report on New Jersey	000680281			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:N 42 J						1963		FALSE		FALSE								
Subject added entry--geographic name; Subject added entry--topical term; Main entry; Title statement	651; 650; 110; 245	Battered women in New Jersey: a report	001161678	7231781	1057065463; 1059825297; 1083393818; 1090010348; 1108893177; 1225783210	Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:W 84/8			0288-A			1981		TRUE	567818420	FALSE	None	None						
Subject added entry--topical term; Varying form of title; Main entry; Title statement	650; 246; 110; 245	Civil rights impacts of civil and criminal asset forfeitures in New Jersey: a report of the New Jersey Advisory Committee to the U.S. Commission on Civil Rights.	001165765	1302338885		Language material	a	Online	o	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2-2:N 42 J/AS 7			0288-A-17 (online)			2021		NA		FALSE			https://purl.fdlp.gov/GPO/gpo161330			https://www.usccr.gov/files/2021-10/combined-nj-forfeiture-report.pdf		
Subject added entry--topical term; Varying form of title; Main entry; Title statement	650; 246; 110; 245	Criminal records: civil rights impact on access to occupational licenses-employment in New Jersey : a report of the New Jersey Advisory Committee to the U.S. Commission on Civil Rights.	001165783	1302341050		Language material	a	Online	o	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2-2:N 42 J/C 86			0288-A-17 (online)			2021		NA		FALSE			https://purl.fdlp.gov/GPO/gpo161336			https://www.usccr.gov/files/2021-10/new-jersey-licensing-report.pdf		
Subject added entry--corporate name; Subject added entry--topical term; Main entry; Title statement	610; 650; 110; 245	New Jersey Technical Assistance Project (N.J. TAP): state and multi state projects for children who are deaf-blind : final report.	001175460	1305067866		Language material	a	Online	o	Monograph/item	m	ED			Department of Education			ED 1.310/2:391308			0466-A-03 (online)			1995		NA		FALSE			https://purl.fdlp.gov/GPO/gpo176353			https://eric.ed.gov/?id=ED391308		
Main entry; Subject added entry--geographic name; Subject added entry--corporate name; Subject added entry--topical term; Title statement	110; 651; 610; 650; 245	New Jersey Technical Assistance Project (N.J. TAP): state and multi state projects for children who are deaf-blind : final report.	001175461	880726436		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:391308			0466-A-03 (MF)			1995		TRUE	1305067866	TRUE	001175460	https://purl.fdlp.gov/GPO/gpo176353						
Main entry	110	Report of the select committee, appointed on the 31st of December last, to consider and report upon the petition of Augustus F. Cammann. February 4, 1824. Read, and ordered to lie upon the table	001182497	1065546502		Language material	a	Online	o	Monograph/item	m	Y			Congress			Y 1.1/2:105	18-1:H.RP.55					1824		NA		FALSE			https://purl.fdlp.gov/GPO/gpo196542			https://www.govinfo.gov/content/pkg/SERIALSET-00105_00_00-056-0055-0000/pdf/SERIALSET-00105_00_00-056-0055-0000.pdf		
Subject added entry--geographic name; Main entry; Title statement	651; 110; 245	In Senate of the United States, May 22, 1828. Mr. Berrien made the following report: The Select Committee, to whom was referred the memorial of sundry citizens of New Jersey, touching the election of Ephraim Bateman, a senator from that state, report	001182699	1065738278		Language material	a	Online	o	Monograph/item	m	Y			Congress			Y 1.1/2:167	20-1:S.DOC.202					1828		NA		FALSE			https://purl.fdlp.gov/GPO/gpo196735			https://www.govinfo.gov/content/pkg/SERIALSET-00167_00_00-031-0202-0000/pdf/SERIALSET-00167_00_00-031-0202-0000.pdf		
Subject added entry--topical term; Title statement	650; 245	Reconnaissance of bottom sediments on the inner and central New Jersey shelf (MESA data report)	000000167	1317999		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 55.617:1	C 55.617:1					1974		FALSE		FALSE								
Title statement	245	Morristown National Historical Park, New Jersey	000002918	2288050		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 29.21:M 85/976	I 29.21:M 85/976					1975		FALSE		FALSE								
Title statement	245	Delaware Water Gap National Recreation Area, New Jersey and Pennsylvania	000002924	2286214		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 29.39:D 37/974	I 29.39:D 37/974					1974		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Predicted oil slick movement from various locations off the New Jersey-Delaware coastline: final report	000003406	2092758		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 5.25/2:137-75	TD 5.25/2:137-75					1975		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Computer simulation technique for oil spills off the New Jersey-Delaware coastline: final report	000003408	2081674		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 5.25/2:171-75	TD 5.25/2:171-75					1975		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Forest-land owners of Southern New Jersey	000004579	2352527		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.80:NE-39	A 13.80:NE-39					1975		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Proposed new energy technologies off the shores of New Jersey and Delaware: what are the implications? Congress wants to know ...	000005702	2314802		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 22/2:2 EN 2	Y 3.T 22/2:2 EN 2					1976?		FALSE		FALSE								
Subject added entry--geographic name; Subject added entry--topical term; Title statement	651; 650; 245	Long-term health care and other problems of the elderly in New Jersey: hearing before the Select Committee on Aging, House of Representatives, Ninety-fourth Congress, second session ... April 2, 1976.	000005716	2326034		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.AG 4/2:H 34/6	Y 4.AG 4/2:H 34/6		1009			1976		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Implementation plan review for New Jersey as required by the Energy supply and environmental coordination act	000007949	2487847		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.58:450/3-74-071	EP 1.58:450/3-74-071					1974		FALSE		FALSE								
Subject added entry--topical term; General note; Added entry--corporate name; Title statement	650; 500; 710; 245	Soil survey of Morris County, New Jersey	000010073	2592052		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.38:M 83/2	A 57.38:M 83/2					1976		FALSE		FALSE								
Subject added entry--geographic name; Varying form of title; Title statement	651; 246; 245	Estimates of the population of New Jersey counties and metropolitan areas: July 1, 1974 and 1975.	000010120	43064684		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 3.186:P-26/75-30			0142-C-04			1976		FALSE		FALSE								
