MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
General note; Main entry	500; 110	Teacher aides: a suggested two-year post high school curriculum.	000000685	1929084		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.118:T 22	HE 19.118:T 22					1974		FALSE		FALSE								
Main entry; Subject added entry--corporate name; Name of publisher, distributor, etc.; Subject added entry--topical term; Title statement	110; 610; 260/264$b; 650; 245	Equal employment opportunity at the State University of New York: a report of the New York State Advisory Committee to the United States Commission on Civil Rights	000007718	2432245		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:EM 7/8	CR 1.2:EM 7/8					1976		FALSE		FALSE								
Subject added entry--topical term; General note; Added entry--corporate name; Main entry	650; 500; 710; 110	Transit station area joint development: strategies for implementation : executive summary.	000015252	2727982		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 7.11:NY-06-0047-76-1	TD 7.11:NY-06-0047-76-1		982-I-5			1976		FALSE		FALSE								
Subject added entry--topical term; General note; Main entry; Title statement	650; 500; 110; 245	Services to the mentally disabled of selected catchment areas in eastern New York State and New York City	000017098	2807307		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.8110:B/9	HE 20.8110:B/9		491-A			1977		FALSE		FALSE								
Subject added entry--topical term; General note; Main entry	650; 500; 110	Services to the mentally disabled of Warren-Washington CMHC catchment area	000017100	2814006		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.8110:B/11	HE 20.8110:B/11		491-A			1976		FALSE		FALSE								
Main entry	110	Coordinating transportation for the elderly and handicapped: a state of the art report	000018798	2832583		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 7.2:EL 2/2	TD 7.2:EL 2/2					1976		FALSE		FALSE								
Main entry	110	LORAN-C feasibility demonstration plan	000022224	3011753		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:L 85/2	TD 8.2:L 85/2					1976		FALSE		FALSE								
General note; Main entry	500; 110	Loran-C conceptual analysis	000024033	2620551		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:L 88	TD 8.2:L 88					1976		FALSE		FALSE								
Subject added entry--topical term; General note; Main entry	650; 500; 110	Mobility of people and goods in the urban environment: mobility of the handicapped and elderly	000026596	3229895		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 1.20:77-43	TD 1.20:77-43		982-I-5			1977		FALSE		FALSE								
Main entry	110	Coordinating transportation for the elderly and handicapped: a state of the art report	000027492	3410488		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 23.3002:T 68	HE 23.3002:T 68		447-A-1			1977		FALSE		FALSE								
Subject added entry--topical term; Varying form of title; Main entry; Title statement	650; 246; 110; 245	Forgotten minority: Asian Americans in New York City : a report.	000033155	3624797		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:AS 4/2	CR 1.2:AS 4/2		288-A			1977		FALSE		FALSE								
Name of publisher, distributor, etc.; Main entry	260/264$b; 110	Proving Federal crimes	000038440	3752469	26106743	Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 1.2:P 94/20/976						1976		FALSE		FALSE								
General note; Main entry	500; 110	Flood plain information: Lamoille, North Branch, Brewster, and Seymour Rivers, Cambridge, Vermont.	000039584	2657536		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.47:C 14/5	D 103.47:C 14/5					1976		FALSE		FALSE								
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	New York State intercity travel data, 1975	000040904	3877229		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 1.20/7:50-77-6	TD 1.20/7:50-77-6		982-I-13			1977		FALSE		FALSE								
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	New York: an examination of the integrated effects of adopting various energy conservation and load leveling policies for the metropolitan area of New York City : final report	000042062	3915679		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:HCP/B 60540-01	E 1.28:HCP/B 60540-01		429-T-4			1978		FALSE		FALSE								
Subject added entry--topical term; General note; Main entry; Title statement	650; 500; 110; 245	Nation's toughest drug law: evaluating the New York experience : final report of the Joint Committee on New York Drug Law Evaluation : executive summary.	000044732	4019655		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 1.2:D 84/2/SUM.	J 1.2:D 84/2/SUM.		717			©1977		FALSE		FALSE								
Subject added entry--topical term; General note; Main entry; Title statement	650; 500; 110; 245	Nation's toughest drug law: evaluating the New York experience : final report of the Joint Committee on New York Drug Law Evaluation.	000048480	3494960		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 1.2:D 84/2	J 1.2:D 84/2		717			1978		FALSE		FALSE								
Subject added entry--topical term; General note; Main entry; Title statement	650; 500; 110; 245	Staff papers of the drug law evaluation project: a companion volume to the final report of the Joint Committee on New York Drug Law Evaluation.	000048481	4066532		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 1.2:D 84/2/PAPERS	J 1.2:D 84/2/PAPERS		717			1978		FALSE		FALSE								
Main entry	110	Economic impact of the U.S. port industry: an input-output analysis of waterborne transportation : prepared for the U.S. Department of Commerce, Maritime Administration.	000051882	4234546		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 39.202:P 83/5/V.1-2	C 39.202:P 83/5		0235			1978		TRUE	557960732	FALSE	None	None						
Name of publisher, distributor, etc.; Main entry	260/264$b; 110	Maintenance of the Raritan River, New Jersey navigation project	000052132	4254686		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.62:R 18	D 103.62:R 18					1976		FALSE		FALSE								
Main entry	110	Final environmental impact statement: proposed 1979 OCS oil and gas lease sale offshore the Mid-Atlantic States.	000052956	3987250		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:OI 5/2/979/V.1-2	I 1.98:OI 5/2/979/V.1-2		603-G			1978		FALSE		FALSE								
Subject added entry--topical term; General note; Added entry--corporate name; Main entry	650; 500; 710; 110	Playground for all children	000058387	4330739		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 1.2:P 69/BK.1-3	HH 1.2:P 69/BK.1-3		582			1978		FALSE		FALSE								
Main entry	110	Fluid dynamics of a fluidized bed packed with heat exchangers	000059803	4102348		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2256-4	E 1.28:FE-2256-4		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Sweat equity homesteading of multifamily housing in New York City	000062095	2917838		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 1.2:H 75/9	HH 1.2:H 75/9					1977		FALSE		FALSE								
Subject added entry--topical term; Added entry--corporate name; Main entry; Title statement	650; 710; 110; 245	New York City infant day care study: a comparative study of licensed group and family day care programs and the effects of these programs on children and their families	000065632	4758508		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.5102:IN 3/11	HE 20.5102:IN 3/11		532-E-1			1979		FALSE		FALSE								
Main entry	110	Anaerobic fermentation of agricultural residues: potential for improvement and implementation.	000083544	4359678		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO-2981-	E 1.28:TID-28736	E 1.28:TID-28736	429-T-4 (microfiche)			1978-		FALSE		FALSE								
Main entry	110	Business life insurance	000083963	5807907		Language material	a	No attempt to code	|	Monograph/item	m	SBA			Small Business Administration			SBA 1.10:222	SBA 1.10:222		901-E			1975 i.e. 1977		FALSE		FALSE								
Main entry; Title statement	110; 245	New York City Housing Authority, (NYCHA), radiator valve demonstration study	000084986	5934911		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO-2935-16	E 1.28:COO-2935-16		429-T-4 (microfiche)			1978 i.e. 1979		FALSE		FALSE								
Main entry	110	Improved techniques for gasifying coal	000087410	4394175		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2340-	E 1.28:FE-2340-6		429-T-4			1978-		FALSE		FALSE								
Subject added entry--geographic name; Subject added entry--topical term; Main entry	651; 650; 110	Asian Americans; an agenda for action: a conference summary	000089152	6124477		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.8:AS 4/3	CR 1.8:AS 4/3		288-A-1			1980		FALSE		FALSE								
Main entry	110	Deposition, fabrication and analysis of polycrystalline silicon MIS solar cells	000101276	6219786		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:DOE/ET/23044-	E 1.28:DOE/ET/23044-T 3		429-T-4 (microfiche)			1979-		FALSE		FALSE								
Main entry	110	Baltimore Canyon lease status map: (OCS sale no. 40 August 17, 1976, OCS sale no. 49 February 28, 1979) proposed tracts for OCS sale no. 59, December 1981 sale date (tentative) : Mid-Atlantic Outer Continental Shelf and slope	000129646	7100585		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:OI 5/2/981/MAP	I 1.98:OI 5/2/981/MAP		603-G			1980		FALSE		FALSE								
Main entry	110	Water resources appraisal for hydroelectric licensing: Potomac River basin, Pennsylvania, Maryland, West Virginia, and District of Columbia.	000132234	8287088		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 2.12:0047	E 2.12:0047		429-V-1			1980		FALSE		FALSE								
Name of publisher, distributor, etc.; Added entry--corporate name; Subject added entry--topical term; Main entry	260/264$b; 710; 650; 110	New Utrecht High School project C.A.P.I.S.C.O., 1979-1980	000171860	9950140		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:202937	ED 1.310/2:202937		466-A-3 (microfiche)			1980		FALSE		FALSE								
Name of publisher, distributor, etc.; Added entry--corporate name; Subject added entry--topical term; Main entry	260/264$b; 710; 650; 110	George W. Wingate High School bilingual program, 1979-1980	000171861	9947620		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:202938	ED 1.310/2:202938		466-A-3 (microfiche)			1980		FALSE		FALSE								
Name of publisher, distributor, etc.; Added entry--corporate name; Subject added entry--topical term; Main entry	260/264$b; 710; 650; 110	South Shore High School project BLAST, Bilingual Assistance for Students, 1979-1980	000171862	9921429		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:202950	ED 1.310/2:202950		466-A-3 (microfiche)			1980		FALSE		FALSE								
Main entry; General note; Name of publisher, distributor, etc.; Subject added entry--topical term; Added entry--corporate name	110; 500; 260/264$b; 650; 710	Louis D. Brandeis High School bilingual program, 1979-1980	000171863	9925427		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:202951	ED 1.310/2:202951		466-A-3 (microfiche)			1980		FALSE		FALSE								
Name of publisher, distributor, etc.; Added entry--corporate name; Subject added entry--topical term; Main entry	260/264$b; 710; 650; 110	South Bronx High School bilingual basic skills program, 1979-1980	000171864	9921530		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:202952	ED 1.310/2:202952		466-A-3 (microfiche)			1980		FALSE		FALSE								
Name of publisher, distributor, etc.; Added entry--corporate name; Subject added entry--topical term; Main entry	260/264$b; 710; 650; 110	Project ECO: Equal Career Opportunities for bilingual high school students, 1979-1980	000171865	9956492		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:202953	ED 1.310/2:202953		466-A-4 (microfiche)			1980		FALSE		FALSE								
Main entry; Subject added entry--corporate name; Name of publisher, distributor, etc.; Subject added entry--topical term; Added entry--corporate name	110; 610; 260/264$b; 650; 710	James Monroe High School bilingual program, 1979-1980	000171866	9921349		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:202954	ED 1.310/2:202954		466-A-3 (microfiche)			1980		FALSE		FALSE								
Name of publisher, distributor, etc.; Added entry--corporate name; Subject added entry--topical term; Main entry	260/264$b; 710; 650; 110	Trilingual Education Learning Environment (TELE), 1979-1980	000171867	9921472		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:202955	ED 1.310/2:202955		466-A-3 (microfiche)			1980		FALSE		FALSE								
Name of publisher, distributor, etc.; Added entry--corporate name; Subject added entry--topical term; Main entry	260/264$b; 710; 650; 110	Thomas Jefferson High School: effective transition of the bilingual/bicultural student, 1979-1980	000171868	9921318		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:202956	ED 1.310/2:202956		466-A-3 (microfiche)			1980		FALSE		FALSE								
Name of publisher, distributor, etc.; Added entry--corporate name; Subject added entry--topical term; Main entry	260/264$b; 710; 650; 110	Project SABE, 1979-1980	000171887	9950203		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:205654	ED 1.310/2:205654		466-A-3 (microfiche)			1980		FALSE		FALSE								
Name of publisher, distributor, etc.; Added entry--corporate name; Subject added entry--topical term; Main entry	260/264$b; 710; 650; 110	John Bowne High School bilingual program, 1979-1980	000171888	9921566		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:205660	ED 1.310/2:205660		466-A-3 (microfiche)			1980		FALSE		FALSE								
Name of publisher, distributor, etc.; Added entry--corporate name; Subject added entry--topical term; Main entry	260/264$b; 710; 650; 110	ESEA title I: nonpublic school programs, English as a second language, 1979-1980	000171889	9950023		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:205664	ED 1.310/2:205664		466-A-3 (microfiche)			1980		FALSE		FALSE								
Name of publisher, distributor, etc.; Added entry--corporate name; Subject added entry--topical term; Main entry	260/264$b; 710; 650; 110	Native language reading approach training program, 1979-1980	000171900	9956206		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:206747	ED 1.310/2:206747		466-A-3 (microfiche)			1980		FALSE		FALSE								
Name of publisher, distributor, etc.; Added entry--corporate name; Subject added entry--topical term; Main entry	260/264$b; 710; 650; 110	Sarah J. Hale High School project SABER, 1979-80	000171901	9925359		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:206748	ED 1.310/2:206748		466-A-3 (microfiche)			1980		FALSE		FALSE								
Name of publisher, distributor, etc.; Added entry--corporate name; Subject added entry--topical term; Main entry	260/264$b; 710; 650; 110	Comprehensive high school bilingual program, 1979-1980	000171902	9954467		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:206749	ED 1.310/2:206749		466-A-3 (microfiche)			1980		FALSE		FALSE								
