MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Occupational preparation in the natural resources: a suggested high school curriculum guide	000014951	2738130		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 5.6/2:N 21/4	HE 5.6/2:N 21/4					1973		FALSE							
Main entry	110	Hot forming of silicon sheet, silicon sheet growth development for the large area silicon sheet task of the low cost silicon solar array project	000039907	3520551		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:ERDA/JPL/954506-77/2	ER 1.11:ERDA/JPL/954506-77/2					1977-		FALSE							
Main entry; Title statement; Name of publisher, distributor, etc.	110; 245; 260/264$b	Pennsylvania Avenue plan, 1974	000045811	1736236		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.P 38:2 P 69	Y 3.P 38:2 P 69		1089			1978		FALSE							
Main entry	110	Last suffrage frontier: enfranchising mental hospital residents : a report	000046836	3997907		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:SU 2	CR 1.2:SU 2		288-A			1978		FALSE							
Main entry	110	Relation of coal characteristics to liquefaction behavior	000047419	3906464		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2494-2	E 1.28:FE-2494-2		429-T-4 (microfiche)			1977-		FALSE							
Main entry	110	Hot forming of silicon sheet, silicon sheet growth development for the large area silicon sheet task of the low cost silicon solar array project	000063621	4736316		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:DOE/JPL/954506-1	E 1.28:DOE/JPL/954506-1		429-T-4 (microfiche)			1978-		FALSE							
General note; Main entry; Title statement	500; 110; 245	Historic preservation plan of the Pennsylvania Avenue Development Corporation	000064351	4323525		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.P 38:2 P 69/2	Y 3.P 38:2 P 69/2		1089			1978		FALSE							
Main entry	110	Background information for the economic assessment of solvent fermentation processes	000065133	4818893		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO/4070-4	E 1.28:COO/4070-4		429-T-4 (microfiche)			1977		FALSE							
Main entry	110	Studies on cellulose degradation by a thermoactinomyces sp.	000067054	4898073		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO/4070-2	E 1.28:COO/4070-2		429-T-4 (microfiche)			1977		FALSE							
Main entry; Added entry--corporate name	110; 710	Study of the mineral matter distribution in pulverized fuel coals with respect to slag deposit formation in boiler furnaces: phase 1	000068869	4936768		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2316-7	E 1.28:FE-2316-7		429-T-4			1977-		FALSE							
