MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Spreading, retention, and clean-up of oil spills	000050191	4142437		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:HCP/P 2756-0L	E 1.28:HCP/P 2756-0L		429-T-4			1978		FALSE							
Main entry	110	Assessment of treated vs. untreated oil spills: interim report.	000050197	4145576		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:HCP/W 4047-02	E 1.28:HCP/W 4047-02		429-T-4			1978		FALSE							
Subject added entry--topical term; Main entry; Subject added entry--corporate name	650; 110; 610	Activity report for our conservation partners	000616337	233573500		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 57.81/39:			0120-C-53 (online)			2006		FALSE		https://purl.fdlp.gov/GPO/LPS95560					
Subject added entry--topical term; Main entry; Title statement; Varying form of title	650; 110; 245; 246	Licensing barriers to employment post-conviction in Rhode Island: a report of the Rhode Island Advisory Committee to the U.S. Commission on Civil Rights.	001165857	1302341299		Language material	a	Online	o	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2-2:R 34/L 61			0288-A-17 (online)			2021		FALSE		https://purl.fdlp.gov/GPO/gpo161399			https://www.usccr.gov/files/2021/04-26-Rhode-Island-Advisory-Committee-Report-Licensing-Barriers-to-Employment-Post-Conviction.pdf		
Main entry	110	Claim of Virginia. January 16, 1832	001183029	1065821456		Language material	a	Online	o	Monograph/item	m	Y			Congress			Y 1.1/2:224	22-1:H.RP.191					1832		FALSE		https://purl.fdlp.gov/GPO/gpo197045			https://www.govinfo.gov/content/pkg/SERIALSET-00224_00_00-192-0191-0000/pdf/SERIALSET-00224_00_00-192-0191-0000.pdf		
Subject added entry--topical term; Title statement	650; 245	Directory of environmental organizations for Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island and Vermont	000002288	1904401		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.2:N 42 E/976	EP 1.2:N 42 E/976					1976?		FALSE							
Title statement	245	Nomination of Frederick Irving: hearing before the Committee on Foreign Relations, United States Senate, Ninety-fourth Congress, second session, on the nomination of Frederick Irving, of Rhode Island ... to be Assistant Secretary of State for Oceans and International Environmental and Scientific Affairs, March 23, 1976.	000005823	2344870		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.F 76/2:IR 8	Y 4.F 76/2:IR 8		1039			1976		FALSE							
Title statement	245	Independence of the Federal Reserve system: address by Arthur F. Burns at the one hundred and thirteenth commencement exercises of Bryant College, Smithfield, Rhode Island, May 22, 1976.	000007984	2454842		Language material	a	No attempt to code	|	Monograph/item	m	FR			Federal Reserve System Board of Governors			FR 1.23:B 93/31	FR 1.23:B 93/31					1976		FALSE							
Subject added entry--geographic name; Title statement; Varying form of title	651; 245; 246	Estimates of the population of Rhode Island counties and metropolitan areas: July 1, 1974 and 1975.	000010123	49522378		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 3.186:P-26/75-39			0142-C			1976		FALSE							
Title statement	245	Tributes to the Honorable John O. Pastore of Rhode Island: in the United States Senate, upon the occasion of his retirement from the Senate.	000019241	2899727		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:S.RP.277	94-2:S.RP.277					1977		FALSE							
General note; Subject added entry--topical term; Title statement	500; 650; 245	Legal status of homemakers in Rhode Island	000024125	3155139		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.W 84:9/40	Y 3.W 84:9/40		1089			1977		FALSE							
Subject added entry--topical term; Title statement	650; 245	School desegregation in Providence, Rhode Island: a staff report of the U.S. Commission on Civil Rights.	000027121	3349084		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:D 45/29	CR 1.2:D 45/29		288-A			1977		FALSE							
Subject added entry--topical term; Title statement	650; 245	Flood insurance study: town of North Providence, Providence County, Rhode Island.	000027539	3352478		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:N 81 P	HH 10.9:N 81 P		594-C-43			1977		FALSE							
Title statement	245	Research and innovation in the building regulatory process: proceedings of the first NBS/NCSBCS joint conference, held in Providence, Rhode Island, on September 21-22, 1976, in conjunction with the ninth annual meeting of the National Conference of States on Building Codes and Standards (NCSBCS), inc.	000028385	2984032		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 13.10:473	C 13.10:473		0247			1977		FALSE							
Subject added entry--topical term; Title statement	650; 245	Poor design reviews and construction inspections of apartment project in Rhode Island: Department of Housing and Urban Development : report of the Comptroller General of the United States.	000028637	3228229		Language material	a	No attempt to code	|	Monograph/item	m	GA			Government Accountability Office			GA 1.13:CED-77-66	GA 1.13:CED-77-66		546-D (microfiche)			1977		FALSE							
Subject added entry--topical term; Title statement; Varying form of title	650; 245; 246	Flood insurance study: town of West Warwick, Rhode Island, Kent County.	000029010	3484872		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:W 52 W/3	HH 10.9:W 52 W/3		594-C-43			1977		FALSE							
Subject added entry--topical term; Title statement	650; 245	Soil classification, selected features, and groups of Rhode Island soil series	000030848	3529189		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.2:R 34	A 57.2:R 34					1976		FALSE							
Title statement	245	Anthracite in the Narragansett Basin of Rhode Island and Massachusetts	000031805	3547752		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 28.27:8760	I 28.27:8760		637-A			1977		FALSE							
General note; Subject added entry--topical term; Title statement	500; 650; 245	Flood hazard analyses: Saugatucket River and tributaries, South Kingstown, Rhode Island	000033054	3624355		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.64/2:SA 8	A 57.64/2:SA 8					1976		FALSE							
General note; Subject added entry--topical term; Title statement	500; 650; 245	Interim soil survey report for Town of Middletown, Rhode Island	000035399	3656231		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.38:M 58/2/INTERIM	A 57.38:M 58/2/INTERIM					1976		FALSE							
Title statement	245	Nomination: hearing before the Committee on Human Resources, United States Senate, Ninety-fifth Congress, first session, on John H. Fanning, of Rhode Island, to be Chairman, National Labor Relations Board, October 26, 1977.	000038956	3753207		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.H 88:N 72/977-24	Y 4.H 88:N 72/977-24		1043			1978		FALSE							
General note; Subject added entry--topical term; Title statement	500; 650; 245	Flood hazard analyses: Bailey Brook, Middletown, Rhode Island	000039240	2398587		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.64/2:B 15	A 57.64/2:B 15					1974		FALSE							
Subject added entry--topical term; Title statement; Subject added entry--geographic name	650; 245; 651	Hydrocarbons in sediments and benthic organisms from a dredge spoil disposal site in Rhode Island Sound	000039722	3739214	1225772360	Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.23:600/3-77-092			0431-I-11			1977		TRUE	760807226						
Subject added entry--topical term; Title statement	650; 245	Building standards and energy conservation in public school buildings: an overview of three states, Colorado, Rhode Island, Virginia	000040018	3850571		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:TID-27629-P3	ER 1.11:TID-27629-P3		1051-C (microfiche)			1977		FALSE							
Subject added entry--topical term; Title statement; Varying form of title	650; 245; 246	Flood insurance study: town of North Smithfield, Rhode Island , Providence County.	000042335	3955627		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:N 81 SM	HH 10.9:N 81 SM		594-C-43			1978		FALSE							
General note; Subject added entry--topical term; Title statement	500; 650; 245	Report of accomplishments, Rhode Island	000046440	3140014		Language material	a	No attempt to code	|	Serial	s	A			Department of Agriculture			A 82.1/2:R 34/975	A 82.1/2:R 34/975					19uu		FALSE							
Subject added entry--topical term; Title statement; Varying form of title	650; 245; 246	Flood insurance study: town of Coventry, Rhode Island, Kent County.	000048212	4102409		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:C 83/4	HH 10.9:C 83/4		594-C-43			1978		FALSE							
Subject added entry--topical term; Title statement; Varying form of title	650; 245; 246	Flood insurance study: town of Johnston, Rhode Island, Providence County.	000048245	4092656		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:J 64	HH 10.9:J 64		594-C-43			1978		FALSE							
Subject added entry--topical term; Title statement	650; 245	Marine casualty report: foundering of the motor vessel Comet off Point Judith, Rhode Island on 19 May 1973 with loss of life	000048889	3435103		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 1.116:P 75 J	TD 1.116:P 75 J					1975		FALSE							
Title statement	245	Final environmental impact statement: wind turbine generator system : Block Island, Rhode Island.	000052246	4176300		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.20:0006	E 1.20:0006		429-R			1978		FALSE							
Subject added entry--topical term; Title statement	650; 245	Rhode Island Indian claims settlement act: joint hearing before the United States Senate, Select Committee on Indian Affairs, and the U.S. House of Representatives, Committee on Interior and Insular Affairs, Subcommittee on Indian Affairs and Public Lands, Ninety-fifth Congress, second session, on S. 3153 and H.R. 12860 ... June 20, 1978.	000053650	4297238		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.IN 2/11:R 34	Y 4.IN 2/11:R 34		1009			1978		FALSE							
Subject added entry--topical term; Title statement	650; 245	Rhode Island claims settlement act: report to accompany S. 3153.	000053905	4265037		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			95-2:S.RP.972	95-2:S.RP.972		1008-A			1978		FALSE							
Subject added entry--topical term; Title statement	650; 245	Federal response to the Rhode Island blizzard emergency: Hearing before the Subcommittee on Regional and Community Development of the Committee on Environment and Public Works, United States Senate, Ninety-fifth Congress, second session, March 7, 1978.	000057069	4257646		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.P 96/10:95-H 49	Y 4.P 96/10:95-H 49		1045			1978		FALSE							
Subject added entry--topical term; Title statement	650; 245	Act to settle Indian land claims within the State of Rhode Island and Providence Plantations, and for other purposes	000057304	4326405		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			95-2:PUB.LAW 395	95-2:PUB.LAW 395		575			1978		FALSE							
Subject added entry--topical term; Title statement	650; 245	Settling Indian land claims within the State of Rhode Island and Providence Plantations, and for other purposes: report to accompany H.R. 12860.	000059147	4399211		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			95-2:H.RP.1453	95-2:H.RP.1453		1008-A			1978		FALSE							
Subject added entry--topical term; Title statement; Added entry--corporate name	650; 245; 710	Rhode Island: an inventory of historic engineering and industrial sites	000064061	4703046		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 70.9:R 34	I 70.9:R 34		646-P			1978		FALSE							
Subject added entry--topical term; Title statement; Varying form of title	650; 245; 246	Flood insurance study: town of Burrillville, Rhode Island, Providence County.	000067743	4979486		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:B 94	HH 10.9:B 94		594-C-43			1979		FALSE							
Subject added entry--topical term; Title statement; Varying form of title	650; 245; 246	Flood insurance study: town of Glocester, Rhode Island, Providence County.	000069315	5139266		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:G 51	HH 10.9:G 51		594-C-43			1979		FALSE							
