MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	On-the-road driving behavior and breath alcohol concentration	000018807	2899870		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:B 74/2	TD 8.2:B 74/2					1977		FALSE							
Subject added entry--topical term; Main entry; Title statement; Subject added entry--geographic name	650; 110; 245; 651	Racial harassment in Vermont public schools	000524590	44679940		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:R 11/12			0288-A (MF)			1999	2000-0794-M.	FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Vermont fiscal year ... annual report	000609003	184984147		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 114.2:V 59			0034-A-01 (online)			19uu		FALSE		https://purl.fdlp.gov/GPO/LPS88974					
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Annual report, Vermont/New Hampshire	000609005	184984045		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 114.1/45:			0034-B-45 (online)			2003		FALSE		https://purl.fdlp.gov/GPO/LPS88975					
Title statement	245	Tectonic studies of the Berkshire massif, western Massachusetts, Connecticut, and Vermont	000000821	1093684		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.16:888	I 19.16:888					1975		FALSE							
Subject added entry--topical term; Title statement	650; 245	Preview of Vermont's forest resource	000001565	1325718		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.79:NE-196	A 13.79:NE-196					1974		FALSE							
Subject added entry--topical term; Title statement	650; 245	Directory of environmental organizations for Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island and Vermont	000002288	1904401		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.2:N 42 E/976	EP 1.2:N 42 E/976					1976?		FALSE							
Subject added entry--geographic name; Title statement; Varying form of title	651; 245; 246	Estimates of the population of Vermont counties and metropolitan areas: July 1974 and 1975.	000004674	2344680	49522838; 78516441	Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 3.186:P-26/75-45			0142-C			1976		FALSE							
Subject added entry--topical term; Title statement; Varying form of title	650; 245; 246	Flood plain information: Dog River, Northfield, Vermont.	000004919	2335211		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.47:N 81/2	D 103.47:N 81/2					1975		FALSE							
Subject added entry--topical term; Title statement	650; 245	New Hampshire-Vermont interstate sewage waste disposal facilities compact: report to accompany H.R. 9153.	000005986	2344622		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:H.RP.1117	94-2:H.RP.1117					1976		FALSE							
General note; Subject added entry--topical term; Title statement	500; 650; 245	Northern Vermont resource conservation & development : program of action	000006352	1240481		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.2:V 59/4	A 57.2:V 59/4					1974		FALSE							
Subject added entry--topical term; Title statement	650; 245	Motor carrier accident investigation: Savage Trucking Company, Inc., Accident, December 6, 1975 - Hartford, Vermont.	000007125	2422059		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.309:75-6	TD 2.309:75-6					1973		FALSE							
General note; Subject added entry--topical term; Title statement	500; 650; 245	Floods in Northfield, Vermont: Dog River.	000007909	2474947		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.47/2:N 81	D 103.47/2:N 81					1976		FALSE							
