MATCHED_ON	TITLE	CGP#	OCLC_035	OCLC_019	RECTYPE	BIBLVL	RECFORM	AGENCY_CLASS	SUDOC	ITEM#	PURL
main_entry	Sex and the handicapped :	000003424	2174529		a	m	Print	VA	VA 1.20/2:SE 9		
main_entry	Agricultural credit and rural savings :	000007025	1174319		a	m	Print	S	S 18.21/3:AG 8/NO.7		
main_entry;notes	Halfway houses 	000015093	2746004		a	m	Print	J	J 1.46:A/11	717-R	
main_entry	Fundamental studies in the longitudinal control of automated ground vehicles 	000025492	3107629		a	m	Print	TD	TD 2.30:77-28	982-G-11	
main_entry;subject_650	Affirmative action or inaction? :	000037456	3733354		a	m	Print	CR	CR 1.2:AF 2	288-A	
main_entry	Years for decision :	000044863	2169182		a	m	Print	L	L 37.14:24/V.4	746-H	
main_entry;notes	Instrument landing system improvement program :	000045544	3984152		a	m	Print	TD	TD 4.509:75-201		
main_entry	The national longitudinal surveys handbook.	000048602	4093838		a	m	Print	L	L 37.8:SU 7		
main_entry;norm_title;subject_650;subject_651	Ohio River summary and forecasts.	000054318	2586394		a	s	Print	C	C 55.110:		
main_entry	Methods for benzidine, chlorinated organic compounds, pentachlorophenol and pesticides in water and wastewater :	000058023	4409338	1225694133	a	m	Print	EP	EP 1.8:W 31	0431-K	
main_entry	Anthropometric source book 	000058641	4398832		a	m	Print	NAS	NAS 1.61:1024/V.1-3	830-H-11	
main_entry	Health effects of a wastewater treatment system 	000061741	4607046		a	m	Print	EP	EP 1.23/4:600/1-78-062	431-I-23	
main_entry	Preliminary environmental assessment of biomass conversion to synthetic fuels 	000061758	4542338		a	m	Print	EP	EP 1.23/8:600/7-78-204	431-I-62	
main_entry	Proposed system for determining NPDES and NIPDWR method equivalency.	000063770	4740806		a	m	Print	EP	EP 1.2:N 21 P/REVIEW	431-I-1	
main_entry	Overview of the environmental control measures and problems in the food processing industries 	000065409	4770665	1225684398	a	m	Print	EP	EP 1.23/2:600/2-79-009	0431-I-12	
main_entry	Health effects of human exposure to barium in drinking water 	000065417	4770451		a	m	Print	EP	EP 1.23/4:600/1-79-003	431-I-23	
main_entry	Pyrogenic activity of carbon-filtered waters 	000065419	4828571		a	m	Print	EP	EP 1.23/4:600/1-79-009	431-I-23	
main_entry;norm_title;subject_650;subject_651	Ohio River and tributaries plan of development 	000066881	4891348		e	m	Print	D	D 103.2:OH 3/6/974		
main_entry	Tioga River mine drainage abatement project 	000067432	4864476		a	m	Print	EP	EP 1.23/8:600/7-79-035	431-I-62	
main_entry;additional_creator_710	Effects of selected asbestos fibers on cellular and molecular parameters 	000070497	5199129		a	m	Print	EP	EP 1.23/4:600/1-79-021	431-I-23	
main_entry	Demand management demonstration project :	000071952	5063616		a	m	Print	E	E 1.28:HCP/B 8072-01	429-T-4	
main_entry	Health effects of consumption of renovated water :	000072102	5016280		a	m	Print	EP	EP 1.23/4:600/1-79-014	431-I-23	
main_entry	Technological overview reports for eight shale oil recovery processes 	000072128	5063215		a	m	Print	EP	EP 1.23/8:600/7-79-075	431-I-62	
main_entry	Capsule report, control of acidic air pollutants by coated baghouses 	000072138	5033468		a	m	Print	EP	EP 7.11:625/2-79-020	473-C-4	
main_entry	Pathogenic naegleria :	000074053	5364787		a	m	Print	EP	EP 1.23/4:600/1-79-018	431-I-23	
main_entry	Health effects of aerosols emitted from an activated sludge plant 	000074054	5306553		a	m	Print	EP	EP 1.23/4:600/1-79-019	431-I-23	
main_entry;additional_creator_710;notes	Environmental pollution control alternatives :	000074072	5293436		a	m	Print	EP	EP 7.2:AL 7/2	473-C-1	
main_entry	Control technology for the metal finishing industry :	000074073	5274411		a	m	Print	EP	EP 7.2:M 56/2/SUM.	473-C-1	
main_entry	Human viruses in the aquatic environment :	000076465	5383442		a	m	Print	EP	EP 1.2:AG 3/4	431-I-1	
main_entry	Soil genesis, hydrological properties, root characteristics and microbial activity of 1-to 50-year old stripmine spoils 	000076518	5452768		a	m	Print	EP	EP 1.23/8:600/7-79-100	431-I-62	
main_entry	Removal of trace elements from acid mine drainage 	000076519	5348031		a	m	Print	EP	EP 1.23/8:600/7-79-101	431-I-62	
main_entry	Bibliography on mined-land reclamation 	000076520	5297400		a	m	Print	EP	EP 1.23/8:600/7-79-102	431-I-62	
main_entry	In-service improvements and modernization of all components of the instrument landing systems 	000077121	5433027		a	m	Print	TD	TD 4.509:78-112/V.2	431-B-5	
main_entry	Annual summary of technical awareness in the nonferrous metals industry.	000085463	5896226		a	s	Print	EP	EP 1.23/2:600/2-79-092	0431-I-12	
main_entry	Surface and subsurface water quality hydrology in surface mined watersheds 	000087647	6081096		a	m	Print	EP	EP 1.23/8:600/7-79-193 A-	431-I-62	
main_entry	In-service improvements to reliability and maintainability of the instrument landing system 	000088240	6056617		a	m	Print	TD	TD 4.2:L 22/3	431-C-8	
main_entry;norm_title	Three-year report of the United States Attorney for the Southern District of Ohio to the Attoney General :	000123014	8028852		a	m	Print	J	J 31.9:OH 3		
main_entry;norm_title	Meeting of the Depository Library Council to the Public Printer :	000183510	10393886		a	m	Print	GP	GP 3.30:976	551 (microfiche)	
main_entry	Health assessment document for toluene.	000185386	10589202		a	m	Print	EP	EP 1.23/9:600/8-82-008 F	431-K-12 (microfiche)	
main_entry;subject_610;notes	Tactical standing operating procedures :	000309586	17812187		a	m	Print	D	D 12.10:T 11	358	
main_entry;subject_650	Strategic planning handbook :	000316302	21834020		a	m	Print	HE	HE 23.3008:SE 6/2	447-A-3 (MF)	
main_entry;norm_title;subject_650	Hate crime in Ohio	000472536	37235344		a	m	Microfiche	CR	CR 1.2:H 28/4	0288-A (MF)	
main_entry	17th International Microgravity Measurements Group meeting	000510864	42288458		a	m	Microfiche	NAS	NAS 1.55:208414	0830-H-10 (MF)	
main_entry;norm_title;subject_650	Employment opportunities for minorities in Montgomery County, Ohio 	000526423	45087343		a	m	Print	CR	CR 1.2:2001038820	0288-A (online)	https://purl.fdlp.gov/GPO/LPS13240
main_entry;subject_650;subject_610	Comprehensive annual performance report	000570159	46846618		a	s	Microfiche	ED	ED 1.310/2:	0466-A-03 (MF)	
main_entry;norm_title;subject_650	Briefing on civil rights issues facing Muslims and Arab Americans in Ohio post-September 11 before the Ohio Advisory Committee to the U.S. Commission on Civil Rights, November 14, 2001	000572121	51524535		a	m	Electronic	CR	CR 1.8/2:M 91	0288-A-11(online)	https://purl.fdlp.gov/GPO/LPS26256
varying_title;main_entry;subject_650;norm_title;subject_610	Annual report, Ohio	000626606	263688942		a	s	Electronic	PREX	PREX 26.1/3:OH 3	0857-R-03 (online)	https://purl.fdlp.gov/GPO/LPS104609
varying_title;main_entry;subject_650;subject_651;norm_title;subject_610	Ohio High Intensity Drug Trafficking Area drug market analysis.	000662659	519662898	1098373842	a	s	Online	PREX	PREX 26.1/3:OH 3/	0857-R-03 (online)	https://purl.fdlp.gov/GPO/LPS119423
main_entry;norm_title;subject_650	Protecting inmate rights, prison reform or prision replacement? :	000679937			a	m	Print	CR	CR 1.2:IN 6	0288-A	
main_entry;norm_title;subject_650	Protecting inmate rights, prison reform or prision replacement? :	000679958			a	m	Print	CR	CR 1.2:IN 6/SUM.	0288-A	
main_entry;subject_650;norm_title;subject_610	Strategic plan for science	000715632	660007657		a	m	Online	I	I 19.42/4-4:2010-5156	0624-B-02 (online)	https://purl.fdlp.gov/GPO/LPS125834;http://pubs.usgs.gov/sir/2010/5156/pdf/sir2010-5156.pdf
main_entry;notes	Methods for organic pesticides in water and wastewater, 1971.	000775251	763492		a	m	Print	EP	EP 1.8:P 43/2	0431-I-05	
main_entry;norm_title;subject_650;subject_651	Perspective of the Ohio River basin.	000901894	5261519		a	m	Print	D	D 103.2:OH 3/10		
main_entry;subject_650;subject_610	Annual report.	001027447	1332523593		a	s	Print	D	D 12.1/8:		
main_entry;subject_610	Air Force Research Laboratory success stories, a review of ...	001030079	1004771295		a	s	Online	D	D 301.2:W 93/4/	0424 (online)	https://purl.fdlp.gov/GPO/gpo85092
main_entry;subject_610	Air Force Research Laboratory success stories, a review of ...	001030088	1004771083		a	s	Print	D	D 301.2:W 93/4/		
main_entry;subject_650;subject_610	Wright Laboratory success stories 	001030109	1004771259		a	s	Online	D	D 301.2:W 93/4/	0424 (online)	https://purl.fdlp.gov/GPO/gpo85094
main_entry;additional_creator_710;varying_title;subject_651	Cumberland terminus, C & O Canal National Historical Park, Cumberland, Maryland.	001052667	232582088		e	m	Print	I	I 29.6:C 91/4		
main_entry	Resistance of barge tows :	001053357	4183833		a	m	Print	D	D 103.2:B 23/		
varying_title;main_entry;subject_650;subject_651;subject_610	Minutes ... meeting, Coordinating Committee.	001053842	681420913		a	s	Print	D	D 103.2:OH 3/2/		
main_entry;subject_650;subject_610	Annual report.	001054925	1081308988		a	s	Print	VA	VA 1.1/19:		
main_entry;subject_650;varying_title;subject_610	Annual report.	001055803	1081308934		a	s	Online	VA	VA 1.1/19:	0983-H-12 (online)	https://purl.fdlp.gov/GPO/gpo114658;https://www.cleveland.va.gov/about/index.asp
