MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Sex and the handicapped: a selected bibliography (1927-1975)	000003424	2174529		Language material	a	No attempt to code	|	Monograph/item	m	VA			Department of Veterans Affairs			VA 1.20/2:SE 9	VA 1.20/2:SE 9					1975		FALSE							
Main entry	110	Agricultural credit and rural savings: a selected list of references for A.I.D. technicians.	000007025	1174319		Language material	a	No attempt to code	|	Monograph/item	m	S			Department of State			S 18.21/3:AG 8/NO.7	S 18.21/3:AG 8/NO.7					1972		FALSE							
Main entry; General note	110; 500	Halfway houses	000015093	2746004		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 1.46:A/11	J 1.46:A/11		717-R			1977 [that is, 1976		FALSE							
Main entry	110	Fundamental studies in the longitudinal control of automated ground vehicles	000025492	3107629		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.30:77-28	TD 2.30:77-28		982-G-11			1976		FALSE							
Main entry; Subject added entry--topical term	110; 650	Affirmative action or inaction?: the pursuit of equal employment opportunity in Cleveland : a report	000037456	3733354		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:AF 2	CR 1.2:AF 2		288-A			1977		FALSE							
Main entry	110	Years for decision: a longitudinal study of the educational and labor market experience of young women.	000044863	2169182		Language material	a	No attempt to code	|	Monograph/item	m	L			Department of Labor			L 37.14:24/V.4	L 37.14:24/V.4		746-H			1971-		FALSE							
Main entry; General note	110; 500	Instrument landing system improvement program: far-field monitoring	000045544	3984152		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 4.509:75-201	TD 4.509:75-201					1975		FALSE							
Main entry	110	National longitudinal surveys handbook	000048602	4093838		Language material	a	No attempt to code	|	Monograph/item	m	L			Department of Labor			L 37.8:SU 7	L 37.8:SU 7					1976		FALSE							
Subject added entry--topical term; Title statement; Name of publisher, distributor, etc.; Subject added entry--geographic name; Main entry	650; 245; 260/264$b; 651; 110	Ohio River summary and forecasts	000054318	2586394		Language material	a	No attempt to code	|	Serial	s	C			Department of Commerce			C 55.110:						19uu		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Methods for benzidine, chlorinated organic compounds, pentachlorophenol and pesticides in water and wastewater: interim pending issuance of methods for organic analysis of water and wastes.	000058023	4409338	1225694133	Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.8:W 31			0431-K			1978		FALSE							
Main entry	110	Anthropometric source book	000058641	4398832		Language material	a	No attempt to code	|	Monograph/item	m	NAS			National Aeronautics and Space Administration			NAS 1.61:1024/V.1-3	NAS 1.61:1024/V.1-3		830-H-11			1978		FALSE							
Main entry	110	Health effects of a wastewater treatment system	000061741	4607046		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.23/4:600/1-78-062	EP 1.23/4:600/1-78-062		431-I-23			1978		FALSE							
Main entry	110	Preliminary environmental assessment of biomass conversion to synthetic fuels	000061758	4542338		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.23/8:600/7-78-204	EP 1.23/8:600/7-78-204		431-I-62			1978		FALSE							
Main entry	110	Proposed system for determining NPDES and NIPDWR method equivalency	000063770	4740806		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.2:N 21 P/REVIEW	EP 1.2:N 21 P/REVIEW		431-I-1			1978		FALSE							
