MATCHED_ON	TITLE	CGP#	OCLC_035	OCLC_019	RECTYPE	BIBLVL	RECFORM	AGENCY_CLASS	SUDOC	ITEM#	PURL
main_entry	Occupational preparation in the natural resources :	000014951	2738130		a	m	Print	HE	HE 5.6/2:N 21/4		
main_entry	Hot forming of silicon sheet, silicon sheet growth development for the large area silicon sheet task of the low cost silicon solar array project.	000039907	3520551		a	m	Print	ER	ER 1.11:ERDA/JPL/954506-77/2		
main_entry;norm_title	The Pennsylvania Avenue plan, 1974 	000045811	1736236		a	m	Print	Y	Y 3.P 38:2 P 69	1089	
main_entry	The last suffrage frontier :	000046836	3997907		a	m	Print	CR	CR 1.2:SU 2	288-A	
main_entry	The relation of coal characteristics to liquefaction behavior.	000047419	3906464		a	m	Print	E	E 1.28:FE-2494-2	429-T-4 (microfiche)	
main_entry	Hot forming of silicon sheet, silicon sheet growth development for the large area silicon sheet task of the low cost silicon solar array project 	000063621	4736316		a	m	Print	E	E 1.28:DOE/JPL/954506-1	429-T-4 (microfiche)	
main_entry;norm_title;notes	Historic preservation plan of the Pennsylvania Avenue Development Corporation.	000064351	4323525		a	m	Print	Y	Y 3.P 38:2 P 69/2	1089	
main_entry	Background information for the economic assessment of solvent fermentation processes.	000065133	4818893		a	m	Print	E	E 1.28:COO/4070-4	429-T-4 (microfiche)	
main_entry	Studies on cellulose degradation by a thermoactinomyces sp. 	000067054	4898073		a	m	Print	E	E 1.28:COO/4070-2	429-T-4 (microfiche)	
main_entry;additional_creator_710	Study of the mineral matter distribution in pulverized fuel coals with respect to slag deposit formation in boiler furnaces :	000068869	4936768		a	m	Print	E	E 1.28:FE-2316-7	429-T-4	
main_entry	Let's look at 4-H and handicapped youth 	000070745	5087293		a	m	Print	HE	HE 23.8:F 82	529-B-7	
main_entry	Recreation and handicapped youth :	000070746	5090091		a	m	Print	HE	HE 23.8:F 82/2	529-B-7	
main_entry	Domestic policy review of nonfuel minerals :	000070887	5252538		a	m	Print	I	I 28.2:D 71/V.3	637	
main_entry;additional_creator_710	Study of the mineral matter distribution in pulverized fuel coals with respect to slag deposit formation in boiler furnaces 	000071914	5035530		a	m	Print	E	E 1.28:FE-2316-	429-T-4	
main_entry	The characteristics of American coals in relation to their conversion into clean energy fuels 	000085038	4095226		a	m	Print	E	E 1.28:FE-2030-	429-T-4 (microfiche)	
main_entry	Instrumental analysis of sulfur compounds in coal process streams.	000087423	5052979		a	m	Print	E	E 1.28:FE-2710-	429-T-4 (microfiche)	
main_entry	West Chester Work Center solar space heating demonstration project :	000093874	6444006		a	m	Print	E	E 1.28:DOE/CS/4048-2	429-T-4 (microfiche)	
main_entry	West Chester Work Center solar space heating demonstration project :	000101259	6696194		a	m	Print	E	E 1.28:COO/4048/1	429-T-4 (microfiche)	
main_entry	Final project report for dry coke quenching plant :	000103123	6820871		a	m	Print	E	E 1.28:COO-4553-2/V.1-	429-T-4 (microfiche)	
main_entry;norm_title;subject_650	Doing time :	000163028	9435235		a	m	Print	CR	CR 1.2:P 93/5	288-A	
main_entry;norm_title;subject_610;subject_651	Annual report - Pennsylvania Avenue Development Corporation.	000324062	1794429		a	s	Print	Y	Y 3.P 38:1/		
main_entry;additional_creator_710;norm_title;subject_651	Amendments to the Pennsylvania Avenue plan.	000349575	23444061		a	m	Print	Y	Y 3.P 38:2 P 69/AMEND.	1089-L	
main_entry;norm_title;subject_650	Recreation study-- Juniata River corridor :	000367939	25637800		a	m	Print	I	I 29.2:J 95	0648	
main_entry;subject_610;subject_651	Annual report	000401323	28700929		a	s	Microfiche	Y	Y 3.P 38:1/	1089-L (MF)	
main_entry;norm_title;subject_650;subject_651	The Pennsylvania Turnpike Commission's Incident Management Team	000408571	29526111		a	m	Microfiche	TD	TD 1.20/10:93-23	0982-I-15 (MF)	
main_entry;norm_title;subject_650	West Overton village, Pennsylvania	000427460	31404473		a	m	Microfiche	I	I 29.79/5:W 52/3	0651-B-05 (MF)	
main_entry;additional_creator_710;subject_610	The avenue report	000491151	39683560		a	s	Microfiche	Y	Y 3.P 38:16/	1089-L-01	
main_entry;norm_title;subject_650	Barriers facing minority and women-owned businesses in Pennsylvania	000552158	52352828		a	m	Electronic	CR	CR 1.2:2003014020	0288-A (online)	https://purl.fdlp.gov/GPO/LPS31578
main_entry;norm_title;subject_650	Pennsylvania annual report, fiscal year ...	000577044	60247545		a	s	Electronic	A	A 114.1/38:	0034-B-38 (online)	https://purl.fdlp.gov/GPO/LPS53554
main_entry	Khrushchev's strategy and its meaning for America;	000660629	265186		a	m	Print	Y	Y 4.J 89/2:K 52/2		
main_entry;subject_650	Police community relations in Philadelphia :	000680540			a	m	Print	CR	CR 1.2:P 75/8	0288-A	
main_entry	United States foreign policy :	000813243	1319098	31219431;82929380;535392793	a	m	Print	Y	Y 4.F 76/2:F 76/12/NO. 3		
