MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Where are women and blacks?: patterns of employment in Alabama government : a report	000064826	4818383		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:W 84/4	CR 1.2:W 84/4		288-A			1979		FALSE		FALSE								
Main entry	110	Survey of photovoltaic systems	000101291	6239082		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:DOE/NASA CR-150696	E 1.28:DOE/NASA CR-150696		429-T-4 (microfiche)			1979		FALSE		FALSE								
Added entry--corporate name; Main entry; Subject added entry--topical term; Name of publisher, distributor, etc.	710; 110; 650; 260/264$b	Statewide elder abuse prevention program: final report	000391816	27929400		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 23.3002:EL 2/15	HE 23.3002:EL 2/15		0447-A-01 (MF)			1988		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	From the dream of the Sixties to the vision of the Nineties: the case for an Alabama human relations commission	000501027	40867979		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:R 27/3			0288-A (MF)			1992	99-0241-M.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Agricultural Stabilization and Conservation Service in Alabama Black Belt: report of Alabama State Advisory Committee.	000678890			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:AG 8/2						1968		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Tuskeegee study: Ala. SAC rept.	000681296			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:T 87						between 1900 and 1999?		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Bankhead National Forest recreation map	001163861	1267989494		Cartographic material	e	Online	o	Monograph/item	m	A			Department of Agriculture			A 13.28:B 22/3/2016			0080-G (online)			2016		NA		FALSE			https://purl.fdlp.gov/GPO/gpo159691			https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd490240.pdf		
Main entry; Subject added entry--topical term	110; 650	Conecuh National Forest recreation map	001163862	1267989778		Cartographic material	e	Online	o	Monograph/item	m	A			Department of Agriculture			A 13.28:C 75/3/2015			0080-G (online)			2015		NA		FALSE			https://purl.fdlp.gov/GPO/gpo159692			https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd488754.pdf		
Main entry; Subject added entry--topical term	110; 650	Cheaha Wilderness Area: Talladega National Forest, Talladega Ranger District	001163878	1267990485		Cartographic material	e	Online	o	Monograph/item	m	A			Department of Agriculture			A 13.28:T 14/7/2016			0080-G (online)			2016		NA		FALSE			https://purl.fdlp.gov/GPO/gpo159693			https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd495684.pdf		
Main entry; Subject added entry--topical term	110; 650	Oakmulgee Ranger District recreation map, Talladega National Forest	001163887	1267991364		Cartographic material	e	Online	o	Monograph/item	m	A			Department of Agriculture			A 13.28:T 14/8/2016			0080-G (online)			2016		NA		FALSE			https://purl.fdlp.gov/GPO/gpo159694			https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd495684.pdf		
Main entry; Subject added entry--topical term	110; 650	Shoal Creek Ranger District recreation map, Talladega National Forest	001163890	1267991583		Cartographic material	e	Online	o	Monograph/item	m	A			Department of Agriculture			A 13.28:T 14/9/2016			0080-G (online)			2016		NA		FALSE			https://purl.fdlp.gov/GPO/gpo159695			https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd495683.pdf		
Main entry; Subject added entry--topical term	110; 650	Talladega Ranger District recreation map, Talladega National Forest	001163894	1267991671		Cartographic material	e	Online	o	Monograph/item	m	A			Department of Agriculture			A 13.28:T 14/10/2016			0080-G (online)			2016		NA		FALSE			https://purl.fdlp.gov/GPO/gpo159696			https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd499571.pdf		
Main entry; Subject added entry--topical term	110; 650	Tuskegee National Forest trail map	001163938	1268140293		Cartographic material	e	Online	o	Monograph/item	m	A			Department of Agriculture			A 13.28:T 87/7/2015			0080-G (online)			2015		NA		FALSE			https://purl.fdlp.gov/GPO/gpo159697			https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprd3841373.pdf		
Main entry; Subject added entry--topical term	110; 650	Owl Creek non-motorized trail system: Wiiliam B. Bankhead National Forest	001163943	1268140558		Cartographic material	e	Online	o	Monograph/item	m	A			Department of Agriculture			A 13.28:B 22/4/2016			0080-G (online)			2016		NA		FALSE			https://purl.fdlp.gov/GPO/gpo159699			https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd493200.pdf		
