MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.; Title statement	650; 110; 260/264$b; 245	Minutes of the meeting - Arkansas-White-Red Basins Inter-agency Committee	000024075	1182810		Language material	a	No attempt to code	|	Serial	s	Y			Congress			Y 3.F 31/13-2:M 66/975	Y 3.F 31/13-2:M 66/975-2	Y 3.F 31/13-2:M 66/975				    		FALSE							
Subject added entry--topical term; Main entry	650; 110	Working with your school	000057648	4233030		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.6/3:AR 4 K	CR 1.6/3:AR 4 K		288-A			1978		FALSE							
Main entry	110	Preauthorization of planning activities of the Bureau of Reclamation, the Corps of Engineers, and the Soil Conservation Service	000065785	2620716		Language material	a	No attempt to code	|	Serial	s	I			Department of the Interior			I 27.2:P 91	I 27.2:P 91					19uu		FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Community development block grant program in Arkansas: a report	000084705	5885468		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:AR 4 K/2	CR 1.2:AR 4 K/2		288-A			1979		FALSE							
Subject added entry--topical term; Main entry; Title statement; Subject added entry--corporate name	650; 110; 245; 610	Current water resources activities in Arkansas	000330564	15681236		Language material	a	Microfiche	b	Serial	s	I			Department of the Interior			I 19.76:			0624-H (MF)			19uu		FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Who is enforcing civil rights in Arkansas: is there a need for a state civil rights agency?	000534600	47245515		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:2001038833			0288-A (online)			2001		FALSE		https://purl.fdlp.gov/GPO/LPS13257					
Subject added entry--topical term; Subject added entry--corporate name; General note; Main entry; Subject added entry--geographic name; Name of publisher, distributor, etc.	650; 610; 500; 110; 651; 260/264$b	Accomplishment report	000561566	55219945		Language material	a	Online	o	Serial	s	A			Department of Agriculture			A 57.81/4-2:			0120-A-12 (online)			19uu		FALSE		https://purl.fdlp.gov/GPO/LPS48933					
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Report on Arkansas: education still separate and still unequal	000678906			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:AR 4 K						1963		FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Employment, education, and voting: report of open meeting of Arkansas State Advisory Committee to U.S. Commission on Civil Rights in Forrest City, Ark.	000679324			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:EM 7/2						1966		FALSE							
Main entry	110	Block grants and you: a citizen's handbook.	000681529			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.6/2:G 76						between 1900 and 1999?		FALSE							
Subject added entry--topical term; Main entry; Title statement; Varying form of title	650; 110; 245; 246	IDEA compliance and implementation in Arkansas schools: a report of the Arkansas Advisory Committee to the U.S. Commission on Civil Rights.	001251710	1413728432		Language material	a	Online	o	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2-2:AR 4 K/ID 2			0288-A-17 (online)			2023		FALSE		https://purl.fdlp.gov/GPO/gpo220791			https://www.usccr.gov/files/2023-01/2023_idea-compliance-and-implementation-in-ar.pdf		
Subject added entry--topical term; Title statement	650; 245	Arkansas' timber resources updated, 1975	000001574	2294370		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.80:SO-56	A 13.80:SO-56					1975		FALSE							
Subject added entry--topical term; Title statement	650; 245	Flood plain information, Ouachita River - Rockport Creek - Town Creek, Chatman Creek and Lindsey Creek, Malvern, Arkansas	000002194	2122922		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.47:M 29	D 103.47:M 29					1975		FALSE							
