MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Policed by the white male minority: a study of police-community relations in Miami and Dade County, Florida : a report	000033157	2819118		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:P 75/11	CR 1.2:P 75/11					1976		FALSE		FALSE								
Added entry--corporate name; Main entry; Subject added entry--topical term; Title statement	710; 110; 650; 245	Operational software modifications to the moving merge control system in Tampa, Florida	000034649	3576263		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.30:77-106	TD 2.30:77-106		982-G-11			1977		FALSE		FALSE								
Main entry; Title statement	110; 245	New and retrofit solar hot water installations in Florida, January through June, 1977	000047437	3966785		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:HCP/I 5663-01	E 1.28:HCP/I 5663-01					1978		FALSE		FALSE								
Main entry	110	Sugarcane production residues: technologic and economic assessment of methods for conversion to utilizable energy forms.	000056259	4373315		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:TID-28550	E 1.28:TID-28550		429-T-4			1978?		FALSE		FALSE								
Main entry	110	Studies of basic mechanisms influencing solar-cell efficiency for terrestrial applications	000070410	5259439		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:ORO-5134-1	E 1.28:ORO-5134-1		429-T-4			1979		FALSE		FALSE								
Main entry; Added entry--corporate name	110; 710	SOAP: Signal Operations Analysis Package	000086396	5870587		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.36:79-9/V.1-	TD 2.36:79-9/V.5		982-G-15			1979-		FALSE		FALSE								
Main entry	110	Research on surfactant-polymer oil recovery systems	000093833	6435272		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:BETC-0008-	E 1.28:BETC-0008-2		429-T-4 (microfiche)			1979-		FALSE		FALSE								
Main entry; Subject added entry--corporate name; Name of publisher, distributor, etc.	110; 610; 260/264$b	Bilingual vocational instructor training program: first year performance report and evaluation.	000191956	10905602		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:233139	ED 1.310/2:233139		466-A-3 (microfiche)			1982		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Florida manatee recovery plan: [Trichechus manatus latirostris]	000336209	21188614		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 49.2:F 66/4			612 (MF)			1989 [that is, 1990		FALSE		FALSE								
Main entry	110	[Power of Volunteerism Project]	000368517	25693185		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 23.3002:F 66			507 (MF)			1988?		FALSE		FALSE								
Main entry; Subject added entry--topical term; Varying form of title; Name of publisher, distributor, etc.	110; 650; 246; 260/264$b	Highlights	000449856	33347271		Language material	a	Microfiche	b	Serial	s	A			Department of Agriculture			A 13.110/9:			0079-M (MF)			19uu		FALSE		FALSE								
Main entry; Subject added entry--topical term; Varying form of title; Title statement	110; 650; 246; 245	Success in the making: an integrated plan for South Florida ecosystem restoration and sustainability	000486361	39086124		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 29.2:EC 7			0648			1998	98-0027-S.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Varying form of title; Title statement	110; 650; 246; 245	Success in the making: an integrated plan for south Florida ecosystem restoration and sustainability	000499097	40669556		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 29.2:EC 7/998			0648			1998	99-0014-S.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Varying form of title; Title statement	110; 650; 246; 245	Race relations in St. Petersburg, Florida	000499200	40679244		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:R 11/7/V.1-2			0288-A (MF)			1997?	99-0218-M (v. 1), 99-0920-M (v. 2).	FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Police-community relations in Tampa: an update	000501028	40868101		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:P 75/26			0288-A (MF)			1991	99-0241-M.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--geographic name; Title statement	110; 650; 651; 245	Racial and ethnic tensions in Florida	000501029	40868102		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:R 11/8			0288-A (MF)			1996	99-0241-M.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Community forum to explore race relations in St. Petersburg, Florida: executive summary of a community forum held December 3-4, 1996, St. Petersburg, FL	000512505	42587805		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:R 11/7/EXEC.SUM.	CR 1.2:R 11/7/EXEC.SUM.		0288-A (MF)			1997?	99-0920-M.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--corporate name; Title statement	110; 650; 610; 245	USDA Rural Development, Florida/U.S. Virgin Islands annual report	000604706	171016326		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 114.1/9:			0034-B-09 (online)			19uu		NA		FALSE			https://purl.fdlp.gov/GPO/LPS80221					
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Meeting to discuss matters pertaining to the contested election in the 13th Congressional District of Florida: meeting before the Committee on House Administration, Task Force for the Contested Election in the 13th Congressional District of Florida, House of Representatives, One Hundred Tenth Congress, first session, meeting held in Washington, DC, May 2, 2007.	000607638	180076842		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.H 81/3:EL 2/33			1018-A	1018-A (online)	1018-B (MF)	2007	2007-0387-P.	NA		FALSE			https://purl.fdlp.gov/GPO/LPS88094					
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Meeting to discuss the Government Accountability Office work plan: meeting before the Committee on House Administration, Task Force for the Contested Election in the 13th Congressional District of Florida, House of Representatives, One Hundred Tenth Congress, first session, meeting held in Washington, DC, June 14, 2007.	000610103	190552350		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.H 81/3:OF 2			1018-A	1018-A (online)	1018-B (MF)	2007	2008-0099-P.	NA		FALSE			https://purl.fdlp.gov/GPO/LPS89304					
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Meeting to discuss the status of the investigation into the FL-13 congressional district election: meeting before the Committee on House Administration, Task Force for the Contested Election in the 13th Congressional District of Florida, House of Representatives, One Hundred Tenth Congress, first session, meeting held in Washington, DC, August 3, 2007.	000611018	191089773		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.H 81/3:EL 2/35			1018-A	1018-A (online)	1018-B (MF)	2007	2008-0130-P.	NA		FALSE			https://purl.fdlp.gov/GPO/LPS89852					
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	GAO briefing on the status of the investigation into the FL-13 congressional district election: meeting before the Committee on House Administration, Task Force for the Contested Election in the 13th Congressional District of Florida, House of Representatives, One Hundred Tenth Congress, first session, meeting held in Washington, DC, October 2, 2007.	000611105	191726541		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.H 81/3:EL 2/36			1018-A	1018-A (online)	1018-B (MF)	2007	2008-0144-P.	NA		FALSE			https://purl.fdlp.gov/GPO/LPS90105					
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	GAO briefing to the Task Force: report on the findings in the investigation into the FL-13 congressional district election : meeting before the Committee on House Administration, Task Force for the Contested Election in the 13th Congressional District of Florida, House of Representatives, One Hundred Tenth Congress, second session	000621629	244250107		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.H 81/3:T 18			1018-A	1018-A (online)	1018-B (MF)	2007	2008-0393-P.	NA		FALSE			https://purl.fdlp.gov/GPO/LPS100443					
Subject added entry--corporate name; Title statement; Main entry; Subject added entry--topical term; Varying form of title	610; 245; 110; 650; 246	Central Florida High Intensity Drug Trafficking Area ... annual report	000625573	261569079		Language material	a	Electronic	s	Serial	s	PREX			Executive Office of the President			PREX 26.1/3:C 33			0857-R-03 (online)			2005		NA		FALSE			https://purl.fdlp.gov/GPO/LPS103915					
Main entry; Subject added entry--topical term; Subject added entry--corporate name	110; 650; 610	Annual report	000626413	263180574		Language material	a	Electronic	s	Serial	s	PREX			Executive Office of the President			PREX 26.1/3:F 66 N			0857-R-03 (online)			2005		NA		FALSE			https://purl.fdlp.gov/GPO/LPS104501					
Main entry; Subject added entry--topical term; Varying form of title; Subject added entry--corporate name	110; 650; 246; 610	Annual report	000627215	268677276		Language material	a	Electronic	s	Serial	s	PREX			Executive Office of the President			PREX 26.1/3:F 66 S			0857-R-03 (online)			2005		NA		FALSE			https://purl.fdlp.gov/GPO/LPS104909					
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Ex-felon voting rights in Florida: revised rules of executive clemency that automatically restore civil rights to level-1 offenders is the right policy.	000631574	299153646		Language material	a	Electronic	s	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:V 94/6			0288-A (online)			2008		NA		FALSE			https://purl.fdlp.gov/GPO/LPS107935					
