MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Effects of forward velocity on turbulent jet mixing noise	000008403	2489205		Language material	a	No attempt to code	|	Monograph/item	m	NAS			National Aeronautics and Space Administration			NAS 1.26:2702	NAS 1.26:2702					1976		FALSE		FALSE								
Main entry	110	Development of a practical photochemical energy storage system	000052370	4122983		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:SRO-893-14	E 1.28:SRO-893-14		429-T-			1978-		FALSE		FALSE								
Main entry	110	Development of a practical photochemical energy storage system	000067287	4863835		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:SRO-893-12	E 1.28:SRO-893-12		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Added entry--corporate name; Title statement; Main entry; Subject added entry--topical term; General note	710; 245; 110; 650; 500	Field maintenance manual for Georgia counties local roads and streets	000069583	4998512		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 1.30/4:79-218	TD 1.30/4:79-218		982-G-19			1977 i.e. 1979		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Educational and other needs of disadvantaged adults in a model cities neighborhood of Savannah, Georgia	000074259	5301358		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.102:AD 9/3	HE 19.102:AD 9/3					1972		FALSE		FALSE								
Main entry	110	Development of priority accessible networks: an implementation manual : provisions for the elderly and handicapped pedestrians	000092667	5988176		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.36:80-8	TD 2.36:80-8		982-G-15			1980		FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--geographic name; Title statement	110; 650; 651; 245	Perceptions of hate group activity in Georgia	000181150	9337849		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 28/2	CR 1.2:H 28/2		288-A			1983		FALSE		FALSE								
Main entry; Subject added entry--topical term; Varying form of title; General note	110; 650; 246; 500	Law enforcement plan	000354002	24062743		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 1.2:L 41/19/991			717			1991?	91-319-P.	FALSE		FALSE								
Added entry--corporate name; Main entry; Subject added entry--topical term; Title statement	710; 110; 650; 245	Water-resources activities, Georgia District	000398318	28463068		Language material	a	Microfiche	b	Serial	s	I			Department of the Interior			I 19.76:			0624-H (MF)			198u		FALSE		FALSE								
Title statement; Main entry; Subject added entry--topical term; Varying form of title; General note	245; 110; 650; 246; 500	Investment guaranties: agreement between the United States of America and Georgia, signed at Tbilisi June 27, 1992.	000494398	40111645		Language material	a	No attempt to code	|	Monograph/item	m	S			Department of State			S 9.10:12463			0899			1998?	99-0008-P.	FALSE		FALSE								
