MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Development of clinic-based occupational safety and health programs for small businesses	000031712	3477151		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.7102:C 61	HE 20.7102:C 61		499-F-2			1977		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Paper commitment: equal employment opportunity in the Kentucky Bureau of State Police.	000049836	4141936		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:EM 7/11	CR 1.2:EM 7/11		288-A			1978		FALSE		FALSE								
Main entry	110	Surface structure and mechanisms of gasification catalyst deactivation	000071907	4382110		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2229-	E 1.28:FE-2229-11		429-T-4			1978-		FALSE		FALSE								
Added entry--corporate name; Title statement; Main entry; Subject added entry--topical term; General note	710; 245; 110; 650; 500	Black shale studies in Kentucky	000072022	4985140		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:ORO-5202-	E 1.28:ORO-5202-2		429-T-4			1978-		FALSE		FALSE								
Main entry	110	Surface structure and mechanisms of gasification catalyst deactivation	000085042	4088754		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2229-	E 1.28:FE-2229-10-T 1		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Fair housing in Louisville: the community development block grant program : a report	000161085	9337436		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 81/18	CR 1.2:H 81/18		288-A			1983		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Segregation in Louisville and Lexington public housing	000501082	40880551		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:SE 4			0288-A (MF)			1988	99-0241-M.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--geographic name; Title statement	110; 650; 651; 245	Employment of minorities and women by Kentucky state government	000501158	40889408		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:EM 7/17			0288-A (MF)			1989	99-0241-M.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--geographic name; Title statement	110; 650; 651; 245	Bias and bigotry in Kentucky: perceptions from Louisville, Lexington, and Bowling Green	000501159	40889409		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:B 47/2			0288-A (MF)			1997	99-0241-M.	FALSE		FALSE								
Subject added entry--corporate name; Name of publisher, distributor, etc.; Main entry; Subject added entry--topical term; General note	610; 260/264$b; 110; 650; 500	FY ... annual report	000560724	54957599		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 114.1/17:	A 114.1/17:		0034-B-17 (online)			19uu		NA		FALSE			https://purl.fdlp.gov/GPO/LPS41772					
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Fair housing enforcement in Kentucky: presence of local human rights commissions prompts more disability housing complaints; complaint investigation resolutions are similar for HUD and local commissions.	000631553	299093749		Language material	a	Electronic	s	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 81/22			0288-A (online)			2008		NA		FALSE			https://purl.fdlp.gov/GPO/LPS107911					
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Equal education opportunity: an analysis of the racial achievement gap in Kentucky urban schools	000631626	299167820		Language material	a	Electronic	s	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:ED 8/15			0288-A (online)			2007?		NA		FALSE			https://purl.fdlp.gov/GPO/LPS107980					
