MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Subject added entry--topical term; Varying form of title; Title statement	110; 650; 246; 245	Study of adult corrections in Louisiana: a report of the Louisiana Advisory Committee to the U.S. Commission on Civil Rights	000004808	2172337		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:C 81/2	CR 1.2:C 81/2					1976		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	School desegregation in Bogalusa, Louisian	000026054	3280137		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:D 45/27	CR 1.2:D 45/27		288-A			1977		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Working with your schools	000059619	4474493		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.6/3:L 93	CR 1.6/3:L 93		288-A			1977		FALSE		FALSE								
Main entry	110	Cardiovascular profile of 15,000 children of school age in three communities, 1971-1975	000061948	4272660		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.3202:C 17/8/971-75	HE 20.3202:C 17/8/971-75		507-E-1			1978		FALSE		FALSE								
Title statement; Main entry; Subject added entry--topical term; Varying form of title; General note	245; 110; 650; 246; 500	Water-resources activities of the Louisiana District in fiscal years	000334036	19721391		Language material	a	Microfiche	b	Serial	s	I			Department of the Interior			I 19.76:			0624-H (MF)			19uu		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Battle for environmental justice in Louisiana: government, industry, and the people	000442638	32754450		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:EN 8			0288-A (MF)			1993	95-0465-M.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--corporate name; Name of publisher, distributor, etc.	110; 650; 610; 260/264$b	Annual report	000560599	54915847		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 114.1/18:	A 114.1/18:(DATE)		0034-B-18 (online)			19uu		NA		FALSE			https://purl.fdlp.gov/GPO/LPS41773					
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Atlas of shoreline changes in Louisiana from 1853 to 1989	000607132	25409255		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.91:I-2150-A			0619-G-08			1992	1992-0505-P.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Name of publisher, distributor, etc.	110; 650; 260/264$b	Roadmap for restoring ecosystem resiliency and sustainability	000673062	654467645		Language material	a	Online	o	Monograph/item	m	PREX			Executive Office of the President			PREX 14.2:EC 7/2			0856-E (online)			2010		NA		FALSE			https://purl.fdlp.gov/GPO/LPS124364			http://www.whitehouse.gov/sites/default/files/microsites/ceq/100303-gulf-coast-roadmap.pdf		
Main entry; Subject added entry--topical term	110; 650	Housing and racism in New Orleans	000679768			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 81/13						between 1900 and 1999?		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	New Orleans school crisis: report of Louisiana State Advisory Committee to Commission on Civil Rights.	000680684			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:SCH 6			0288-A			1961		FALSE		FALSE								
