MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Mass transport characteristics of zeolite cracking catalysts	000087425	5122626		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2727-	E 1.28:FE-2727-3		429-T-4			1978-		FALSE							
Main entry	110	Improved polymers for enhanced oil recovery: synthesis and rheology	000089327	6176378		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:BETC-5603-5	E 1.28:BETC-5603-5		429-T-4 (microfiche)			1979-		FALSE							
Main entry	110	Testing and evaluation of MHD materials and substructures	000089401	4139894		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2246-	E 1.28:FE-2246-7		429-T-4 (microfiche)			1977-		FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Northwest Mississippi resource conservation & development area	000090917	6240121		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 57.2:N 81/2	A 57.2:N 81/2		120			1978		FALSE							
Subject added entry--topical term; Main entry; Title statement; Subject added entry--corporate name	650; 110; 245; 610	Rules of the United States District Court for the Northern District of Mississippi: effective June 9, 1980.	000180137	10011473		Language material	a	No attempt to code	|	Monograph/item	m	JU			Judiciary			JU 10.7:N 82 M	JU 10.7:N 82 M		729-A			1983		FALSE							
Subject added entry--topical term; Subject added entry--corporate name; Main entry; Added entry--corporate name; Varying form of title	650; 610; 110; 710; 246	Annual report of the Chief of Engineers on Civil Works Activities, Extract reports of the Lower Mississippi Valley Division & Mississippi River Commission	000237037	10179694		Language material	a	No attempt to code	|	Serial	s	D			Department of Defense			D 103.1/4:	D 103.1/4:983		334			19uu		FALSE							
Subject added entry--topical term; Main entry; Title statement; Subject added entry--geographic name	650; 110; 245; 651	Draft, comprenhensive management plan, environmental impact statement: Mississippi, National River and Recreation Area, Minnesota	000434294	32007443		Language material	a	Microfiche	b	Monograph/item	m	I			Department of the Interior			I 1.98:M 69			0603-G (MF)			1993	94-0641-M.	FALSE							
Subject added entry--topical term; General note; Main entry; Added entry--corporate name; Subject added entry--geographic name; Title statement; Name of publisher, distributor, etc.; Varying form of title	650; 500; 110; 710; 651; 245; 260/264$b; 246	1994 flood control and navigation maps of the Mississippi River: Cairo, Illinois to the Gulf of Mexico	000440759	32583013		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.49/3:M 69/3			0334-C-01			1994	95-9037-P.	FALSE							
Main entry; Title statement	110; 245	Nozzle Initiative Industry Advisory Committee on Standardization of Carbon-Phenolic Test Methods and Specifications: held at Mississippi State University, Mississippi State, Mississippi, May 18-20, 1994 : final report	000443398	32823420		Language material	a	Microfiche	b	Monograph/item	m	NAS			National Aeronautics and Space Administration			NAS 1.26:197529	NAS 1.26:197529		0830-H-14 (MF)			1994	95-0419-M.	FALSE							
Subject added entry--topical term; Main entry; Title statement; Subject added entry--corporate name	650; 110; 245; 610	Water resources activities of the Mississippi District	000452362	33955625		Language material	a	Microfiche	b	Serial	s	I			Department of the Interior			I 19.76:			0624-H (MF)			19uu		FALSE							
