MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Analysis of combustion generated noise	000022066	2945958		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 1.20:77-25	TD 1.20:77-25					1976		FALSE		FALSE								
Main entry	110	Review of methods for studying pre-crash factors	000022225	3014196		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:M 56	TD 8.2:M 56					1976		FALSE		FALSE								
Main entry	110	Study of II-IV-V₂	000043826	4008246		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:DSE/2458-1	E 1.28:DSE/2458-1					1976-		FALSE		FALSE								
Main entry; Subject added entry--topical term; Varying form of title	110; 650; 246	Where mules outrate men: a report	000068717	5078823		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:M 89	CR 1.2:M 89		288-A			1979		FALSE		FALSE								
Main entry	110	Hand in hand: parents and educators planning special education for the child	000074263	5274655		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.108:H 19/2	HE 19.108:H		461-A (Rev. 1965)			1979		FALSE		FALSE								
Added entry--corporate name; Main entry; Subject added entry--topical term; Name of publisher, distributor, etc.	710; 110; 650; 260/264$b	Executive summary: Governor's Task Force on Reverse Mortgages : strengthening financial options for seniors.	000494700	40137668		Language material	a	Microfiche	b	Monograph/item	m	HE			Department of Health and Human Services			HE 1.1002:H 81/9/EXEC.SUM.	HE 1.1002:H 81/9/EXEC.SUM.		0447-A-01 (MF)			1996?	98-0434-M.	FALSE		FALSE								
Main entry; Subject added entry--geographic name	110; 651	Heads of families at the first census of the United States taken in the year 1790, North Carolina	000561483	55152067		Language material	a	Electronic	s	Monograph/item	m	C			Department of Commerce			C 3.223/29:H 34/NC	C 3.223/29:H 34/NC		0154-A-11 (online)			1908		NA		FALSE			https://purl.fdlp.gov/GPO/LPS48018					
Main entry; Subject added entry--topical term; Varying form of title; Title statement	110; 650; 246; 245	Analysis of Title I allocations by North Carolina's ten largest school districts	000631591	299159985		Language material	a	Electronic	s	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:SCH 6/29			0288-A (online)			2007		NA		FALSE			https://purl.fdlp.gov/GPO/LPS107963					
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Equal protection of laws in North Carolina	000680299			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:N 81 C			0288-A			1962		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Equal protection of laws in North Carolina: errata.	000680355			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:N 81 C/ERRATA			0288-A			1963		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Prisons in North Carolina: report of North Carolina Advisory Committee	000680583			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:P 93/2			0288-A			1976		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Assessment, Raleigh, N.C., Southside Urban Renewal Project: report of North Carolina Advisory Committee to United States Commission on Civil Rights.	000680633			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:R 13						1968		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Trouble in Greensboro: a report issued by the North Carolina State Advisory Committee.	000681248			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:T 75						between 1900 and 1999?		FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--corporate name; Title statement	110; 650; 610; 245	North Carolina annual report	000846715	757843691		Language material	a	Online	o	Serial	s	A			Department of Agriculture			A 114.1/33:			0034-B-33 (online)			20uu		NA		FALSE			https://purl.fdlp.gov/GPO/gpo14236			http://www.rurdev.usda.gov/nc/		
Subject added entry--corporate name; Name of publisher, distributor, etc.; Main entry; Subject added entry--topical term; Varying form of title	610; 260/264$b; 110; 650; 246	... progress report	000983623	951100417		Language material	a	Online	o	Serial	s	A			Department of Agriculture			A 114.1/33:			0034-B-33 (online)			201u		NA		FALSE			https://purl.fdlp.gov/GPO/gpo68714			http://www.rd.usda.gov/nc		
