MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	State instruction materials for ...	000008093	2181144		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 5.10:V 85 TR/2/974	HE 5.10:V 85 TR/2/974					1974-		FALSE		FALSE								
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	School desegregation in Tulsa, Oklahoma: a report	000024574	3208368		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:D 45/22	CR 1.2:D 45/22		288-A			1977		FALSE		FALSE								
General note; Main entry	500; 110	Energy from the West: a progress report of a technology assessemnt of western energy resource development	000026191	3259210		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.23/8:600/7-77-072A-D	EP 1.23/8:600/7-77-072A-D		431-I-62			1977		FALSE		FALSE								
Main entry	110	User's manual for a management control system for street maintenance	000034667	3579453		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.36:77-20	TD 2.36:77-20		982-G-15			1975		FALSE		FALSE								
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Quest for equal employment opportunity in Oklahoma State government: a report	000039389	3721875		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:EM 7/10	CR 1.2:EM 7/10		288-A			1978		FALSE		FALSE								
Main entry	110	Basic guide for fire prevention and control master planning	000041778	3961036	4950698; 499220478; 1225711241	Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 58.8:P 69			0216-A-03			1978		TRUE	557706232	FALSE	None	None						
Main entry	110	Work plan for completing a technology assessment of Western energy resource development	000044016	3796438		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.23/8:600/7-78-012	EP 1.23/8:600/7-78-012		431-I-62			1978		FALSE		FALSE								
Main entry	110	Mass spectrometric analytical services and research activities to support coal-liquid characterization research	000050384	4102350		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:COO-0020-8	ER 1.11:COO-0020-8		1051-C (microfiche)			1977-		FALSE		FALSE								
Main entry	110	Preliminary listing of municipal waste water treatment capacities	000055775	2650720	4713205	Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 46.29:W 28			0130-P			1976		TRUE	883667142	FALSE	None	None						
Main entry	110	Characterization of coal-derived liquids and other fossil fuel related materials employing mass spectrometry	000056206	3566839		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2537-6	E 1.28:FE-2537-6		429-T-4			1978		FALSE		FALSE								
