MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Subject added entry--topical term; Subject added entry--corporate name; Name of publisher, distributor, etc.	110; 650; 610; 260/264$b	Gerontology and geriatric and services center: creation of a teaching and services program on health promotion and maintenance through interdisciplinary health teams in a community setting.	000415715	30328467		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 23.3002:G 31/14			0447-A-01 (MF)			1986?		FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--corporate name	110; 650; 610	Annual report	000627147	266046216		Language material	a	Electronic	s	Serial	s	PREX			Executive Office of the President			PREX 26.1/3:P 96 R/V 81 I			0857-R-03 (online)			2005		NA		FALSE			https://purl.fdlp.gov/GPO/LPS104849					
Main entry; Subject added entry--topical term; Subject added entry--geographic name; Title statement	110; 650; 651; 245	Extension of social security to Puerto Rico and the Virgin Islands: hearings before a subcommittee of the Committee on Ways and Means, House of Representatives, Eighty-first Congress, first session.	000647039	12753031		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.W 36:SO 1/7						1950		TRUE	654557815	FALSE	None	None						
Main entry; Subject added entry--topical term; Subject added entry--geographic name; Subject added entry--corporate name	110; 650; 651; 610	Drug market analysis, Puerto Rico/U.S. Virgin Islands High Intensity Drug Trafficking Area	000662754	519827054	1098390745	Language material	a	Online	o	Serial	s	PREX			Executive Office of the President			PREX 26.1/3:P 96 R/V 81 I/			0857-R-03 (online)			2007-2011		NA		FALSE			https://purl.fdlp.gov/GPO/LPS119462					
Added entry--corporate name; Title statement; Main entry; Subject added entry--topical term; Subject added entry--geographic name	710; 245; 110; 650; 651	Text of the Constitution of the Commonwealth of Puerto Rico approved by the Constitutional Convention of Puerto Rico, February 6, 1952.	000666944	43008563	11771948; 65144558	Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.IN 8/14:P 96/3						1952		FALSE		FALSE								
Title statement; Main entry; Subject added entry--topical term; Varying form of title; Subject added entry--geographic name	245; 110; 650; 246; 651	Report by the President's Task Force on Puerto Rico's Status	000875852	803370488		Language material	a	Online	o	Serial	s	PREX			Executive Office of the President			PREX 1.29:			0766-C-41 (online)			2005		NA		FALSE			https://purl.fdlp.gov/GPO/gpo24597	https://purl.fdlp.gov/GPO/gpo24576		http://www.whitehouse.gov/administration/eop/iga/puerto-rico		
Main entry; Subject added entry--topical term; Subject added entry--geographic name; Title statement	110; 650; 651; 245	Informe del Grupo de Trabajo del Presidente Sobre el Estatus de Puerto Rico	000892677	828888069		Language material	a	Online	o	Serial	s	PREX			Executive Office of the President			PREX 1.29/2:			0766-C-42 (online)			20uu		NA		FALSE			https://purl.fdlp.gov/GPO/gpo26192			http://www.whitehouse.gov/administration/eop/iga/puerto-rico		
Main entry; Subject added entry--topical term; Subject added entry--geographic name; Title statement	110; 650; 651; 245	Hearings before the Ad Hoc Advisory Group on the Presidential Vote for Puerto Rico: March 1, 2, and 3, 1971, in San Juan, P.R.; March 11 and 12, 1971, in Washington, D.C.	001056210	194726		Language material	a	No attempt to code	|	Monograph/item	m	PR			President of the United States			PR 37.8:P 96/H 35			0851-J			1971		TRUE	577300416	FALSE	None	None						
Title statement; Main entry; Subject added entry--topical term; Varying form of title; Subject added entry--geographic name	245; 110; 650; 246; 651	Presidential vote for Puerto Rico: report of the Ad Hoc Advisory Group on the Presidential Vote for Puerto Rico.	001056215	215560		Language material	a	No attempt to code	|	Monograph/item	m	PR			President of the United States			PR 37.8:P 96/R 29			0851-J			1971		TRUE	574387813	FALSE	None	None						
Main entry; Subject added entry--geographic name	110; 651	Annual report of the Governor of Porto Rico for the fiscal year ending June 30	001138160	297244655	569568676; 795118914	Language material	a	Online	o	Serial	s	W	Y		Congress	War Department		Y 1.1/2:	W 75.1:		1008-F (online)			1901-1951		NA		FALSE			https://purl.fdlp.gov/GPO/gpo171886					
