MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Equality in municipal services in Mullins, South Carolina	000061281	4580844		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:M 92	CR 1.2:M 92		288-A			1979		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Federal legislation and the elderly: hearing by the South Carolina Joint Study Committee on Aging, Hyman Rubin, chairman, in cooperation with the Select Committee on Aging, U.S. House of Representatives, Ninety-fifth Congress, second session.	000084241	5027556		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.AG 4/2:L 52	Y 4.AG 4/2:L 52		1009			1978		FALSE		FALSE								
Subject added entry--corporate name; Title statement; Name of publisher, distributor, etc.; Main entry; Subject added entry--topical term	610; 245; 260/264$b; 110; 650	South Carolina natural resources conservation activities	000561602	55471012		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 57.81/40:	A 57.81/40:(DATE)		0120-C-40 (online)			19uu		NA		FALSE			https://purl.fdlp.gov/GPO/LPS48937					
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Welfare and perpetuation of poverty: a report issued by the South Carolina State Advisory Committee.	000681415			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:W 45/2						between 1900 and 1999?		FALSE		FALSE								
Main entry	110	Critical assessment of U.S. participation in UNESCO: special meeting of the U.S. National Commission for UNESCO.	000798242			Language material	a	No attempt to code	|	Monograph/item	m	S			Department of State			S 1.70:158						1982		FALSE		FALSE								
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Subminimum wages for people with disabilities	001165981	1302342803		Language material	a	Online	o	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2-2:SO 8 C/W 12			0288-A-17 (online)			2021		NA		FALSE			https://purl.fdlp.gov/GPO/gpo170941			https://www.usccr.gov/files/2021/04-22-SC-SAC-Subminimum-Wage-Report.pdf		
Main entry; Subject added entry--topical term; Varying form of title; Title statement	110; 650; 246; 245	Seizing property, civil asset forfeiture in South Carolina: a report of the South Carolina Advisory Committee to the U.S. Commission on Civil Rights.	001255073	1418728455		Language material	a	Online	o	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2-2:SO 8 C/SE 4			0288-A-17 (online)			2022		NA		FALSE			https://purl.fdlp.gov/GPO/gpo221993			https://www.usccr.gov/files/2022-11/sc-sac-asset-forfeiture-report.pdf		
Subject added entry--topical term; Title statement	650; 245	Runway surface friction changes due to high-pressure water-jet rubber removal, Charleston Airport, Charleston, South Carolina	000001075	2079811		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 4.509:75-103	TD 4.509:75-103					1975		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Charleston Harbor, South Carolina: communication from the Assistant Secretary of the Army (Civil Works) transmitting a letter from the Chief of Engineers, Department of the Army, submitting a report on Charleston Harbor, South Carolina, in partial response to section 6 of the River and harbor act of 1945, and to seven Congressional r	000002150	2232396		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.22:C 38/5	D 103.22:C 38/5					1976		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Impact of foreign direct investments: case studies in North and South Carolina : report to the Congress	000002455	2216694		Language material	a	No attempt to code	|	Monograph/item	m	GA			Government Accountability Office			GA 1.13:ID-76-43	GA 1.13:ID-76-43					1976		FALSE		FALSE								
