MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Subject added entry--corporate name; Main entry; Name of publisher, distributor, etc.	610; 110; 260/264$b	TVA today, 1975	000005704	2314749		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:2 T 25/29/975	Y 3.T 25:2 T 25/29/975					1975		FALSE							
Name of publisher, distributor, etc.; Main entry; General note; Subject added entry--topical term; Title statement	260/264$b; 110; 500; 650; 245	Floods on Trace Creek and four unnamed tributaries in vicinity of Waverly, Tennessee	000010935	2551194		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:2 F 65/7	Y 3.T 25:2 F 65/7					1975		FALSE							
Name of publisher, distributor, etc.; Main entry; General note; Subject added entry--topical term; Title statement	260/264$b; 110; 500; 650; 245	Report on floods: Sale, Roaring, and McGill Creeks and Hickman Branch in the vicinity of Graysville, Tennessee.	000010936	2551164		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:2 F 65/8	Y 3.T 25:2 F 65/8					1975		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	TVA: Browns Ferry Nuclear Plant.	000012305	2629223		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:2 B 82	Y 3.T 25:2 B 82					1976?		FALSE							
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	Bellefonte Nuclear Plant: construction employment impact, April 1975	000012306	2603510		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:2 EM 7/2	Y 3.T 25:2 EM 7/2					1975		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Forest inventory statistics: Lumpkin-Union County unit, northeast Georgia.	000012307	2603497		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:18/173	Y 3.T 25:18/173					1975		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Forest inventory statistics: Bland-Grayson-Wythe, southwest Virginia.	000012308	2603488		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:18/174	Y 3.T 25:18/174					1975		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Waterfowl and upland wildlife development: Nolichucky Waterfowl Sanctuary and Environmental Study Area.	000012309	2629205		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:27 W 29/2	Y 3.T 25:27 W 29/2					1975?		FALSE							
Main entry; Title statement; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 245; 260/264$b; 650	Fish monitoring investigations: Sequoyah Nuclear Plant, Chickamauga Reservoir, Tennessee : spring quarter 1975.	000012310	2603505		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:37-3/975						1976		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Floods on Bradford Creek in vicinity of Madison, Alabama	000012311	2600225		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:38/M 26	Y 3.T 25:38/M 26					1975		FALSE							
Main entry; Title statement; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 245; 260/264$b; 650	Tennessee Valley streams, their fish, bottom fauna, and aquatic habitat: Duck River drainage basin, September-October 1972.	000012313	2600027		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:41 D 85/975	Y 3.T 25:41 D 85/975					1975		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Environmental radioactivity levels: Sequoyah Nuclear Plant, August 1974-January 1975.	000012314	2625469		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:44/RH-75-3-SQ 2	Y 3.T 25:44/RH-75-3-SQ 2					1975		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Environmental radioactivity levels: Browns Ferry Nuclear Plant, January-June 1975.	000012315	2625482		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:44/RH-75-4-BF 2	Y 3.T 25:44/RH-75-4-BF 2					1975		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Map & guide to Land Between the Lakes	000025622	3231922		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:7 L 22	Y 3.T 25:7 L 22		1082			1977?		FALSE							
General note; Main entry; Added entry--corporate name	500; 110; 710	Energy education/conservation curriulum guide for home economics teachers	000027187	3382339		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.8:H 75	E 1.8:H 75		429-B			1977		FALSE							
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	1976 operations: municipal & cooperative distributors of TVA power.	000035053	3617400		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:2 OP 2/2/976	Y 3.T 25:2 OP 2/2/976					1977?		FALSE							
Subject added entry--corporate name; Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	610; 110; 260/264$b; 650	Recreation on TVA lakes	000035054	3617287		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:7 R 24	Y 3.T 25:7 R 24		1082-D			1977		FALSE							
Main entry	110	Studies of granulation of compound fertilizers containing urea: a literature review.	000045823	4044966		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:3-2/Y-108	Y 3.T 25:3-2/Y-108					1976		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Feasibility study of fresh vegetable production and marketing in northwest Georgia	000045824	4026597		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:3-2/Y-109	Y 3.T 25:3-2/Y-109					1976		FALSE							
Main entry	110	How to put together a vanpool	000047294	4085319		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.8:V 34/3	E 1.8:V 34/3		429-B			1977		FALSE							
Main entry	110	In situ conversion of coal	000047328	4104157		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO/0066-2	E 1.28:COO/0066-2		429-T-4 (microfiche)			1977-		FALSE							
Varying form of title; Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	246; 110; 260/264$b; 650	Operation of TVA reservoirs	000051363	4159179		Language material	a	No attempt to code	|	Serial	s	Y			Congress			Y 3.T 24:38/0-1851-39	Y 3.T 24:38/0-1851-39					197u		FALSE							
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	Quality of water in Fort Loudoun Reservoir	000051364	4207803		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:2 F 77 L	Y 3.T 25:2 F 77 L					1975		FALSE							
Subject added entry--corporate name; Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	610; 110; 260/264$b; 650	Press handbook	000051365	4152286		Language material	a	No attempt to code	|	Serial	s	Y			Congress			Y 3.T 25:6-2 P 92/973-74	Y 3.T 25:6-2 P 92/973-74					19uu		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Forest inventory statistics for Colbert County, Alabama	000051367	4212395		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:18/177	Y 3.T 25:18/177					1977		FALSE							
Main entry; Title statement; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 245; 260/264$b; 650	Forest inventory statistics for Rutherford-Williamson County unit, Tennessee	000051368	4207980		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:18/178	Y 3.T 25:18/178					1977		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Forest inventory statistics for Dickenson-Russell-Tazell County unit, Virginia	000051369	4212429		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:18/179	Y 3.T 25:18/179					1977		FALSE							
Varying form of title; Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	246; 110; 260/264$b; 650	Industrial development in the TVA area	000051376	4163921		Language material	a	No attempt to code	|	Serial	s	Y			Congress			Y 3.T 25:30 IN 27/976	Y 3.T 25:30 IN 27/976					1957		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Fish inventory data: Guntersville Reservoir, 1974.	000051378	4147490		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:40 G 95	Y 3.T 25:40 G 95					1977		FALSE							
Main entry	110	Fish inventory data: Wilson Reservoir, 1976.	000051380	4147516		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:40 W 69	Y 3.T 25:40 W 69					1977		FALSE							
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	Sequoyah Nuclear Plant, 1976	000051382	4156303		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:44/RH-77-5-SQ 1	Y 3.T 25:44/RH-77-5-SQ 1					1977		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Final environmental statement: Morton Ranch, uranium mining.	000051383	3058316		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:45 M 843 90	Y 3.T 25:45 M 843 90					1976		FALSE							
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	Phipps Bend Nuclear Plant, units 1 and 2	000051384	4147452		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:45 P 55/V.1-2	Y 3.T 25:45 P 55/V.1-2					1977		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Yellow Creek Nuclear Plant, units 1 and 2	000051385	4147437		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:45 Y 3/DRAFT/V.1-2	Y 3.T 25:45 Y 3/DRAFT/V.1-2					1977		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Powerline rights of way for energy and wildlife	000053539	4287858		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:2/ P 87/4	Y 3.T 25:2/ P 87/4					1977		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	What you should know about firewood, before you buy	000053540	4287922		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:2 F 51/5	Y 3.T 25:2 F 51/5					1975?		FALSE							
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	TVA: Small Wild Areas.	000053542	4284477		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.T 25:2 SM 1	Y 3.T 25:2 SM 1					1977		FALSE							
