MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Uniform tire quality grading--treadwear	000001103	1508978		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 8.2:T 51/2	TD 8.2:T 51/2					1975		FALSE		FALSE								
Main entry	110	Direct and indirect economic, social, and environmental impacts of the passage of the California nuclear power plants initiative	000005024	2181050		Language material	a	No attempt to code	|	Monograph/item	m	FE			Federal Energy Administration			FE 1.2:N 88/V.1	FE 1.2:N 88/V.1					1976-		FALSE		FALSE								
Main entry	110	Careers in construction: instructor's guide, exploration level	000005107	2309365		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.108/2:C 18/INSTRUCTOR	HE 19.108/2:C 18/INSTRUCTOR					1975		FALSE		FALSE								
Main entry	110	Careers in construction: student manual, exploration level	000005108	2309297		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.108/2:C 18/STUDENT	HE 19.108/2:C 18/STUDENT					1975		FALSE		FALSE								
Main entry	110	Electricity: instructor's guide, preparation level	000005109	2306837		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.108/2:EL 2/INSTRUCTOR	HE 19.108/2:EL 2/INSTRUCTOR					1975		FALSE		FALSE								
Main entry	110	Finishing : instructor's guide, preparation level	000005110	2161539		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.108/2:F 49/INSTRUCTOR	HE 19.108/2:F 49/INSTRUCTOR					1975		FALSE		FALSE								
Main entry	110	Masonry: instructor's guide, preparation level	000005111	1833808		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.108/2:M 38/INSTRUCTOR	HE 19.108/2:M 38/INSTRUCTOR					1975		FALSE		FALSE								
Main entry	110	Masonry: student manual, preparation level	000005112	2009220		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.108/2:M 38/STUDENT	HE 19.108/2:M 38/STUDENT					1975		FALSE		FALSE								
Main entry	110	Metal: instructor's guide, preparation level	000005113	2306884		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.108/2:M 55/INSTRUCTOR	HE 19.108/2:M 55/INSTRUCTOR					1975		FALSE		FALSE								
Main entry	110	Interim report of remedial measures for houses damaged by expansive clay	000005188	2008142		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 1.2:C 57	HH 1.2:C 57					1975, [that is, 1976		FALSE		FALSE								
Main entry	110	Interim report of experimental foundation designs on expansive clay soils	000005189	2334632		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 1.2:C 57/2	HH 1.2:C 57/2					1975 [that is, 1976		FALSE		FALSE								
Main entry	110	Electricity: student manual, preparation level	000006699	2400431		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.108/2:EL 2/STUDENT	HE 19.108/2:EL 2/STUDENT					1975		FALSE		FALSE								
Main entry	110	Engineering, support and management services: instructor's guide, preparation level	000006700	2400526		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.108/2:EN 3/INSTRUCTOR	HE 19.108/2:EN 3/INSTRUCTOR					1975		FALSE		FALSE								
Main entry	110	Wood: student manual, preparation level	000006701	2293345		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.108/2:W 85/STUDENT	HE 19.108/2:W 85/STUDENT					1975		FALSE		FALSE								
Subject added entry--topical term; Main entry	650; 110	School desegregation in Corpus Christi: a report	000020148	3014517		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:D 45/8	CR 1.2:D 45/8		288-A			1977		FALSE		FALSE								
Subject added entry--geographic name; Subject added entry--topical term; Main entry; Title statement	651; 650; 110; 245	Working with your school: a handbook of the Texas Advisory Committee to the United States Commission on Civil Rights.	000020164	2850345	1124636364; 1201617774	Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.6/3:T 31			0288-A			1977		TRUE	656661926	FALSE	None	None						
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Energy Advisory Service for Texas: final report	000050199	4139726		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:HCP/W 5148-01	E 1.28:HCP/W 5148-01		429-T-4			1978		FALSE		FALSE								
Main entry	110	Transition metal-graphite catalysts for production of light hydrocarbons from synthesis gas	000052314	4123689		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2467-6	E 1.28:FE-2467-6		429-T-4			1978-		FALSE		FALSE								
General note; Main entry	500; 110	LSAA large area silicon sheet task continuous Czochralski process development	000057868	4407340		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:DOE/JPL/954887-3	E 1.28:DOE/JPL/954887-3		429-T-4			1978-		FALSE		FALSE								
Main entry	110	Transition metal-graphite catalysts for production of light hydrocarbons from synthesis gas	000067137	4936123		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2467-5	E 1.28:FE-2467-5		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry	110	LSA silicon material task closed-cycle process development	000070381	5182592		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:DOE/JPL/955006-1	E 1.28:DOE/JPL/955006-1		429-T-4			1978-		FALSE		FALSE								
Main entry	110	LSSA large area silicon sheet task continuous Czochralski process development	000071883	4583276		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:DOE/JPL/954887-	E 1.28:DOE/JPL/954887-4		429-T-4			1978-		FALSE		FALSE								
Main entry	110	Remedial measures for houses damaged by expansive clay	000072310	5039297		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 1.2:C 57/978	HH 1.2:C 57/978		582			1978 i.e. 1979		FALSE		FALSE								
Main entry	110	Urban transportation planning for goods and services: a reference guide	000077057	5436278		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.8:UR 1/5	TD 2.8:UR 1/5		982-G-2			1979		FALSE		FALSE								
Main entry	110	Development and validation of career development guidelines by task/activity analysis of occupational safety and health professions: industrial hygiene and safety professional	000083719	5857020		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.7111/2:C 18	HE 20.7111/2:C 18		499-F-6			1977 i.e. 1979		FALSE		FALSE								
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Texas -- the state of civil rights ten years later, 1968-1978 ;: a report	000084707	5886151		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:T 31/4	CR 1.2:T 31/4		228-A			1980		FALSE		FALSE								
Main entry	110	Automated array assembly: phase 2.	000085014	4371293		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:DOE/JPL/954868-	E 1.28:DOE/JPL/954881-	E 1.28:DOE/JPL/954868-4	429-T-4 (microfiche)			1978-		FALSE		FALSE								
Subject added entry--topical term; Varying form of title; Main entry; Title statement	650; 246; 110; 245	Sin papeles: the undocumented in Texas	000087160	6002839		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:SI 6	CR 1.2:SI 6		288-A			1980		FALSE		FALSE								
