MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Virginia statewide forensic laboratory system	000015092	1294892		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 1.44/2:V 81	J 1.44/2:V 81		717			1974		FALSE		FALSE								
Main entry; Subject added entry--topical term; Name of publisher, distributor, etc.; Title statement	110; 650; 260/264$b; 245	School desegregation in Newport News City, Virginia: a report prepared by the Virginia Advisory Committee to the U.S. Commission on Civil Rights.	000020146	3056531		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:D 45/6	CR 1.2:D 45/6		288-A			1977		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	School desegregation in Raleigh County, West Virginia: a report	000026053	3247213		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:D 45/24	CR 1.2:D 45/24		288-A			1977		FALSE		FALSE								
Main entry	110	Design optimization in underground coal systems	000033545	2971436		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:FE-1231-7	ER 1.11:FE-1231-8	ER 1.11:FE-1231-7				1976-		FALSE		FALSE								
Main entry	110	Gas-solids interactions in the distribution zone of a fluidized bed : phase I	000047743	3647348		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:FE-2451-3	ER 1.11:FE-2451-3		429-T-4 (microfiche)			1977-		FALSE		FALSE								
Main entry	110	Predicting potential strength of Portland cement concrete	000048943	3882006		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.30/4:78-212	TD 2.30/4:78-212		982-G-19			1978		FALSE		FALSE								
Main entry	110	Annual collection and storage of solar energy for the heating of buildings: report no. 3	000057928	3739433		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:ORO-5136-78/1	E 1.28:ORO-5136-78/1		429-T-4			1978-		FALSE		FALSE								
Main entry	110	Gas-solids interactions in the distribution zone of a fluidized bed: phase I.	000067133	4935196		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2451-5	E 1.28:FE-2451-5		429-T-4 (microfiche)			1978-		FALSE		FALSE								
Main entry	110	Evaluation and targeting of geothermal energy resources in the southeastern United States	000067340	4140219		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:VPI-SU-5648-4	E 1.28:VPI-SU-5648-4		429-T-4			1977-		FALSE		FALSE								
Main entry	110	Coal minerals bibliography	000068887	4088927		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE/2692-5	E 1.28:FE/2692-5		429-T-4			1978-		FALSE		FALSE								
Main entry; Subject added entry--topical term; Name of publisher, distributor, etc.; Title statement	110; 650; 260/264$b; 245	West Virginia annual report	000073135	4165994		Language material	a	No attempt to code	|	Serial	s	A			Department of Agriculture			A 82.1/2:W 52 V/	A 82.1/2:W 52 V/978		110-B-53			19uu		FALSE		FALSE								
