MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Title statement	245	Act to Authorize the Granting of Permanent Residence Status to Certain Nonimmigrant Aliens Residing in the Virgin Islands of the United States, and for Other Purposes	000153081	9013043		Language material	a	No attempt to code	|	Monograph/item	m	GS			General Services Administration			GS 4.110:97-271	GS 4.110:97-271		575			1982		FALSE							
Title statement	245	Biological bases for reef fishery management: proceedings of a workshop held October 7-10, 1980 at St. Thomas, Virgin Islands of the United States	000196365	8636257		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 55.13/2:NMFS-SEFC-80	C 55.13/2:NMFS-SEFC-80		208-C-4 (microfiche)			1982		FALSE							
Title statement	245	1990 census education project, Virgin Islands of the United States: a k-12 teaching package reproducible lessons with teacher's notes.	000342024	22730523		Two-dimensional nonprojectable graphic	k	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 3.270:D 3300 N VI			0144-A-20			1990?	90-0348-P.	FALSE							
Title statement	245	To revise the Organic Act of the Virgin Islands: hearings before the Subcommittee on Territories and Insular Possessions [of the Committee on Interior and Insular Affairs], House of Representatives, Eighty-second Congress, second session, on H.R. 2644, a bill to revise the Organic Act of the Virgin Islands of the United States, January 14, 15, 16,	000667396	14925692		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.IN 8/14:82/9						1952		FALSE							
Title statement	245	Review of certain activities of the government of the Virgin Islands of the United States, fiscal year 1959, Sept. 1960	000697063			Language material	a	No attempt to code	|	Monograph/item	m	GA			Government Accountability Office			GA 1.13:V 81/959						1960		FALSE							
Title statement	245	Nonimmigrant alien labor program on the Virgin Islands of the United States: a special study of the Subcommittee on Immigration, Citizenship, and International Law of the Committee on the Judiciary, House of Representatives, Ninety-fourth Congress, first session, October 1975.	000700796	1992520		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.J 89/1:V 81/2						1975		FALSE							
Title statement	245	1980 census of population, Characteristics of the population, general population characteristics, Virgin Islands of the United States	000733923			Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 3.223/6:980/B 55/CH.			0159-C-53			1983?		FALSE							
Title statement	245	1990 census of population and housing: tabulation and publication program for the Virgin Islands of the United States.	000736731			Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 3.223/18:CPH-1-6 VI						between 1900 and 1999?	.	FALSE							
Title statement	245	Estimates of the population of Alaska, Hawaii, Puerto Rico, the Canal Zone and the Virgin Islands of the United States: 1950 to 1952.	000737401	229934318		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 3.186:P-25/76						1953		FALSE							
Title statement	245	Revised estimates of the population of Alaska, Hawaii, Puerto Rico, the Canal Zone, and the Virgin Islands of the United States: 1940 to 1950.	000737436	123350619		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 3.186:P-25/80			0142-C-03			1953		FALSE							
Title statement	245	Virgin Islands of the United States Centennial Commission Act: report (to accompany H.R. 2615) (including cost estimate of the Congressional Budget Office).	000978449	946885649		Language material	a	Online	o	Monograph/item	m	Y			Congress			Y 1.1/8:114-486			1008-I (online)			2016		FALSE		https://purl.fdlp.gov/GPO/gpo67126	https://purl.fdlp.gov/GPO/gpo67127		https://www.gpo.gov/fdsys/pkg/CRPT-114hrpt486/pdf/CRPT-114hrpt486.pdf	https://www.gpo.gov/fdsys/pkg/CRPT-114hrpt486/html/CRPT-114hrpt486.htm	
Title statement	245	Virgin Islands of the United States Centennial Commission Act: report (to accompany H.R. 2615) (including cost estimate of the Congressional Budget Office).	000979247	947879160		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 1.1/8:114-486			1008-C-02			2016	2016-0235-P.	TRUE	946885649						
Title statement	245	Virgin Islands of the United States Centennial Commission Act: report (to accompany H.R. 2615) (including cost estimate of the Congressional Budget Office).	000991969	956954262		Language material	a	Microfiche	b	Monograph/item	m	Y			Congress			Y 1.1/8:114-486			1008-D (MF)			2016	2016-0173-M.	TRUE	946885649						
Title statement	245	Virgin Islands of the United States Centennial Commission Act: report (to accompany H.R. 2615).	000993555	958070878		Language material	a	Online	o	Monograph/item	m	Y			Congress			Y 1.1/5:114-314			1008-G (online)			2016		FALSE		https://purl.fdlp.gov/GPO/gpo72077	https://purl.fdlp.gov/GPO/gpo72078		https://www.gpo.gov/fdsys/pkg/CRPT-114srpt314/pdf/CRPT-114srpt314.pdf	https://www.gpo.gov/fdsys/pkg/CRPT-114srpt314/html/CRPT-114srpt314.htm	
Title statement	245	Virgin Islands of the United States Centennial Commission Act: report (to accompany H.R. 2615).	000993729	958162730		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 1.1/5:114-314			1008-C			2016	2016-0379-P.	TRUE	958070878						
Title statement; Subject added entry--corporate name	245; 610	Act to Establish the Virgin Islands of the United States Centennial Commission	001001533	963839555		Language material	a	No attempt to code	|	Monograph/item	m	AE			National Archives and Records Administration			AE 2.110:114-224			0575			2016	2017-0061-P.	TRUE	963839405						
Title statement; Subject added entry--corporate name	245; 610	Act to Establish the Virgin Islands of the United States Centennial Commission	001001534	963839405		Language material	a	Online	o	Monograph/item	m	AE			National Archives and Records Administration			AE 2.110:114-224			0575-A-02 (online)			2016		FALSE		https://purl.fdlp.gov/GPO/gpo74275	https://purl.fdlp.gov/GPO/gpo74276		https://www.gpo.gov/fdsys/pkg/PLAW-114publ224/pdf/PLAW-114publ224.pdf	https://www.gpo.gov/fdsys/pkg/PLAW-114publ224/html/PLAW-114publ224.htm	
Title statement	245	Virgin Islands of the United States Centennial Commission Act: report (to accompany H.R. 2615).	001009548	971552002		Language material	a	Microfiche	b	Monograph/item	m	Y			Congress			Y 1.1/5:114-314			1008-D (MF)			2016	2016-0269-M.	TRUE	958070878						
