MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	School desegregation in Raleigh County, West Virginia: a report	000026053	3247213		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:D 45/24	CR 1.2:D 45/24		288-A			1977		FALSE		FALSE								
Main entry	110	Predicting potential strength of Portland cement concrete	000048943	3882006		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.30/4:78-212	TD 2.30/4:78-212		982-G-19			1978		FALSE		FALSE								
Main entry	110	Coal minerals bibliography	000068887	4088927		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE/2692-5	E 1.28:FE/2692-5		429-T-4			1978-		FALSE		FALSE								
Name of publisher, distributor, etc.; Subject added entry--topical term; Main entry; Title statement	260/264$b; 650; 110; 245	West Virginia annual report	000073135	4165994		Language material	a	No attempt to code	|	Serial	s	A			Department of Agriculture			A 82.1/2:W 52 V/	A 82.1/2:W 52 V/978		110-B-53			19uu		FALSE		FALSE								
Subject added entry--geographic name; Subject added entry--topical term; Main entry	651; 650; 110	Creating economic growth & jobs through travel & tourism: a manual for community and business developers, a preliminary report	000081513	5031029	213756640; 1225798211	Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 47.12:EC 7			0271-A-2			1978 [that is, 1979		TRUE	827718577	FALSE	None	None						
Main entry	110	Effects of minerals on coal beneficiation processes	000087424	5175471		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2722-	E 1.28:FE-2722-5		429-T-4 (microfiche)			1978-		FALSE		FALSE								
Main entry	110	Optimization studies of various coal-conversion systems: rates of hydrogen absorption and asphaltene formation in coal liquefaction	000089402	6191391		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2274-	E 1.28:FE-2274-5		429-T-4 (microfiche)			1978-		FALSE		FALSE								
Main entry	110	Optimization studies of various coal-conversion systems	000089403	6201885		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2274-	E 1.28:FE-2274-6		429-T-4 (microfiche)			1978-		FALSE		FALSE								
Subject added entry--topical term; Main entry	650; 110	Quarterly progress report	000089589	6166585		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:ORO-5194-	E 1.28:ORO-5194-1		429-T-4 (microfiche)			1978-		FALSE		FALSE								
Main entry	110	Utilization of coal associated minerals	000091521	6241804		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2721-	E 1.28:FE-2721-5		429-T-4 (microfiche)			1979-		FALSE		FALSE								
Subject added entry--topical term; General note; Main entry	650; 500; 110	Devonian shale program	000093967	6373962		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:ORO-5194-T 2	E 1.28:ORO-5194-T 2		429-T-4 (microfiche)			1979-		FALSE		FALSE								
Main entry	110	Analysis of the structural parameters that influence gas production from the Devonian shale	000103301	6272431		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:ORO-5194-2/V.1-	E 1.28:ORO-5194-2/V.2		429-T-4 (microfiche)			1978-		FALSE		FALSE								
Subject added entry--corporate name; Main entry	610; 110	Local rules	000223699	12324223		Language material	a	No attempt to code	|	Monograph/item	m	JU			Judiciary			JU 6.11:L 78	JU 6.11:L 78		740			1985		FALSE		FALSE								
