MATCHED_ON	TITLE	CGP#	OCLC_035	OCLC_019	RECTYPE	BIBLVL	RECFORM	AGENCY_CLASS	SUDOC	ITEM#	PURL
main_entry	Uniform tire quality grading--treadwear 	000001103	1508978		a	m	Print	TD	TD 8.2:T 51/2		
main_entry	Direct and indirect economic, social, and environmental impacts of the passage of the California nuclear power plants initiative 	000005024	2181050		a	m	Print	FE	FE 1.2:N 88/V.1		
main_entry	Careers in construction :	000005107	2309365		a	m	Print	HE	HE 19.108/2:C 18/INSTRUCTOR		
main_entry	Careers in construction :	000005108	2309297		a	m	Print	HE	HE 19.108/2:C 18/STUDENT		
main_entry	Electricity :	000005109	2306837		a	m	Print	HE	HE 19.108/2:EL 2/INSTRUCTOR		
main_entry	Finishing : instructor's guide, preparation level 	000005110	2161539		a	m	Print	HE	HE 19.108/2:F 49/INSTRUCTOR		
main_entry	Masonry :	000005111	1833808		a	m	Print	HE	HE 19.108/2:M 38/INSTRUCTOR		
main_entry	Masonry :	000005112	2009220		a	m	Print	HE	HE 19.108/2:M 38/STUDENT		
main_entry	Metal :	000005113	2306884		a	m	Print	HE	HE 19.108/2:M 55/INSTRUCTOR		
main_entry	Interim report of remedial measures for houses damaged by expansive clay 	000005188	2008142		a	m	Print	HH	HH 1.2:C 57		
main_entry	Interim report of experimental foundation designs on expansive clay soils 	000005189	2334632		a	m	Print	HH	HH 1.2:C 57/2		
main_entry	Electricity :	000006699	2400431		a	m	Print	HE	HE 19.108/2:EL 2/STUDENT		
main_entry	Engineering, support and management services :	000006700	2400526		a	m	Print	HE	HE 19.108/2:EN 3/INSTRUCTOR		
main_entry	Wood :	000006701	2293345		a	m	Print	HE	HE 19.108/2:W 85/STUDENT		
main_entry;subject_650	School desegregation in Corpus Christi :	000020148	3014517		a	m	Print	CR	CR 1.2:D 45/8	288-A	
main_entry;norm_title;subject_650;subject_651	Working with your school :	000020164	2850345	1124636364;1201617774	a	m	Print	CR	CR 1.6/3:T 31	0288-A	
main_entry;norm_title;subject_650	Energy Advisory Service for Texas :	000050199	4139726		a	m	Print	E	E 1.28:HCP/W 5148-01	429-T-4	
main_entry	Transition metal-graphite catalysts for production of light hydrocarbons from synthesis gas 	000052314	4123689		a	m	Print	E	E 1.28:FE-2467-6	429-T-4	
main_entry;notes	LSAA large area silicon sheet task continuous Czochralski process development.	000057868	4407340		a	m	Print	E	E 1.28:DOE/JPL/954887-3	429-T-4	
main_entry	Transition metal-graphite catalysts for production of light hydrocarbons from synthesis gas.	000067137	4936123		a	m	Print	E	E 1.28:FE-2467-5	429-T-4 (microfiche)	
main_entry	LSA silicon material task closed-cycle process development.	000070381	5182592		a	m	Print	E	E 1.28:DOE/JPL/955006-1	429-T-4	
main_entry	LSSA large area silicon sheet task continuous Czochralski process development.	000071883	4583276		a	m	Print	E	E 1.28:DOE/JPL/954887-	429-T-4	
