MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Title statement; Subject added entry--topical term	245; 650	Providing for an elective Governor and Lieutenant Governor of American Samoa, and for other purposes: report to accompany H.R. 14291.	000008863	2484869		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:H.RP.1336	94-2:H.RP.1336					1976		FALSE							
Title statement; Subject added entry--topical term	245; 650	Revised aircraft accident report, Pan American World Airways, Inc.: Boeing 707-321B, N454PA, Pago Pago, American Samoa, January 30, 1974.	000034577	3624429		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 1.112:77-7	TD 1.112:77-7		982-I-9			1977		FALSE							
Subject added entry--geographic name; Title statement; Subject added entry--topical term	651; 245; 650	Various industries in American Samoa: an economic report.	000053116	2967178		Language material	a	No attempt to code	|	Monograph/item	m	L			Department of Labor			L 36.202:AM 3	L 36.202:AM 3					1976		FALSE							
Title statement; Subject added entry--topical term	245; 650	American Samoa needs effective aid to improve government operations and become a self-supporting territory: report	000058078	4447999		Language material	a	No attempt to code	|	Monograph/item	m	GA			Government Accountability Office			GA 1.13:CED-78-154	GA 1.13:CED-78-154		546-D (microfiche)			1978		FALSE							
Subject added entry--geographic name; Title statement	651; 245	Delegate from American Samoa to the U.S. Congress: hearing before the Subcommittee on National Parks and Insular Affairs of the Committee on Interior and Insular Affairs, House of Representatives, Ninety-fifth Congress, second session, on H.R. 13702 ... August 8, 1978.	000060649	4482429		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.IN 8/14:95-32	Y 4.IN 8/14:95-32		1023			1978		FALSE							
Subject added entry--geographic name; Title statement	651; 245	Providing that the territory of American Samoa be represented by a nonvoting Delegate to the U.S. House of Representatives, and for other purposes: report to accompany H.R. 13702.	000060771	4482380		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			95-2:H.RP.1458	95-2:H.RP.1458		1008-A			1978		FALSE							
Subject added entry--geographic name; Title statement	651; 245	Territory of American Samoa: [an act to provide that the Territory of American Samoa be represented by a nonvoting Delegate to the United States House of Representatives, and for other purposes].	000063298	4565275		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			95-2:PUB.LAW 556	95-2:PUB.LAW 556		575			1978		FALSE							
Title statement; Subject added entry--topical term	245; 650	High court of American Samoa appeals act: report to accompany S. 2793.	000063359	4587701		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			95-2:S.RP.1107	95-2:S.RP.1107		1008-A			1978		FALSE							
Title statement	245	Territorial income tax systems: income taxation in the Virgin Islands, Guam, the northern Mariana Islands and American Samoa.	000083967	5823639		Language material	a	No attempt to code	|	Monograph/item	m	T			Department of the Treasury			T 1.2:T 27	T 1.2:T 27		925			1979		FALSE							
Title statement	245	Territorial policy: message from the president of the United States transmitting proposals for a comprephensive federal territorial policy toward Guam, the United States Virgin Islands, American Samoa, and the Northern Mariana Islands.	000133415	8384225		Language material	a	No attempt to code	|	Monograph/item	m	X			Congressional Record			X 96-2:H.DOC.268	X 96-2:H.DOC.268		996-A	996-B (microfiche)		1980		FALSE							
Title statement; Subject added entry--topical term	245; 650	Wind climatology of American Samoa	000143971	7502328		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 55.13/2:ERL ARL-98	C 55.13/2:ERL ARL-98		208-C-2 (microfiche)			1981		FALSE							
Subject added entry--geographic name; Title statement; Subject added entry--topical term	651; 245; 650	1980 census of population and housing: American Samoa, final population and housing unit counts.	000154772	9096952	1225703514	Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 3.223/19:80-V-56			0159-B-53			1982		FALSE							
Title statement; Subject added entry--topical term	245; 650	American Samoa Bond Authorization Act: report (to accompany S. 2632).	000160355	9271050		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 1.1/5:97-590	Y 1.1/5:97-590		1008-C	1008-D (microfiche)		1982		FALSE							
Title statement	245	Establishing an Insular Areas Commission on Federal Laws to study the application of the laws of the United States to Guam, the Virgin Islands, and American Samoa: report (to accompany H.R. 2954) (including the cost estimate of the Congressional Budget Office).	000169342	9776501		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 1.1/8:98-171	Y 1.1/8:98-171		1008-C	1008-D (microfiche)		1983		FALSE							
Varying form of title; Title statement	246; 245	Circular SS, federal tax guide for employers in the Virgin Islands, Guam, and American Samoa	000172610	9877992		Language material	a	No attempt to code	|	Monograph/item	m	T			Department of the Treasury			T 22.20/2:SS/982	T 22.20/2:SS/982		955-A			1982		FALSE							
Subject added entry--geographic name; Title statement; Subject added entry--topical term	651; 245; 650	Local climatological data. Pago Pago, American Samoa, monthly summary	000173792	6301627		Language material	a	No attempt to code	|	Serial	s	C			Department of Commerce			C 55.287/55:						19uu		FALSE							
Title statement; Subject added entry--topical term	245; 650	Masefau shore protection study public meeting: Saturday, July 7, 1979 at 9:00 AM, Masefau Village, American Samoa.	000181180	10308256		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 103.2:M 37	D 103.2:M 37					1979?		FALSE							
