MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Subject added entry--corporate name; Subject added entry--topical term; Varying form of title; Title statement	110; 610; 650; 246; 245	Summary of proceedings, Arizona State Multiple Use Advisory Board, Flagstaff, Arizona, March 3, 1976	000018291	2899972		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.2:AR 4	I 53.2:AR 4					1976?		FALSE							
Subject added entry--corporate name; Main entry; Subject added entry--topical term	610; 110; 650	Minutes of the October 28-29, 1975 meeting in Phoenix	000018292	2899935		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.2:AR 4/2	I 53.2:AR 4/2					1976?		FALSE							
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	Justice in Flagstaff: are these rights inalienable?	000020159	2940532		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:J 98/2	CR 1.2:J 98/2		288-A			1977		FALSE							
General note; Main entry	500; 110	Guideway, vehicle cost reduction	000025455	3048403		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 1.20:76-95/PT. 1-2	TD 1.20:76-95/PT. 1-2		982-I-5			1976		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Paiute Primitive Area: visitors guide.	000029040	3429057		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:P 16	I 53.11:P 16		629-B			1977		FALSE							
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	Proposed livestock grazing program, Cerbat/Black Mountain planning units	000048447	4117941		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.19:L 75	I 53.19:L 75		629-C			1978		FALSE							
Main entry; Subject added entry--topical term	110; 650	Upper Gila-San Simon, grazing environment statement, draft	000048449	4118085		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.19:UP 6 G	I 53.19:UP 6 G		629-C			1978		FALSE							
Main entry	110	Solar energy conversion: an analysis of impacts on desert ecosystems.	000070362	4139909		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO/4339-3	E 1.28:COO/4339-3		429-T-4			1977-		FALSE							
Main entry; Title statement; Name of publisher, distributor, etc.	110; 245; 260/264$b	Southern California Edison Company proposed 500 kV Palo Verde-Devers power transmission line: Palo Verde generating plant, Arizona to Devers substation, California	000072464	5044378		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:P 18	I 1.98:P 18		603-G			1979		FALSE							
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	Crossman Peak radar proposal	000080370	5653058		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:C 88/2/DRAFT	I 1.98:C 88/2/DRAFT		603-G			1979		FALSE							
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	Aravaipa Canyon wilderness	000082376	5713370		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:AR 1	I 1.98:AR 1		603-G			1979		FALSE							
Main entry; Title statement; Subject added entry--topical term	110; 245; 650	Low-temperature geothermal reservoir site evaluation in Arizona	000083339	4469136		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:COO/4362-	E 1.28:COO/4362-2		429-T-4 (microfiche)			1978-		FALSE							
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	Shivwits grazing management	000085957	5913436		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:SH 6/DRAFT	I 1.98:SH 6/DRAFT		603-G			1979		FALSE							
Main entry; Subject added entry--topical term	110; 650	Department of the Interior draft environmental statement, Vermillion grazing	000085960	5070563		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:V 59/DRAFT	I 1.98:V 59/V.2	I 1.98:V 59/V.2	603-G			1979-		FALSE							
