MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Title statement	110; 245	Montgomery Congressional Delegation to Hawaii, Guam, Palau, and the Republic of the Philippines, April 11-18, 1987: trip report to the Committee on Veterans' Affairs, U.S. House of Representatives, 100th Congress.	000259686	16048001		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.V 64/3:M 76	Y 4.V 64/3:M 76		1027-A	1027-B (microfiche)		1987	87-310-P.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Resource material used in preparation of report of Commission on Application of Federal Laws to Guam	000666364			Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.IN 8/14:G 93/3						1952		FALSE		FALSE								
Main entry; Subject added entry--topical term; Subject added entry--geographic name; Title statement	110; 650; 651; 245	Texts of the Organic act of Guam, as amended to December 31, 1960 ;: Revised organic act of the Virgin Islands, as amended to December 31, 1960 ; Constitution of American Samoa, promulgated by the Secretary of the Interior, effective October 17, 1960.	000666369	8825497		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.IN 8/14:G 93/5						1961		FALSE		FALSE								
Title statement; Name of publisher, distributor, etc.; Main entry; Subject added entry--topical term; Subject added entry--geographic name	245; 260/264$b; 110; 650; 651	Guam National Wildlife Refuge planning update	001114471	1139709686		Language material	a	Online	o	Serial	s	I			Department of the Interior			I 49.44/3:G 93/			0612-C-08 (online)			2007-2010		NA		FALSE			https://purl.fdlp.gov/GPO/gpo131952			https://www.fws.gov/pacific/planning/main/docs/HI-PI/docsguam.htm		
Subject added entry--topical term; Title statement	650; 245	Reorganization of the judicial system of Guam: hearing before the Subcommittee on Courts, Civil Liberties, and the Administration of Justice of the Committee on the Judiciary, House of Representatives, Ninety-fourth Congress, first session, on H.R. 4580 ... July 31, 1975.	000001254	2058225		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.J 89/1:94-19	Y 4.J 89/1:94-19					1975		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Constitution for the Virgin Islands and constitution for Guam: hearing before the Subcommittee on Territorial and Insular Affairs of the Committee on Interior and Insular Affairs, House of Representatives, Ninety-fourth Congress, first session, on H.R. 9460 and others ... H.R. 9491 and others ... September 17, 1975.	000003752	2206181		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.IN 8/14:94-33	Y 4.IN 8/14:94-33					1975		FALSE		FALSE								
Title statement	245	Implementation plan review for Guam as required by the Energy supply and environmental coordination act	000007952	2487862		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.58:450/3-74-080	EP 1.58:450/3-74-080					1974		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Implementation plan review for Guam as required by the Energy supply and environmental coordination act	000007956	2487858		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.58:450/3-75-006	EP 1.58:450/3-75-006					1975		FALSE		FALSE								
Title statement	245	Characteristics of state plans for aid to families with dependent children under the Social security act, Title IV-A, and for Guam, Puerto Rico & Virgin Islands...	000008099	2093024		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 17.402:C 43/2	HE 17.402:C 43/2					1976?		FALSE		FALSE								
Subject added entry--topical term; Subject added entry--geographic name; Title statement	650; 651; 245	Hearings on H.R. 6986 (H.R. 12984) to require the Guam shipyard facility to function at its maximum productive capacity, and for other purposes	000008582	2459184		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.AR 5/2 A:975-76/54	Y 4.AR 5/2 A:975-76/54					1976		FALSE		FALSE								
