MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Military family housing project, Aliamanu Military Reservation, Oahu, Hawaii	000047069	4094737		Language material	a	No attempt to code	|	Monograph/item	m	D			Department of Defense			D 101.82:M 59	D 101.82:M 59					1975		FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Hawaiian waterbirds recovery plan	000072508	5058279		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 49.2:H 31	I 49.2:H 31		612			1978		FALSE							
Subject added entry--topical term; Main entry; Title statement; Subject added entry--geographic name	650; 110; 245; 651	Immigration issues in Hawaii: a report of the proceedings of a consultation conducted by the Hawaii Advisory Committee to the United States Commission on Civil Rights in Honolulu, Hawaii, August 25, 1978.	000076235	5518809		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 31	CR 1.2:H 31		288-A			1979		FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Foreign direct investment in the United States: geographic studies, Hawaii	000091204	6234292		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 61.2:H 31	C 61.2:H 31		231-B-1			1980		FALSE							
Subject added entry--topical term; Main entry; Title statement; Subject added entry--geographic name	650; 110; 245; 651	Native Hawaiians Study Commission: report on the culture, needs, and concerns of native Hawaiians.	000200245	10865978		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.H 31/2:2 N 21/V.1-2	Y 3.H 31/2:2 N 21/V.1-2		1089			1983		FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	University of Hawaii community colleges: a guide for apprenticeship coordinators and administrators.	000206216	11478493		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:238498	ED 1.310/2:238498		466-A-3 (microfiche)			1983		FALSE							
Main entry; Title statement	110; 245	Montgomery Congressional Delegation to Hawaii, Guam, Palau, and the Republic of the Philippines, April 11-18, 1987: trip report to the Committee on Veterans' Affairs, U.S. House of Representatives, 100th Congress.	000259686	16048001		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.V 64/3:M 76	Y 4.V 64/3:M 76		1027-A	1027-B (microfiche)		1987	87-310-P.	FALSE							
Subject added entry--topical term; Subject added entry--corporate name; Main entry; Title statement; Varying form of title	650; 610; 110; 245; 246	Hawaii District activities	000267763	12389267		Language material	a	No attempt to code	|	Serial	s	I			Department of the Interior			I 19.55/7:	I 19.55/7:984		619-E-1 (microfiche)			198u		FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Building the future: a blueprint for change : "By our homes you will know us" : final report of the National Commission on American Indian, Alaska Native, and Native Hawaiian Housing.	000377164	26653018		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.AM 3/2:2 F 98			1089			1992	92-0503-P.	FALSE							
Subject added entry--topical term; Main entry; Title statement; Subject added entry--corporate name	650; 110; 245; 610	Broken trust: the Hawaiian homelands program : seventy years of failure of the federal and state governments to protect the civil rights of native Hawaiians	000422605	30958264		Language material	a	Microfiche	b	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:H 31/3			0288-A (MF)			1991	94-0453-M.	FALSE							
Subject added entry--topical term; Subject added entry--corporate name; Main entry; Title statement; Name of publisher, distributor, etc.	650; 610; 110; 245; 260/264$b	Hawaiian Volcano Observatory summary, Part 2, Deformation data	000440706	32577134		Language material	a	Microfiche	b	Serial	s	I			Department of the Interior			I 19.76:			0624-H (MF)			19uu		FALSE							
Subject added entry--topical term; Subject added entry--corporate name; Main entry; Title statement; Name of publisher, distributor, etc.	650; 610; 110; 245; 260/264$b	Hawaiian Volcano Observatory summary, Part 1, Seismic data	000470593	36920779		Language material	a	No attempt to code	|	Serial	s	I			Department of the Interior			I 19.76:			0624-H			1978		FALSE							
Subject added entry--topical term; Subject added entry--corporate name; General note; Main entry; Title statement	650; 610; 500; 110; 245	Hawaiian Volcano Observatory summary, Part 3, Electronic tilt data	000520730	43925852		Language material	a	Microfiche	b	Serial	s	I			Department of the Interior			I 19.76:	I 19.76:(DATE)		0642-H (MF)			19uu		FALSE							
Subject added entry--topical term; Main entry; Title statement; Subject added entry--geographic name	650; 110; 245; 651	Reconciliation at a crossroads: the implications of the apology resolution and Rice v. Cayetano for federal and state programs benefiting Native Hawaiians : summary report of the August 1998 and September 2000 community forums in Honolulu, Hawaiʻi	000534841	47293516		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:2001039537			0288-A (online)			2001		FALSE		https://purl.fdlp.gov/GPO/LPS13586					
General note; Subject added entry--topical term; Main entry; Subject added entry--corporate name	500; 650; 110; 610	Annual report	000561469	55150741		Language material	a	Electronic	s	Serial	s	A			Department of Agriculture			A 57.81/11-4:			0120-A-05 (online)			19uu		FALSE		https://purl.fdlp.gov/GPO/LPS48297					
Subject added entry--topical term; Subject added entry--corporate name; Main entry; Title statement; Name of publisher, distributor, etc.	650; 610; 110; 245; 260/264$b	Hawaiian Volcano Observatory summary, Part 1, Seismic data	000569136	29125495		Language material	a	Microfiche	b	Serial	s	I			Department of the Interior			I 19.76:			0624-H (MF)			19uu		FALSE							
Subject added entry--topical term; Main entry; Subject added entry--corporate name	650; 110; 610	Annual report	000625882	262685425		Language material	a	Electronic	s	Serial	s	PREX			Executive Office of the President			PREX 26.1/3:H 31			0857-R-03 (online)			2005		FALSE		https://purl.fdlp.gov/GPO/LPS104145					
Subject added entry--topical term; Subject added entry--corporate name; Main entry; Subject added entry--geographic name; Title statement; Varying form of title	650; 610; 110; 651; 245; 246	Hawaii High Intensity Drug Trafficking Area drug market analysis	000653965	464670510		Language material	a	Online	o	Serial	s	PREX			Executive Office of the President			PREX 26.1/3:H 31/			0857-R-03 (online)			2007-2011		FALSE		https://purl.fdlp.gov/GPO/FDLP919					
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Constitutions of Hawaii	000893165	6675125		Language material	a	No attempt to code	|	Monograph/item	m													1898		FALSE							
Subject added entry--topical term; General note; Main entry; Added entry--corporate name; Subject added entry--geographic name; Title statement	650; 500; 110; 710; 651; 245	Message from the President of the United States: transmitting the report of the Hawaiian Commission, appointed in pursuance of the "Joint resolution to provide for annexing the Hawaiian Islands to the United States," approved July 7, 1898	000912329	2075487	16334688	Language material	a	No attempt to code	|	Monograph/item	m													1898		FALSE							
Subject added entry--topical term; Main entry; Subject added entry--geographic name	650; 110; 651	Keālia Pond National Wildlife Refuge: draft comprehensive conservation plan and environmental assessment	000979424	851283578		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 49.44/3-2:K 19/DRAFT						2011		TRUE	948989984						
Subject added entry--topical term; Main entry; Subject added entry--geographic name	650; 110; 651	Keālia Pond National Wildlife Refuge: draft comprehensive conservation plan and environmental assessment	000980571	948989984		Language material	a	Online	o	Monograph/item	m	I			Department of the Interior			I 49.44/3-2:K 19/DRAFT			0612-C-01 (online)			2011		FALSE		https://purl.fdlp.gov/GPO/gpo67828			https://www.fws.gov/pacific/planning/main/docs/HI-PI/Maui/KealiaPondDCCPEA.pdf		
Subject added entry--topical term; Main entry; Subject added entry--geographic name	650; 110; 651	Kakahaiʻa National Wildlife Refuge: draft comprehensive conservation plan and environmental assessment	001000981	857663688		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 49.44/3-2:K 12/2/DRAFT						2011		FALSE							
