MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Name of publisher, distributor, etc.; Main entry; Subject added entry--corporate name; Subject added entry--topical term; Varying form of title; Title statement	260/264$b; 110; 610; 650; 246; 245	Proceedings, Idaho Falls District Advisory Board [sic], February 5, l976, Idaho Falls, Idaho	000018294	2878694		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.2:ID 1 F	I 53.2:ID 1 F					1976		FALSE							
Subject added entry--geographic name; Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	651; 110; 260/264$b; 650	Proposed domestic livestock grazing program for the Challis Planning Unit	000018298	2871552		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.19/2:L 75/2	I 53.19/2:L 75/2		629-C			1977		FALSE							
Main entry; Subject added entry--topical term	110; 650	Occupational health and safety for agricultural workers: agricultural health and safety considerations for a rural primary health care system	000027445	3189117		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.7102:AG 8	HE 20.7102:AG 8		499-F-2			1976 i.e. 1977		FALSE							
Main entry; Title statement	110; 245	1975 progress report: Idaho National Engineering Laboratory site radioecology-ecology programs.	000047759	4121672		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:IDO-12080	ER 1.11:IDO-12080					1976		FALSE							
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	Revised range management program for the Challis grazing unit	000050813	4203591		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:C 35	I 1.98:C 35		603-G			1978		FALSE							
Main entry; Name of publisher, distributor, etc.; Subject added entry--topical term	110; 260/264$b; 650	Revised range management program for the Challis grazing unit	000060116	4538476		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:C 35/FINAL	I 1.98:C 35/FINAL		603-G			1978		FALSE							
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Light water reactor fuel response during reactivity initiated accident experiments	000071319	5201769		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 88:25/0269			1051-H-11 (MF)			1978		FALSE							
Main entry; Subject added entry--topical term	110; 650	Proposed range management program for the Little Lost-Birch Creek Planning Unit	000072462	5057133		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:L 72/DRAFT	I 1.98:L 72/DRAFT		603-B			28 cm		FALSE							
Main entry; Subject added entry--topical term	110; 650	Proposed livestock grazing management program for the Shoshone grazing area	000072466	5060760		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:SH 8	I 1.98:SH 8		603-C			between 1970 and 1979?		FALSE							
General note; Main entry; Name of publisher, distributor, etc.; Added entry--corporate name	500; 110; 260/264$b; 710	Fast reactor fission yields for ²⁴⁰Pu and ²⁴²Pu	000089438	6123643		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:ICP-1050-IV	E 1.28:ICP-1050-IV		429-T-4 (microfiche)			1979		FALSE							
