MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Subject added entry--topical term; Main entry	650; 110	Siting energy facilities at Glasgow Air Force Base: [report to the Federal Energy Administration]	000002410	2161699		Language material	a	No attempt to code	|	Monograph/item	m	FE			Federal Energy Administration			FE 1.2:G 46/V.1-3	FE 1.2:G 46/V.1-3					1975		FALSE		FALSE								
Subject added entry--topical term; Varying form of title; Main entry; Title statement	650; 246; 110; 245	Media in Montana: its effects on minorities and women : a report of the Montana Advisory Committee to the U.S. Commission on Civil Rights.	000004812	2298863		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:M 76	CR 1.2:M 76					1976		FALSE		FALSE								
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Corrections in Montana: a consulation on corrections in Montana	000061280	4651456		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:C 81/3	CR 1.2:C 81/3		288-A			1979		FALSE		FALSE								
Main entry	110	CDIF operational modeling status report	000067297	4975080		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:TID-28967	E 1.28:TID-28967		429-T-4			1979-		FALSE		FALSE								
Subject added entry--topical term; Main entry	650; 110	CDIF socioeconomic analysis, Butte-Silver Bow baseline data	000067298	4959992		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:TID-28969	E 1.28:TID-28969		429-T-4 (microfiche)			1978 i.e. 1979		FALSE		FALSE								
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Draft environmental statement on grazing management in the Missouri Brakes of Montana	000072463	4913001		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:M 69 O	I 1.98:M 69 O		603-G			1979		FALSE		FALSE								
Main entry	110	MHD power generation: research, development, and engineering.	000087433	5986585		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-3087-	E 1.28:FE-3087-2		429-T-4 (microfiche)			1976 i.e. 1979-		FALSE		FALSE								
Main entry	110	MHD power generation: research, development, and engineering.	000089429	6104385		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2524-	E 1.28:FE-2524-8		429-T-4 (microfiche)			1976 i.e. 1979-		FALSE		FALSE								
Name of publisher, distributor, etc.; Subject added entry--topical term; Main entry; Title statement	260/264$b; 650; 110; 245	Rules of procedure of the United States District Court for the District of Montana	000169054	9754043		Language material	a	No attempt to code	|	Monograph/item	m	JU			Judiciary			JU 10.7:M 76	JU 10.7:M 76		729-A			1983		FALSE		FALSE								
Subject added entry--geographic name; Subject added entry--topical term; Main entry; Title statement	651; 650; 110; 245	Land status, State of Montana	000229582	12566817		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:M 76/10	I 53.11:M 76/10		629-B			1984		FALSE		FALSE								
