MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Subject added entry--topical term; Name of publisher, distributor, etc.; Title statement	110; 650; 260/264$b; 245	Nevada Applied Ecology Group: procedures handbook for environmental transuranics	000024832	3220172		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.8:N 41/V.1-2	ER 1.8:N 41/V.1-2		474-A-9			1976		FALSE		FALSE								
Main entry	110	Operations plan: COSO geothermal exploratory hole no. 1 (CGEH-1)	000047784	4110994		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:NVO-184	ER 1.11:NVO-184					1977		FALSE		FALSE								
Main entry	110	Driver aid and education test project: final report	000050111	4206547		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.26:0043	E 1.26:0043		429-T-2			1978		FALSE		FALSE								
Main entry; Name of publisher, distributor, etc.	110; 260/264$b	Operation Morning Light: Northwest Territories, Canada, 1978 : a non-technical summary of U.S. participation.	000057923	4408413		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:NV-198	E 1.28:NV-198		429-T-4			1978		FALSE		FALSE								
Main entry; Subject added entry--topical term; General note	110; 650; 500	Proposed sale of Fort Mohave lands	000062229	4600635		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.19/2:F 77 M	I 53.19/2:F 77 M					197?		FALSE		FALSE								
Main entry; Subject added entry--topical term; Name of publisher, distributor, etc.; Title statement	110; 650; 260/264$b; 245	Quarterly report, Nevada nuclear waste storage investigations	000093954	6403069		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:NVO-196-	E 1.28:NVO-196-8		429-T-4 (microfiche)			1978-		FALSE		FALSE								
Main entry; General note	110; 500	Testing operations plan: COSO geothermal exploratory hole no. 1 (CGEH-1).	000103272	6830231		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:NVO-184/SUPP.1	E 1.28:NVO-184/SUPP.1		429-T-4 (microfiche)			1978		FALSE		FALSE								
Main entry; Subject added entry--topical term; Name of publisher, distributor, etc.; Title statement	110; 650; 260/264$b; 245	Safety assessment document for the spent fuel handling and packaging program demonstration at the Nevada test site	000103273	6810426		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:NVO-198	E 1.28:NVO-198		429-T-4 (microfiche)			1978		FALSE		FALSE								
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Transportation of radioactive material in Nevada: September 1980 - September 1981	000164571	9238413		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 88:25/2852	Y 3.N 88:25/2852		1051-H-11 (microfiche)			1982		FALSE		FALSE								
Main entry; Subject added entry--topical term	110; 650	Summary of final wilderness inventory decisions	000257696	15621142		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.2:W 64/13/SUM.	I 53.2:W 64/13/SUM.		631			1987	87-161-P.	FALSE		FALSE								
