MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry; Subject added entry--topical term; Subject added entry--geographic name; Title statement	110; 650; 651; 245	Working with your school: handbook of the New Mexico Advisory Committee to the United States Commission on Civil Rights.	000020165	2940249	1124636785	Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.6/3:N 42 M			0288-A			1977		TRUE	657014977	FALSE	None	None						
Main entry	110	Wind energy utilization: a bibliography with abstracts : cumulative volume 1944-1974.	000057873	1679654		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:DOE/NASA/1010-77/4	E 1.28:DOE/NASA/1010-77/4		429-T-4			1975?		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	New Mexico forest practices: guidelines	000088808	6176698		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.36/2:N 42 M	A 13.36/2:N 42 M		86-C			1980		FALSE		FALSE								
Main entry	110	First biannual progress report to the U.S. DOE: "a demonstration salt gradient solar pond".	000091780	4253943		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:TID-28168	E 1.28:TID-28168		429-T-4 (microfiche)			1977 i.e. 1978		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Guidelines for windbreaks in New Mexico	000102560	6774789		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.36/2:W 72	A 13.36/2:W 72		86-C			1980		FALSE		FALSE								
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Ground-water depletion, in feet, allowed in a part of Curry County, New Mexico, by U.S. Internal Revenue Service for calendar year 1979	000132818	8316241		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.79:CU-20	I 19.79:CU-20					1980?		FALSE		FALSE								
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Ground-water depletion, in feet, allowed in central Lea County, New Mexico, by U.S. Internal Revenue Service for calendar year 1979	000132819	8319895		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.79:LC-22	I 19.79:LC-22					1980?		FALSE		FALSE								
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Ground-water depletion, in feet, allowed in northern Lea County, New Mexico, by U.S. Internal Revenue Service for calendar year 1979	000132820	8319831		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.79:LN-22	I 19.79:LN-22					1980?		FALSE		FALSE								
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Ground-water depletion, in feet, allowed in Portales Valley, Roosevelt County, New Mexico, by U.S. Internal Revenue Service for calendar year 1979	000132821	8319881		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.79:RO-23	I 19.79:RO-23					1980?		FALSE		FALSE								
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Ground-water depletion, in feet, allowed in a part of Curry County, New Mexico, by U.S. Internal Revenue Service for calendar year 1980	000135347	8396121		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.79:CU-21	I 19.79:CU-21					1981		FALSE		FALSE								
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Ground-water depletion, in feet, allowed in central Lea County, New Mexico, by U.S. Internal Revenue Service for calendar year 1980	000135348	8396083		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.79:LC-23	I 19.79:LC-23					1981		FALSE		FALSE								
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Ground-water depletion, in feet, allowed in northern Lea County, New Mexico, by U.S. Internal Revenue Service for calendar year 1980	000135349	8396064		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.79:LN-23	I 19.79:LN-23					1981		FALSE		FALSE								
Main entry; Subject added entry--topical term; General note; Title statement	110; 650; 500; 245	Ground-water depletion, in feet, allowed in Portales Valley, Roosevelt County, New Mexico, by U.S. Internal Revenue Service for calendar year 1980	000135350	8396095		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.79:RO-24	I 19.79:RO-24					1981		FALSE		FALSE								
Main entry; Subject added entry--topical term; Title statement	110; 650; 245	Water-resources investigations of the U.S. Geological Survey in New Mexico	000179978	8036914		Language material	a	No attempt to code	|	Serial	s	I			Department of the Interior			I 19.76:	I 19.76:82-267		624-H (microfiche)			1980-		FALSE		FALSE								
Main entry; Subject added entry--topical term; Name of publisher, distributor, etc.; Title statement	110; 650; 260/264$b; 245	New Mexico statewide wilderness study	000250801	14354226		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:N 42 M/2/V.1-4/REVISED	I 1.98:N 42 M/2/V.1-4/REVISED		603-G			1986	86-763-P.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Name of publisher, distributor, etc.; Title statement	110; 650; 260/264$b; 245	New Mexico wilderness studies	000262902	16640464		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:N 42 M/2/SUM.	I 1.98:N 42 M/2/SUM.		603-G			1987	87-492-P.	FALSE		FALSE								
Subject added entry--corporate name; Title statement; Main entry; Subject added entry--topical term; Varying form of title	610; 245; 110; 650; 246	Water-resources investigations of the U.S. Geological Survey New Mexico District	000325443	5150414		Language material	a	No attempt to code	|	Serial	s	I			Department of the Interior			I 19.76:			0624-H			1978		FALSE		FALSE								
Title statement; Name of publisher, distributor, etc.; Main entry; Subject added entry--topical term; Subject added entry--geographic name	245; 260/264$b; 110; 650; 651	BLM, New Mexico, Oklahoma, Texas, and Kansas	000333209	19097305	20841669	Language material	a	No attempt to code	|	Serial	s	I			Department of the Interior			I 53.2:L 22/13	I 53.43/5:					1987?-		TRUE	622792490	FALSE	None	None						
Title statement; Name of publisher, distributor, etc.; Main entry; Subject added entry--topical term; Subject added entry--geographic name	245; 260/264$b; 110; 650; 651	BLM, New Mexico, Oklahoma, Texas, and Kansas	000394458	28143522		Language material	a	Microfiche	b	Serial	s	I			Department of the Interior			I 53.2:L 22/13/	I 53.43/5:		0631-G-03 (MF)			1987?-		FALSE		FALSE								
Main entry; Subject added entry--topical term; Name of publisher, distributor, etc.	110; 650; 260/264$b	Dark Canyon environmental impact statement: draft	000395455	28227439		Language material	a	Microfiche	b	Monograph/item	m	I			Department of the Interior			I 1.98:D 24/DRAFT	I 1.98:D 24/DRAFT		0603-G (MF)			1992	93-0237-M.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Varying form of title; Title statement	110; 650; 246; 245	Surface management responsibility, state of New Mexico: 1994	000434862	32055152		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:N 42 M/6/MED.			0629-B			1994	95-0053-P.	FALSE		FALSE								
Main entry; Subject added entry--topical term; Name of publisher, distributor, etc.; Title statement	110; 650; 260/264$b; 245	New Mexico wilderness study report	000448802	33228022		Language material	a	Microfiche	b	Monograph/item	m	I			Department of the Interior			I 53.33:L 33 C/V.-	I 53.33:L 33 C/V.3		0633-A-03 (MF)			1988-		FALSE		FALSE								
