MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Added entry--corporate name; Title statement; Main entry; Subject added entry--topical term; Subject added entry--geographic name	710; 245; 110; 650; 651	Welcoming America's newest commonwealth: the second interim report of the Northern Mariana Islands Commission on Federal Laws to the Congress of the United States.	000224289	12535885		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 81/6:9 C 73	Y 3.N 81/6:9 C 73		1089			1985		FALSE		FALSE								
Added entry--corporate name; Subject added entry--corporate name; Title statement; Main entry; Subject added entry--topical term; Subject added entry--geographic name	710; 610; 245; 110; 650; 651	Welcoming America's newest commonwealth: the second interim report of the Northern Mariana Islands Commission on Federal Laws to the Congress of the United States : documentary supplement.	000224290	12535912		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 81/6:9 C 73/DOC.SUPP.	Y 3.N 81/6:9 C 73/DOC.SUPP.		1089			1985		FALSE		FALSE								
Title statement	245	Northern Mariana Islands: hearing before the Subcommittee on General Legislation of the Committee on Armed Services, United States Senate, Ninety-fourth Congress, first session, on H.J. Res. 549 ... November 17, 1975.	000001156	2115883		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.AR 5/3:M 33/4	Y 4.AR 5/3:M 33/4					1976		FALSE		FALSE								
Varying form of title; Title statement	246; 245	Public Law 94-241: 94th Congress, H.J. Res. 549, March 24, 1976 : joint resolution to approve the "Covenant to establish a Commonwealth of the Northern Mariana Islands, in political union with the United States of America," and for other purposes.	000004238	2155382		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			94-2:PUB.LAW 241	94-2:PUB.LAW 241					1976		FALSE		FALSE								
Subject added entry--corporate name; Title statement	610; 245	To create the District Court for the Northern Mariana Islands: hearing before the Committee on Judiciary, United States Senate, Ninety-fifth Congress, first session, on S. 2149 ...	000032466	3535094		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.J 89/2:M 33/4	Y 4.J 89/2:M 33/4		1042			1977		FALSE		FALSE								
Subject added entry--geographic name; Title statement	651; 245	U.S. attorneys and U.S. marshals for the Northern Mariana Islands: report to accompany H.R. 13892.	000060813	4482744		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			95-2:H.RP.1650	95-2:H.RP.1650		1008-A			1978		FALSE		FALSE								
Subject added entry--geographic name; Title statement	651; 245	Act to amend title 28 of the United States Code to provide that the requirement that each United States attorney and United States marshal reside in the district for which he is appointed shall not apply to an individual appointed to such a position for the Northern Mariana Islands if such indivi	000060996	4539936		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			95-2:PUB.LAW 530	95-2:PUB.LAW 530		575			1978		FALSE		FALSE								
Subject added entry--corporate name; Title statement	610; 245	Act to create the District Court for the Northern Mariana Islands, implementing article IV of the Covenant to establish a Commonwealth of the Northern Mariana Islands in Political Union with the United States of America	000072914	5065668		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			95-1:PUB.LAW 157	95-1:PUB.LAW 157		575			1977		FALSE		FALSE								
Subject added entry--geographic name; Title statement	651; 245	Authority for citizens of Northern Mariana Islands to enlist in the Armed Forces of the United States: report to accompany H.R. 4627.	000080819	5632112		Language material	a	No attempt to code	|	Monograph/item	m	X			Congressional Record			X 96-1:H.RP.468	X 96-1:H.RP.468		1008-A			1979		FALSE		FALSE								
Title statement	245	Territorial income tax systems: income taxation in the Virgin Islands, Guam, the northern Mariana Islands and American Samoa.	000083967	5823639		Language material	a	No attempt to code	|	Monograph/item	m	T			Department of the Treasury			T 1.2:T 27	T 1.2:T 27		925			1979		FALSE		FALSE								
Subject added entry--geographic name; Title statement	651; 245	Amending the date that section 601 of the convenant [i.e. covenant] to establish a Commonwealth of the Northern Mariana Islands in political union with the United States of America becomes effective: report to accompany H.R. 3758.	000092725	6262397		Language material	a	No attempt to code	|	Monograph/item	m	X			Congressional Record			X 96-1:H.RP.121	X 96-1:H.RP.121		1008-A	1008-A-2 (microfiche)		1979		FALSE		FALSE								
Subject added entry--topical term; Subject added entry--geographic name; Title statement	650; 651; 245	Problems with new responsibilities of self-government in the Northern Mariana Islands: report to the Congress	000104743	6253937		Language material	a	No attempt to code	|	Monograph/item	m	GA			Government Accountability Office			GA 1.13:ID-80-20	GA 1.13:ID-80-20		546-D (microfiche)			1980		FALSE		FALSE								
Title statement	245	Territorial policy: message from the president of the United States transmitting proposals for a comprephensive federal territorial policy toward Guam, the United States Virgin Islands, American Samoa, and the Northern Mariana Islands.	000133415	8384225		Language material	a	No attempt to code	|	Monograph/item	m	X			Congressional Record			X 96-2:H.DOC.268	X 96-2:H.DOC.268		996-A	996-B (microfiche)		1980		FALSE		FALSE								
Subject added entry--topical term; Varying form of title; Title statement	650; 246; 245	1981 White House Conference on Aging: state conference report from Northern Mariana Islands.	000145641	8756784		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.W 58/4:9 N 83/981	Y 3.W 58/4:9 N 83/981		1088 (microfiche)			1981		FALSE		FALSE								
Title statement	245	Summary of environmental and fishing information on Guam and the Commonwealth of the Northern Mariana Islands: a review of the plankton communities and fishery resources	000189602	10471233		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 55.13/2:NMFS-SWFC-33	C 55.13/2:NMFS-SWFC-33		208-C-4 (microfiche)			1983		FALSE		FALSE								
General note; Title statement	500; 245	To enhance economic development of Guam, the Virgin Islands, American Samoa, the Northern Mariana Islands, and for other purposes	000208228	11544527		Language material	a	No attempt to code	|	Monograph/item	m	GS			General Services Administration			GS 4.110:98-454	GS 4.110:98-454		575			1984		FALSE		FALSE								
Subject added entry--topical term; Title statement	650; 245	Amending the Revised Organic Act of the Virgin Islands, to amend the covenant to establish a Commonwealth of the Northern Mariana Islands, to provide for the governance of the insular areas of the United States, and for other purposes: report (to accompany H.R. 2478).	000217758	12209822		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 1.1/8:99-116	Y 1.1/8:99-116		1008-C	1008-D (microfiche)		1985		FALSE		FALSE								
