MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Careers in communications media	000011891	1972612		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.108:C 73	HE 19.108:C 73					1975		FALSE							
Main entry	110	Keyed riprap	000025498	3124273		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.40:31	TD 2.40:31					1976?		FALSE							
Main entry	110	Course manual for X-ray measurements (GS-462)	000027409	3287253		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.4108:X 1/2/977	HE 20.4108:X 1/2/977		498-B-1			1977		FALSE							
Main entry	110	Course manual for machine sources of X-rays (GS-461)	000027410	3286017		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.4108:X 1/3/977	HE 20.4108:X 1/3/977		498-B-1			1977		FALSE							
Main entry	110	Course manual for X-ray applications (GS-463)	000027411	3286056		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.4108:X 1/977	HE 20.4108:X 1/977		498-B-1			1977		FALSE							
Subject added entry--topical term; Main entry	650; 110	Banfield high occupancy vehicle lanes	000045444	4054950		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.30:78-59	TD 2.30:78-59		982-G-11			1978		FALSE							
Subject added entry--topical term; Main entry	650; 110	Banfield high occupancy vehicle lanes: appendices	000045445	4054973		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.30:78-60	TD 2.30:78-60		982-G-11			1978		FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Civil and human rights in Oregon State prisons: a report of the Oregon Advisory Committee to the United States Commission on Civil Rights.	000046834	2820419		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:P 93/4	CR 1.2:P 93/4					1976		FALSE							
Main entry	110	Energy, economic, and environmental consequences of increased vehicle size and weight	000060388	4540763		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 1.20/7:50/78/26	TD 1.20/7:50/78/27	TD 1.20/7:50/78/26	982-I-13			1978		FALSE							
Subject added entry--topical term; Main entry	650; 110	Evaluation of incentives for carpooling and bus use, Banfield Freeway	000068195	4837782		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.30:78-207	TD 2.30:78-207		982-G-11			1978		FALSE							
Subject added entry--topical term; Main entry	650; 110	Jackson and Klamath sustained yield units ten-year timber management plan	000070866	5180060		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:T 48/DRAFT	I 1.98:T 48/DRAFT		603-G			between 1970 and 1979?		FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Statewide comprehensive plan for fish and wildlife on the national forests in the State of Oregon	000071675	5033297		Language material	a	No attempt to code	|	Serial	s	A			Department of Agriculture			A 13.2:OR 3/8/	A 13.2:OR 3/8/981-85		84			19uu		FALSE							
Subject added entry--topical term; Main entry	650; 110	Drewsey grazing management program	000072460	5070536		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:D 82/DRAFT	I 1.98:D 82/DRAFT		603-G			1979		FALSE							
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.; Title statement	650; 110; 260/264$b; 245	BLM recreation guide for Oregon	000074751	5306851		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:OR 3/4	I 53.11:OR 3/4					1978		FALSE							
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.	650; 110; 260/264$b	Jackson and Klamath sustained yield units ten-year timber management plan	000085959	5862732		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 1.98:T 48/FINAL	I 1.98:T 48/FINAL		603-G			1979		FALSE							
Subject added entry--topical term; General note; Main entry; Subject added entry--geographic name; Title statement; Name of publisher, distributor, etc.	650; 500; 110; 651; 245; 260/264$b	Geothermal resources of Oregon 1982	000179463	9620092	8913804; 21647043; 222947307; 1303283708	Cartographic material	e	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 55.22/2:OR 3	C 55.22/2:OR 3/MAP		0250-F			1982		FALSE							
Subject added entry--topical term; Main entry; Title statement; Subject added entry--geographic name	650; 110; 245; 651	Oregon BLM resource map	000192579	10693969		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:OR 3/5	I 53.11:OR 3/5		629-B			1984		FALSE							
Subject added entry--topical term; General note; Main entry; Subject added entry--geographic name; Title statement; Name of publisher, distributor, etc.	650; 500; 110; 651; 245; 260/264$b	Western Oregon special management areas, December 1985	000229584	12788296		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:OR 3/6	I 53.11:OR 3/6					1985	85-979-P.	FALSE							
