MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	ONLINE_EQUIV_IN_CGP	ONLINE_EQUIV_CGP_SYS_NO	ONLINE_EQUIV_PURL	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Subject added entry--topical term; Main entry	650; 110	Shrub improvement: Shrub Sciences Laboratory.	000017577	2847669		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.65/2:SH 8	A 13.65/2:SH 8					1975		FALSE		FALSE								
Main entry	110	Forest habitat types of Montana	000019684	3093193		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.88:INT-34	A 13.88:INT-34		83-B			1977		FALSE		FALSE								
Main entry	110	Anatomy of a mine from prospect to production	000041583	3422065		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.88:INT-35	A 13.88:INT-35					1977		FALSE		FALSE								
Main entry	110	Economics of large-scale surface coal mining using simulation models	000042132	3197520		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:FE-1520-101	ER 1.11:FE-1520-102	ER 1.11:FE-1520-103	1051-C (microfiche)			1977-		FALSE		FALSE								
Main entry	110	Economics of large-scale surface coal mining using simulation models	000042133	3910747		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:FE-1520-105	ER 1.11:FE-1520-106	ER 1.11:FE-1520-107	1051-C- (microfice)			1977		FALSE		FALSE								
Main entry	110	Economics of large-scale surface coal mining using simulation models	000042134	3910774		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:FE-1520-109	ER.1.11:FE-1520-110	ER 1.11:FE-1520-111	1051-C (microfiche)			1977-		FALSE		FALSE								
Main entry	110	Economics of large-scale surface coal mining using simulation models	000042135	3910820		Language material	a	No attempt to code	|	Monograph/item	m	ER			Energy Research and Development Administration			ER 1.11:FE-1520-113	ER 1.11:FE-1520-114	ER 1.11:FE-1520-115	1051-C (microfiche)			1977-		FALSE		FALSE								
Subject added entry--topical term; General note; Main entry; Title statement	650; 500; 110; 245	Report of proceedings - Utah Multiple Use Advisory Board	000042458	3948302		Language material	a	No attempt to code	|	Serial	s	I			Department of the Interior			I 53.2:UT 1/4/975	I 53.2:UT 1/4/975					19uu		FALSE		FALSE								
Subject added entry--topical term; Main entry	650; 110	Affirmative action in Salt Lake's criminal justice agencies: a report	000046831	3976526		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:C 86/3	CR 1.2:C 86/3		288-A			1978		FALSE		FALSE								
Name of publisher, distributor, etc.; Subject added entry--topical term; Main entry	260/264$b; 650; 110	Draft environmental statement on grazing management in the Dixie resource area Hot Desert	000048446	4118202		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.19:D 64	I 53.19:D 64		629-C			1978		FALSE		FALSE								
Main entry	110	Applied research and evaluation of process concepts for liquefaction and gasification of western coal	000056195	3491646		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2006-10	E 1.28:FE-2006-10		429-T-4			1976-		FALSE		FALSE								
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Annotated bibliography of natural resource information: southern Utah	000058525	4351669		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 49.18:N 21 SU	I 49.18:N 21 SU		616-A-1			1977		FALSE		FALSE								
Added entry--corporate name; Main entry	710; 110	Screening of alternative methods for the disposal of low-level radioactive wastes	000060536	4520806	226656870	Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 88:25/0308			1051-H-11			1978		FALSE		FALSE								
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Field verification and implementation of the VESYS IIM structural subsystem in Utah	000062509	4657810		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.30:78-510	TD 2.30:78-510		982-G-11			1978		FALSE		FALSE								
Main entry	110	Rehabilitation of Western wildlife habitat: a review	000067896	4942787		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 49.2:R 26	I 49.2:R 26		612			1978		FALSE		FALSE								
