MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Main entry	110	Curriculum for graduate program to prepare vocational education curriculum specialists	000018119	2844807		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 19.108:V 85/2/MODULE 1-7	HE 19.108:V 85/2/MODULE 1-7		461-A (Rev. 1965)			1977		FALSE							
Main entry	110	Competing in the marketplace: a look at minority business enterprises in the state of Washington : a report	000083174	5827656		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:C 73	CR 1.2:C 73		288-A			1979		FALSE							
General note; Main entry; Added entry--corporate name	500; 110; 710	Energy, food, and you: an interdisciplinary curriculum guide for secondary schools.	000100436	6699986		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 1.11/3:EN 2	A 1.11/3:EN 2		11-C			1979		FALSE							
General note; Main entry; Added entry--corporate name	500; 110; 710	Energy, food, and you: an interdisciplinary curriculum guide for elementary schools.	000100437	6699495		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 1.11/3:EN 2/ELE	A 1.11/3:EN 2/ELE		11-C			1979		FALSE							
Main entry	110	Equal employment opportunity in governments of city of Tacoma and county of Pierce, Wash.: report of findings	000679377			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:EM 7/6						1971		FALSE							
Main entry	110	Report on Indian education, state of Washington	000679917			Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:IN 2/6						1974		FALSE							
Main entry	110	Equal employment opportunity in Tacoma area local government: a report	001160587	6593783		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:EM 7/13			0288-A			1980		FALSE							
Main entry	110	Barriers to acountability for law enforcement officers' use of excessive force: a report of the Washington Advisory Committee to the U.S. Commission on Civil Rights.	001171928	1411065484		Language material	a	Online	o	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2-2:W 27/L 41			0288-A-17 (online)			2022		FALSE		https://purl.fdlp.gov/GPO/gpo174512			https://www.usccr.gov/files/2022-01/Washington-Advisory-Committees-Report-on-Barriers-to-Accountability-for-Law-Enforcement-Officers-Use-of-Excessive-Force.pdf		
Main entry	110	Physical barriers to accessibility for individuals with disabilities: a report of the Washington Advisory Committee to the U.S. Commission on Civil Rights.	001257596	1428808763		Language material	a	Online	o	Monograph/item	m	CR			Civil Rights Commission			CR 1.8/2-2:W 27/D 63			0288-A-17 (online)			2024		FALSE		https://purl.fdlp.gov/GPO/gpo223894			https://www.usccr.gov/files/2024-03/wa-report-on-physical-accessibility.pdf		
Title statement	245	Occupational mortality in Washington State, 1950-1971	000006764	2417490		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.7111:W 27/V.1-3	HE 20.7111:W 27/V.1-3					1976		FALSE							
Title statement; Varying form of title	245; 246	Flood insurance study: town of Tonasket, Washington (State), Okanogan County.	000031782	3477039		Language material	a	No attempt to code	|	Monograph/item	m	HH			Department of Housing and Urban Development			HH 10.9:T 61	HH 10.9:T 61		594-C-52			1977		FALSE							
Title statement	245	Planning Federal assistance to communities affected by the Trident submarine base, Washington State: Department of Defense.	000040182	3867664		Language material	a	No attempt to code	|	Monograph/item	m	GA			Government Accountability Office			GA 1.13:LCD-77-320	GA 1.13:LCD-77-320		546-D (microfiche)			1977		FALSE							
Title statement	245	Fishing and other recreation behavior at high-mountain lakes in Washington State	000041522	3927281		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.79:PNW-304	A 13.79:PNW-304		83-B			1977		FALSE							
Title statement	245	Public service employment: the impact on Washington State's nonmetropolitan labor markets	000088734	6159336		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 1.36:1619	A 1.36:1619		16			1980		FALSE							
Title statement	245	Washington State's salmon and steelhead resources: hearings before the Committee on Commerce, Science, and Transportation, United States Senate, Ninety-sixth Congress, second session, on S. 2163 ... February 11 and 12, 1980.	000093054	6319348		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.C 73/7:96-80	Y 4.C 73/7:96-80		1041			1980		FALSE							
Title statement	245	Transportation of radioactive material in Washington State: September 1979 - September 1980	000123448	8038378		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 88:25/2037	Y 3.N 88:25/2037		1051-H-11			1981		FALSE							
Title statement	245	Geophysical data collected on the continental margin midway between Washington State and Vancouver Island, B.C., along line 19, USGS R/V S.P. Lee Cruise 3-76	000151335	8957202		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.76:81-895	I 19.76:81-895		624-H (microfiche)			1981		FALSE							
General note; Title statement	500; 245	Safety evaluation report related to the renewal of the operating license for the Washington State University TRIGA reactor: docket no. 50-27.	000152163	8987949		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 88:10/0911	Y 3.N 88:10/0911		1051-H-2 (microfiche)			1982		FALSE							
Title statement	245	Transportation of radioactive material in Washington State: September 1980 - September 1981	000166443	9560783		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 88:25/2949	Y 3.N 88:25/2949		1051-H-11 (microfiche)			1982		FALSE							
Title statement	245	Giardiasis in Washington State	000170192	9870503		Language material	a	No attempt to code	|	Monograph/item	m	EP			Environmental Protection Agency			EP 1.89/2:600/S 1-82-016	EP 1.89/2:600/S 1-82-016		431-L-12 (microfiche)			1983		FALSE							
Title statement	245	Observations from the Washington State Ferry Walla-Walla of near surface temperature and salinity across Puget Sound's Main Basin	000175651	6573876		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 55.13/2:ERL MESA-50	C 55.13/2:ERL MESA-50		208-C-2 (microfiche)			1980		FALSE							
Title statement	245	Washington State Coastal Zone Management Program, Amendment no. 3, Approval of the Grays Harbor estuary management plan	000179466	10257590		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 55.34:W 27/AMDT. 3			0250-E-18			1983		FALSE							
General note; Title statement	500; 245	Bibliography of Washington State materials on school discipline	000179633	10253215		Language material	a	No attempt to code	|	Monograph/item	m	ED			Department of Education			ED 1.310/2:208574	ED 1.310/2:208574		466-A-3 (microfiche)			1981		FALSE							
Title statement	245	Washington State Wilderness Act of 1983: hearings before the Subcommittee on Public Lands and Reserved Water of the Committee on Energy and Natural Resources, United States Senate, Ninety-eighth Congress, first session, on S. 837 ... Spokane, Wash., June 2, 1983; Seattle, Wash., June 3, 1983; Washington, D.C., September 30, 1983.	000189169	10706228		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.EN 2:S.HRG.98-663/PT.1-2	Y 4.EN 2:S.HRG.98-663/PT.1-2		1040-A	1040-B (microfiche)		1984		FALSE							
Title statement	245	Federal/state cooperation in the licensing of a nuclear power project: a joint licensing process between the U.S. Nuclear Regulatory Commission and the Washington State Energy Facility Site Evaluation Council.	000194547	10957399		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 3.N 88:10/1052	Y 3.N 88:10/1052		1051-H-2 (microfiche)			1984		FALSE							
Title statement	245	Chemical contaminants in marine mammals from Washington state	000194892	11105331		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 55.13/2:NOS OMS 6	C 55.13/2:NOS OMS 6		208-C-05 (microfiche)			1984		FALSE							
Title statement	245	Washington State Wilderness Act of 1984: report (to accompany S. 837).	000200123	11243008		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 1.1/5:98-461	Y 1.1/5:98-461		1008-C	1008-D (microfiche)		1984		FALSE							
Title statement	245	Changes in water quality and climate after forest harvest in central Washington State	000284105	18543691		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.78:PNW-RP-388	A 13.78:PNW-RP-388		83-B (microfiche)			1988		FALSE							
Title statement	245	Amending the Wild and Scenic Rivers Act to designate a section of the Columbia River in Washington state as a study area for inclusion in the national wild and scenic rivers system, and for other purposes: report (to accompany H.R. 3614) (including the cost estimate of the Congressional Budget Office).	000286043	18606054		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 1.1/8:100-960	Y 1.1/8:100-960		1008-C	1008-D (microfiche)		1988	88-586-P.	FALSE							
Title statement	245	Housing assistance for the homeless under Title IV of the McKinney Act: a Washington State perspective : a report	000295775	19638306		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.AG 4/2:H 81/24	Y 4.AG 4/2:H 81/24		1009-B-2	1009-C-2 (microfiche)		1989	89-241-P.	FALSE							
Title statement	245	Record of decision for the Okanogan National Forest, land and resource management plan, final environmental impact statement, and portions of the Colville National Forest, land and resource management plan, final environmental impact statement: Okanogan National Forest and portions of the Colville, Mount Baker, and Wenatchee national forests : Okanogan, Skagit, Whatcom, Chelan, and Ferry counties, Washington state.	000311089	21127220		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.92:OK 1/2/REC.	A 13.92:OK 1/2/REC.		80-F			1989	90-033-P.	FALSE							
Title statement; Varying form of title	245; 246	Record of decision for the land and resource management plan final environmental impact statement: Wenatchee National Forest, Chelan, Kittitas, Yakima counties, Washington State	000314116	21538404		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.92:W 48/REC.	A 13.92:W 48/REC.		80-F			1990	90-196-P.	FALSE							
Title statement	245	Ground-water levels in the Columbia River basalt and overlying materials, Spring 1983, southeastern Washington state	000329444	13351890		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.42/4:84-4360			0624-B			1985	85-1097.	FALSE							
Title statement	245	Record of decision: Mt. Baker-Snoqualmie National Forest : land and resource management plan : final environmental impact statement ... King, Pierce, Skagit, Snohomish, and Whatcom counties, Washington State.	000337668	22222413		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.92:M 86 B/2/REC.			80-F			1990	90-464-P.	FALSE							
Title statement	245	Pay equity: Washington State's efforts to address comparable worth : report to congressional requesters	000395118	28193627		Language material	a	Microfiche	b	Monograph/item	m	GA			Government Accountability Office			GA 1.13:GGD-92-87 BR	GA 1.13:GGD-92-87 BR		0546-D (MF)			1992	93-0286-M.	FALSE							
Title statement	245	Vegetation loss measurements at 9.6, 28.8, 57.6, and 96.1 GHz through a conifer orchard in Washington State	000396303	28277462		Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 60.10:89-251						1989		FALSE							
Title statement	245	SSI in Washington State	000397812	28407157		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 3.21/2:SE 2/WA			0516-W			1993	93-0350-P.	FALSE							
Title statement	245	SSI in Washington state	000415436	30301183		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 3.21/2:SE 2/994/WA			0516-W			1994	94-0111-P.	FALSE							
Title statement; Added entry--corporate name	245; 710	Evaluation of granular overlays in Washington State: final technical report	000421350	30839491		Language material	a	Microfiche	b	Monograph/item	m	TD			Department of Transportation			TD 2.30/13:92-042	TD 2.30/13:92-042		0982-G-11 (MF)			1992	94-0178-M.	FALSE							
Title statement; Varying form of title	245; 246	SSI in Washington State	000423537	31043240		Language material	a	No attempt to code	|	Serial	s	HE	SSA		Department of Health and Human Services	Social Security Administration		HE 3.21/2:SE 2/	SSA 1.19:SE 2/	SSA 1.19:SE 2/WA/	0516-W	0517-E	0517-E (online)	199u		FALSE		https://purl.fdlp.gov/GPO/LPS4998					
Title statement	245	First impact analysis of the Washington State Self-Employment and Enterprise Development (SEED) Demonstration	000426960	31369081		Language material	a	Microfiche	b	Monograph/item	m	L			Department of Labor			L 37.213/2:94-1			0783-E-05 (MF)			1994	94-0591-M.	FALSE							
Title statement	245	Long-term care and the Older Americans Act: lessons and leadership from Washington State : hearing before the Subcommittee on Aging of the Committee on Labor and Human Resources, United States Senate, One Hundred Second Congress, first session, on examining the need for comprehensive long-term health care, February 15, 1991 (Tacoma, WA).	000431272	31764597		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.L 11/4:S.HRG.102-1178	Y 4.L 11/4:S.HRG.102-1178		1043-A	1043-B (MF)		1991	94-0347-P.	FALSE							
Title statement	245	SSI in Washington state	000437193	32230628		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 3.21/2:SE 2/995/WA			0516-W			1995	95-0108-P.	FALSE							
Title statement	245	Homeless veterans in Washington State: field hearing before the Subcommittee on Housing and Memorial Affairs of the Committee on Veterans' Affairs, House of Representatives, One Hundred Third Congress, second session, July 9, 1994.	000442153	32689314		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.V 64/3:103-55	Y 4.V 64/3:103-55		1027-A	1027-B (MF)		1995	95-0199-P.	FALSE							
Title statement	245	SSI in Washington state	000459005	34936898		Language material	a	No attempt to code	|	Monograph/item	m	SSA			Social Security Administration			SSA 1.19:SE 2/996/WA			0516-W			1996	96-0234-P.	FALSE							
Title statement	245	Pesticides in public supply wells of Washington state	000459891	35050507		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.127:122-96			0621-L	0621-L (online)		1996	1996-0340-P.	FALSE		https://purl.fdlp.gov/GPO/LPS4851					
Title statement; Varying form of title	245; 246	Work release: recidivism and corrections costs in Washington State	000467573	36332334		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 28.24:W 89			0718-A-03	0718-A-03 (online)		1996	1997-0120-P.	FALSE		https://purl.fdlp.gov/GPO/LPS91540					
Title statement	245	Landslides and landslide hazards in Washington State due to February 5-9, 1996 storm	000468907	36550813		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.2:L 22/3	I 19.2:L 22/3		0621			1997?	97-0131-P.	FALSE							
Title statement	245	Employment outcomes of indigent clients receiving alcohol and drug treatment in Washington state	000475574	37587767		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.424:1			0497-D-34			1997	98-0320-P.	FALSE							
Title statement	245	What causes floods in Washington State?	000477346	37814575		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.127:228-96			0621-L			1997	98-0004-P.	FALSE							
Title statement	245	County portraits of Washington state	000480612	38254740		Language material	a	Microfiche	b	Monograph/item	m	A			Department of Agriculture			A 13.88:PNW-GTR-400			0083-B-06 (MF)			1997	1997-0868-M.	TRUE	873849288						
Title statement	245	Forecasting the cost of chemical dependency treatment under managed care: the Washington State study	000480642	38264384		Language material	a	Microfiche	b	Monograph/item	m	HE			Department of Health and Human Services			HE 20.415:15			0497-D-16 (MF)	0497-D-16 (online)		1995	1998-0196-M.	FALSE		https://purl.fdlp.gov/GPO/LPS84572					
Title statement	245	State automation systems study: site visit, November 10-12, 1993 : Washington state report.	000502704	41089375		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 98.2:AU 8/2/W 27	A 98.2:AU 8/2/W 27					1994		FALSE							
Title statement	245	Washington State's corrections clearinghouse: a comprehensive approach to offender employment	000508564	41963116		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 28.30:W 27	J 28.30:W 27		0718-A-11			1999	99-0299-P.	FALSE							
Title statement	245	Guide to networking for K-12 schools: a project of the Washington State Office of the Superintendent of Public Instruction	000518481	43518534		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:430555	ED 1.310/2:430555		0466-A-03 (MF)			©1997	2000-0277-M.	FALSE							
Title statement; Varying form of title	245; 246	Ground-water quality data from the Abbotsford-Sumas aquifer of southwestern British Columbia and northwestern Washington State, February 1997	000526068	45036633		Language material	a	Microfiche	b	Monograph/item	m	I			Department of the Interior			I 19.76:99-244			0624-H (MF)			1999	2000-0879-M.	TRUE	903593420						
Title statement; Varying form of title	245; 246	Organizing for success: a study about mathematics assessment results in Washington state	000531052	46361270		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:435670	ED 1.310/2:435670		0466-A-03 (MF)			1999	2001-0157-M.	FALSE							
Title statement	245	Washington state services for children with deaf-blindness: final project report, October 1, 1995-September 30, 1999	000532805	46804090		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:437753	ED 1.310/2:437753		0466-A-03 (MF)			1999	2001-0168-M.	FALSE							
Title statement; Varying form of title	245; 246	Paying for the assistive technology you need: a consumer guide to funding sources in Washington state	000541049	49052850		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:447628	ED 1.310/2:447628		0466-A-03 (MF)			1999	2001-0483-M.	FALSE							
Title statement	245	Effects of the Washington State education reform on schools and classrooms	000543443	49794106		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:450136			0466-A-03 (MF)			2000	2002-0109-M.	FALSE							
Title statement	245	Effects of the Washington State education reform on schools and classrooms: initial findings	000543479	49802081		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:449577	ED 1.310/2:449577		0466-A-03 (MF)			2000	2002-0109-M.	FALSE							
Title statement	245	Washington State's corrections clearinghouse: a comprehensive approach to offender employment	000543810	49876642		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:450239	ED 1.310/2:450239		0466-A-03 (MF)			1999	2002-0121-M.	FALSE							
Title statement	245	Conversion of board foot scaled logs to cubic meters in Washington State, 1970-1998	000545131	50210947	50305302	Language material	a	No attempt to code	|	Monograph/item	m													2002		FALSE							
Title statement	245	Preliminary merged aeromagnetic map of southwest Washington [State]	000545484	50398116		Cartographic material	e	Microfiche	b	Monograph/item	m	I			Department of the Interior			I 19.76:95-211	I 19.76:95-211		0624-H (MF)			1995?	2002-0363-M.	FALSE							
Title statement	245	Preliminary merged aeromagnetic map of northwest Washington [State]	000545485	50398215		Cartographic material	e	Microfiche	b	Monograph/item	m	I			Department of the Interior			I 19.76:95-0212	I 19.76:95-0212		0624-H (MF)			1995?	2002-0363-M.	FALSE							
