MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Abortion services in Wyoming: a report	000024570	3228844		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:AB 7	CR 1.2:AB 7		288-A			1977		FALSE							
Main entry	110	Remote electromagnetic sensing of underground coal burns	000052308	3777732		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2414-7	E 1.28:FE-2414-7		429-T-4			1978-		FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Emergence of civil rights in Wyoming	000061282	4575540		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:W 99	CR 1.2:W 99		288-A			1978		FALSE							
Main entry	110	Remote electromagnetic sensing of underground coal burns	000063670	4724258		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2414-5	E 1.28:FE-2414-6	E 1.28:FE-2414-5	429-T-4 (microfiche)			1977-		FALSE							
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.; Title statement	650; 110; 260/264$b; 245	Dull Knife: Wyoming.	000069423	5116497		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:W 99/NO.6	I 53.11:W 99/NO.6		629-B			1979		FALSE							
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.; Title statement	650; 110; 260/264$b; 245	Devils Gate: Wyoming.	000069424	5116559		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:W 99/NO.7	I 53.11:W 99/NO.7		629-B			1979		FALSE							
Subject added entry--topical term; Main entry; Title statement	650; 110; 245	Initial report on experimental project "Recycling of asphaltic concrete pavements", Laramie, Wyoming	000072736	4853821		Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.40:39-9	TD 2.40:39-9		982-G-25			1979		FALSE							
Main entry; Name of publisher, distributor, etc.; Title statement	110; 260/264$b; 245	Flaming Gorge, Wyoming	000080552	5624034		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:W 99/2	I 53.11:W 99/2		629-B			1979		FALSE							
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.; Title statement	650; 110; 260/264$b; 245	Fort Steele: Wyoming.	000083830	5807122		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:W 99/NO.8	I 53.11:W 99/NO.8		629-B			1979		FALSE							
Main entry	110	Effects of solvent characteristics on Wyodak coal liquefaction	000089409	4085301		Language material	a	No attempt to code	|	Monograph/item	m	E			Department of Energy			E 1.28:FE-2367-	E 1.28:FE-2367-9		429-T-4 (microfiche)			1977-		FALSE							
Main entry; Name of publisher, distributor, etc.; Title statement	110; 260/264$b; 245	Bighorn Mountains, Wyoming	000125118	8151657		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:W 99/NO.5	I 53.11:W 99/NO.5		629-B			1980		FALSE							
Main entry; Name of publisher, distributor, etc.; Title statement	110; 260/264$b; 245	Wind River, Wyoming	000125119	8151721		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:W 99/NO.11	I 53.11:W 99/NO.11		629-B			1980		FALSE							
Main entry; Name of publisher, distributor, etc.; Title statement	110; 260/264$b; 245	Heart Mountain, Wyoming	000125120	8151616		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:W 99/NO.12	I 53.11:W 99/NO.12		629-B			1980		FALSE							
Main entry; Name of publisher, distributor, etc.; Title statement	110; 260/264$b; 245	Grand Teton, Wyoming	000132856	8287675		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:W 99/NO.13	I 53.11:W 99/NO.13		629-B			1981		FALSE							
Main entry; Name of publisher, distributor, etc.; Title statement	110; 260/264$b; 245	Fossil Butte, Wyoming	000132857	8287693		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:W 99/NO.14	I 53.11:W 99/NO.14		629-B			1981		FALSE							
General note; Subject added entry--topical term; Main entry; Title statement	500; 650; 110; 245	Corporate reactions to workplace conditions in Wyoming: a statement	000185167	10228095		Language material	a	No attempt to code	|	Monograph/item	m	CR			Civil Rights Commission			CR 1.2:W 99/3	CR 1.2:W 99/3		288-A			1982		FALSE							
Subject added entry--topical term; Main entry; Title statement; Subject added entry--geographic name	650; 110; 245; 651	State of Wyoming land status	000229586	12554346		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:W 99/5	I 53.11:W 99/5		629-B			1984		FALSE							
Subject added entry--topical term; Main entry; Title statement; Subject added entry--geographic name	650; 110; 245; 651	State of Wyoming land status	000229587	12813634		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.11:W 99/6	I 53.11:W 99/6		629-B			1984		FALSE							
Subject added entry--topical term; Main entry; Name of publisher, distributor, etc.; Subject added entry--corporate name	650; 110; 260/264$b; 610	Emergency response handbook	000307317	20806223		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.7/2:EM 3	I 53.7/2:EM 3		633			1989		FALSE							
Subject added entry--topical term; Main entry	650; 110	Access management policy	000354682	24148014		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.2:AC 2			631			1991	91-472-P.	FALSE							
Subject added entry--topical term; General note; Main entry; Title statement; Name of publisher, distributor, etc.	650; 500; 110; 245; 260/264$b	Wyoming, wilderness status	000375016	26406713		Cartographic material	e	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 53.2:W 99/8	I 53.2:W 99/8		0631			1992?	92-0457-P.	FALSE							
